Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Revenue,20.87,10.9,9.56,9.22,9.33,6.79,2.32,0.38
Revenue Growth (YoY),106.27%,13.98%,3.64%,-1.09%,37.41%,192.67%,511.87%,-
Cost of Revenue,488.19,303.59,190.97,150.4,101.18,37.6,14.54,8.44
Gross Profit,-467.32,-292.7,-181.41,-141.18,-91.86,-30.82,-12.22,-8.06
"Selling, General & Admin",145.14,86.24,54.19,37.73,26.2,13.46,5.11,2.44
Operating Expenses,145.14,86.24,54.19,37.73,26.2,13.46,5.11,2.44
Operating Income,-612.46,-378.94,-235.6,-178.91,-118.05,-44.28,-17.33,-10.5
Interest Expense,-,-,-,-,-,-0.21,-7.39,-0.72
Interest & Investment Income,63.93,56.88,23.97,4.98,0.1,0.21,-,-
Other Non Operating Income (Expenses),-1.27,-0.25,-0.59,-0.06,-0.06,-0.08,-0.02,-
Pretax Income,-549.79,-322.3,-212.22,-174,-118.01,-44.36,-24.73,-11.22
Net Income,-549.79,-322.3,-212.22,-174,-118.01,-44.36,-24.73,-11.22
Net Income to Common,-549.79,-322.3,-212.22,-174,-118.01,-44.36,-24.73,-11.22
Shares Outstanding (Basic),131,112,73,52,41,22,3,2
Shares Outstanding (Diluted),131,112,73,52,41,22,3,2
Shares Change (YoY),33.44%,52.83%,39.97%,25.91%,91.24%,698.49%,9.53%,-
EPS (Basic),-4.19,-2.89,-2.91,-3.34,-2.85,-2.05,-9.12,-4.53
EPS (Diluted),-4.19,-2.89,-2.91,-3.34,-2.85,-2.05,-9.12,-4.53
Free Cash Flow,-592.26,-307.94,-123.29,-139.09,-98.55,-38.21,2.26,-9.7
Free Cash Flow Per Share,-4.51,-2.76,-1.69,-2.67,-2.38,-1.76,0.83,-3.92
Operating Margin,-2934.90%,-3477.43%,-2464.41%,-1939.65%,-1265.83%,-652.38%,-747.39%,-2769.92%
Profit Margin,-2634.59%,-2957.71%,-2219.87%,-1886.33%,-1265.38%,-653.53%,-1066.58%,-2959.37%
Free Cash Flow Margin,-2838.14%,-2825.88%,-1289.66%,-1507.92%,-1056.76%,-562.97%,97.24%,-2560.42%
EBITDA,-609.06,-376.16,-233.5,-177.53,-117.41,-43.9,-16.98,-10.12
D&A For EBITDA,3.39,2.78,2.1,1.39,0.64,0.37,0.35,0.38
EBIT,-612.46,-378.94,-235.6,-178.91,-118.05,-44.28,-17.33,-10.5
