Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"10,674","3,470",671,"1,474","1,115",958,-,-
Market Cap Growth,99.33%,417.36%,-54.52%,32.27%,16.40%,-,-,-
Enterprise Value,"8,848","1,889",139,"1,080",703,617,-,-
Last Close Price,70.84,29.08,9.05,22.19,23.77,25.52,-,-
PS Ratio,511.49,318.39,70.15,159.85,119.53,141.10,-,-
PB Ratio,5.51,2.44,1.34,2.55,2.92,3.13,-,-
P/TBV Ratio,5.66,2.44,1.34,2.55,2.92,3.13,-,-
EV/Sales Ratio,424.00,173.31,14.50,117.11,75.35,90.94,-,-
Debt / Equity Ratio,0.03,0.01,0.02,0.02,0.03,0.00,0.07,-1.22
Debt / FCF Ratio,-,-,-,-,-,-,2.19,-
Asset Turnover,0.01,0.01,0.02,0.02,0.02,0.03,0.05,-
Quick Ratio,11.13,15.61,7.49,11.84,13.70,22.58,9.32,0.67
Current Ratio,11.57,15.74,7.58,12.00,13.86,22.74,9.35,0.70
Return on Equity (ROE),-32.44%,-33.47%,-39.34%,-36.27%,-34.32%,-23.62%,-81.19%,-
Return on Assets (ROA),-20.28%,-21.60%,-23.24%,-20.97%,-19.38%,-12.85%,-21.47%,-
Return on Capital (ROIC),-22.21%,-24.39%,-26.79%,-22.78%,-21.07%,-14.51%,-28.44%,-
Earnings Yield,-5.15%,-9.29%,-31.65%,-11.80%,-10.59%,-4.63%,-,-
FCF Yield,-5.55%,-8.88%,-18.39%,-9.43%,-8.84%,-3.99%,-,-
Buyback Yield / Dilution,-33.44%,-52.83%,-39.97%,-25.91%,-91.24%,-698.49%,-9.53%,-
