Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Cash & Equivalents,350.16,219.87,185.08,340.4,320.45,321.46,94.58,3.09
Short-Term Investments,"1,526","1,282",410.27,270.33,85.1,6.68,-,-
Cash & Short-Term Investments,"1,876","1,501",595.35,610.73,405.54,328.14,94.58,3.09
Cash Growth,18.08%,152.20%,-2.52%,50.59%,23.59%,246.95%,2960.78%,-
Accounts Receivable,-,-,1.11,2.36,0.9,1.2,0.8,-
Other Receivables,15.04,28.22,7.52,1.51,-,-,-,-
Receivables,15.04,28.22,8.62,3.88,0.9,1.2,0.8,-
Prepaid Expenses,15.15,12.57,7.33,8.34,4.7,2.34,0.3,0.15
Total Current Assets,"1,966","1,542",611.31,622.94,411.14,331.68,95.68,3.24
"Property, Plant & Equipment",74.35,18.29,16.65,15.01,15.59,1.92,0.63,0.7
Other Long-Term Assets,93.84,3.32,0.6,0.85,0.85,0.3,0.6,0.04
Total Assets,"2,134","1,564",628.56,638.8,427.58,333.9,96.91,3.98
Accounts Payable,9.63,8.46,8.81,4.64,2.81,7.75,2.31,1.57
Accrued Expenses,137.16,64.73,39.87,39.13,20.22,3.15,1.31,0.31
Current Portion of Long-Term Debt,-,-,-,-,-,-,2.77,2.75
Current Portion of Leases,3.97,3.84,3.64,3.11,1.77,-,-,-
Current Unearned Revenue,19.12,20.99,28.37,5.04,4.86,3.69,3.84,-
Total Current Liabilities,169.88,98.02,80.68,51.91,29.66,14.59,10.24,4.62
Long-Term Debt,-,-,-,-,-,-,1.77,7.58
Long-Term Leases,46,2.96,6.21,7.58,9.96,0.94,0.39,-
Long-Term Unearned Revenue,32.07,37.96,40.9,1.24,6.53,12.15,15.1,-
Other Long-Term Liabilities,-,-,-,-,-,-,0.05,0.22
Total Liabilities,247.94,138.94,127.79,60.73,46.15,27.68,27.54,12.42
Common Stock,0.02,0.01,0.01,0.01,0.01,0,-,0.43
Additional Paid-In Capital,"3,225","2,315","1,071",939.31,566.16,372.76,-,-
Retained Earnings,"-1,341",-893.07,-570.76,-358.54,-184.55,-66.54,-22.19,-41.56
Comprehensive Income & Other,1.77,2.9,0.13,-2.7,-0.19,-0.01,-43.17,-
Total Common Equity,"1,886","1,425",500.76,578.08,381.43,306.22,-65.36,-41.13
Shareholders' Equity,"1,886","1,425",500.76,578.08,381.43,306.22,69.36,-8.44
Total Liabilities & Equity,"2,134","1,564",628.56,638.8,427.58,333.9,96.91,3.98
Total Debt,49.97,6.8,9.85,10.69,11.73,0.94,4.94,10.32
Net Cash (Debt),"1,826","1,495",585.5,600.04,393.81,327.2,89.64,-7.23
Net Cash Growth,15.49%,155.29%,-2.42%,52.37%,20.36%,265.01%,-,-
Net Cash Per Share,13.90,13.40,8.02,11.50,9.51,15.10,33.04,-2.92
Filing Date Shares Outstanding,150.68,120.21,79.72,70.81,47.75,37.58,2.99,2.48
Total Common Shares Outstanding,146.77,119.89,79.28,69.77,47.75,37.57,2.99,2.48
Working Capital,"1,796","1,444",530.63,571.03,381.48,317.09,85.44,-1.37
Book Value Per Share,12.85,11.89,6.32,8.29,7.99,8.15,-21.87,-16.61
Tangible Book Value,"1,886","1,425",500.76,578.08,381.43,306.22,-65.36,-41.13
Tangible Book Value Per Share,12.85,11.89,6.32,8.29,7.99,8.15,-21.87,-16.61
Machinery,28.28,16.42,13.31,9.13,6.29,3.03,1.86,1.61
Construction In Progress,0.31,3.96,-,-,-,-,-,-
Leasehold Improvements,3.36,0.29,0.29,0.25,0.25,0.42,0.42,0.42
