Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,785","2,489","1,792","1,936",698,346,386,197,401,87,203
Market Cap Growth,7.64%,38.90%,-7.42%,177.28%,101.66%,-10.41%,95.90%,-50.77%,359.91%,-57.07%,-1.15%
Enterprise Value,"2,093","2,050","1,675","1,684",528,219,311,136,367,42,140
Last Close Price,22.56,20.87,16.81,18.60,6.77,3.34,3.75,1.92,3.91,1.05,2.45
PE Ratio,13.26,15.19,25.10,23.30,17.68,4.62,12.12,-,-,-,-
Forward PE,15.03,15.38,14.13,14.98,13.97,8.97,9.00,-,-,-,-
PS Ratio,4.74,5.06,4.50,9.04,4.96,2.91,3.78,394.52,-,-,-
PB Ratio,3.02,3.42,4.62,6.44,3.38,2.04,4.41,3.88,4.95,2.22,3.66
P/TBV Ratio,3.51,4.36,9.25,7.22,3.38,2.04,4.41,3.88,4.95,2.22,3.66
P/FCF Ratio,11.85,10.40,-,18.26,11.76,7.69,11.17,-,-,-,-
P/OCF Ratio,11.85,10.38,12.48,16.68,11.56,7.69,11.17,-,-,-,-
EV/Sales Ratio,3.62,4.17,4.21,7.86,3.75,1.84,3.04,271.19,-,-,-
EV/EBITDA Ratio,7.06,8.80,13.99,16.33,10.03,5.30,9.75,-,-,-,-
EV/EBIT Ratio,8.09,10.51,19.29,16.53,10.07,5.31,9.77,-,-,-,-
EV/FCF Ratio,8.92,8.57,-,15.88,8.89,4.87,8.99,-,-,-,-
Debt / Equity Ratio,0.00,0.00,0.01,0.01,0.02,0,0.01,-,-,-,-
Debt / EBITDA Ratio,0.01,0.01,0.03,0.04,0.08,0.00,0.03,-,-,-,-
Debt / FCF Ratio,0.01,0.01,-,0.04,0.07,0.00,0.03,-,-,-,-
Asset Turnover,0.63,0.74,0.94,0.70,0.66,0.78,1.18,0.01,-,-,-
Inventory Turnover,4.06,4.63,12.93,7.38,6.20,10.15,33.39,-,-,-,-
Quick Ratio,6.19,4.83,2.52,5.37,7.32,6.45,4.36,5.62,19.69,19.29,16.97
Current Ratio,6.62,5.17,2.88,5.57,7.76,7.00,4.62,5.80,19.97,19.79,17.41
Return on Equity (ROE),27.52%,29.38%,20.75%,32.76%,20.98%,58.30%,46.06%,-51.62%,-30.62%,-38.13%,-44.61%
Return on Assets (ROA),17.74%,18.46%,12.83%,20.75%,15.22%,16.94%,23.02%,-30.25%,-18.37%,-22.93%,-24.52%
Return on Capital (ROIC),20.38%,21.73%,15.60%,24.70%,17.20%,19.99%,28.54%,-33.49%,-19.41%,-24.64%,-28.11%
Return on Capital Employed (ROCE),28.00%,26.70%,22.00%,32.00%,24.90%,24.40%,36.00%,-,-,-,-
Earnings Yield,7.83%,6.58%,3.98%,4.29%,5.66%,21.66%,8.25%,-17.24%,-4.59%,-20.74%,-9.97%
FCF Yield,8.44%,9.61%,-3.06%,5.48%,8.50%,13.00%,8.95%,-13.30%,-3.43%,-20.73%,-8.89%
Buyback Yield / Dilution,-4.21%,-9.84%,-2.14%,-3.32%,-1.46%,-0.21%,-3.30%,-19.62%,-3.53%,-2.49%,-26.06%
