Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,578.2,491.73,398.2,214.2,140.83,119.07,102.31,0.5,-,-,-
Revenue Growth (YoY),25.56%,23.49%,85.90%,52.10%,18.27%,16.39%,20361.20%,-,-,-,-
Cost of Revenue,97.52,81.49,145.12,54.18,38.82,33.54,33.6,19.92,11.38,11.37,11.8
Gross Profit,480.67,410.24,253.09,160.02,102.01,85.54,68.7,-19.42,-11.38,-11.37,-11.8
"Selling, General & Admin",184.52,177.74,133.71,57.09,49.63,44.23,36.88,15.88,7.3,7.31,8.6
Amortization of Goodwill & Intangibles,37.38,37.38,32.57,1.1,-,-,-,-,-,-,-
Operating Expenses,221.9,215.12,166.28,58.18,49.63,44.23,36.88,15.88,7.3,7.31,8.6
Operating Income,258.78,195.12,86.81,101.84,52.39,41.3,31.82,-35.3,-18.68,-18.68,-20.4
Interest & Investment Income,22.7,16.06,4.68,-,0.28,0.59,1.59,-,-,-,-
Other Non Operating Income (Expenses),-,-,-,2.88,-,-,-,1.32,0.24,1.15,0.19
EBT Excluding Unusual Items,281.47,211.19,91.49,104.72,52.67,41.89,33.41,-33.97,-18.44,-17.53,-20.2
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-0.6,-
Gain (Loss) on Sale of Investments,4.33,5.08,3.02,-,-,-,-,-0.03,0.03,0.06,-0.03
Pretax Income,285.8,216.26,94.51,104.72,52.67,41.89,33.41,-34,-18.41,-18.07,-20.23
Income Tax Expense,68.23,52.37,23.1,21.64,13.19,-33.09,1.53,-,-,-,-
Net Income,217.56,163.89,71.41,83.08,39.48,74.98,31.88,-34,-18.41,-18.07,-20.23
Net Income to Common,217.56,163.89,71.41,83.08,39.48,74.98,31.88,-34,-18.41,-18.07,-20.23
Net Income Growth,52.36%,129.50%,-14.05%,110.42%,-47.34%,135.24%,-,-,-,-,-
Shares Outstanding (Basic),122,118,106,103,103,104,103,103,86,83,81
Shares Outstanding (Diluted),127,125,114,111,108,106,106,103,86,83,81
Shares Change (YoY),4.21%,9.84%,2.14%,3.32%,1.46%,0.21%,3.30%,19.62%,3.53%,2.49%,26.06%
EPS (Basic),1.79,1.38,0.67,0.80,0.38,0.72,0.31,-0.33,-0.21,-0.22,-0.25
EPS (Diluted),1.71,1.31,0.63,0.75,0.37,0.71,0.30,-0.33,-0.21,-0.22,-0.25
EPS Growth,44.94%,107.94%,-16.00%,102.70%,-47.89%,136.67%,-,-,-,-,-
Free Cash Flow,234.54,239.25,-54.92,106.02,59.35,45.02,34.59,-26.24,-13.74,-18.06,-18.04
Free Cash Flow Per Share,1.85,1.92,-0.48,0.95,0.55,0.42,0.33,-0.26,-0.16,-0.22,-0.22
Gross Margin,83.13%,83.43%,63.56%,74.70%,72.44%,71.84%,67.16%,-,-,-,-
Operating Margin,44.76%,39.68%,21.80%,47.54%,37.20%,34.69%,31.11%,-7059.03%,-,-,-
Profit Margin,37.63%,33.33%,17.93%,38.78%,28.04%,62.97%,31.16%,-6800.70%,-,-,-
Free Cash Flow Margin,40.56%,48.66%,-13.79%,49.49%,42.14%,37.81%,33.81%,-5247.91%,-,-,-
EBITDA,296.57,232.9,119.69,103.08,52.58,41.4,31.88,-35.26,-18.63,-18.64,-20.36
EBITDA Margin,51.29%,47.36%,30.06%,48.12%,37.33%,34.76%,31.16%,-,-,-,-
D&A For EBITDA,37.79,37.77,32.88,1.24,0.19,0.09,0.06,0.04,0.05,0.04,0.03
EBIT,258.78,195.12,86.81,101.84,52.39,41.3,31.82,-35.3,-18.68,-18.68,-20.4
EBIT Margin,44.76%,39.68%,21.80%,47.54%,37.20%,34.69%,31.11%,-,-,-,-
Effective Tax Rate,23.87%,24.22%,24.44%,20.66%,25.04%,-,4.59%,-,-,-,-
Revenue as Reported,578.2,491.73,398.2,214.2,140.83,119.07,102.31,0.5,-,-,-
Advertising Expenses,-,10,9.1,3.3,2.9,2.5,3.3,-,-,-,-
