Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"4,143","2,208",777,293,"1,012",-,-
Market Cap Growth,114.24%,184.18%,165.01%,-71.03%,-,-,-
Enterprise Value,"4,015","1,775",579,-83,433,-,-
Last Close Price,27.32,16.75,7.96,3.10,11.26,-,-
PS Ratio,242.72,-,113.40,-,-,-,-
PB Ratio,12.18,5.50,3.29,0.87,2.06,-,-
P/TBV Ratio,13.74,5.50,3.29,0.87,2.06,-,-
EV/Sales Ratio,267.65,-,84.53,-,-,-,-
Debt / Equity Ratio,0.39,0.29,0.36,0.21,0.15,1.82,-
Asset Turnover,0.03,-,0.02,-,-,-,-
Quick Ratio,10.25,9.10,7.51,10.97,24.84,1.18,-
Current Ratio,10.57,9.25,8.00,11.42,25.52,1.30,-
Return on Equity (ROE),-60.62%,-73.93%,-52.79%,-52.24%,-154.41%,-,-
Return on Assets (ROA),-25.26%,-26.82%,-26.61%,-24.48%,-27.16%,-,-
Return on Capital (ROIC),-26.63%,-29.91%,-29.46%,-27.01%,-30.24%,-,-
Return on Capital Employed (ROCE),-51.00%,-38.80%,-53.40%,-51.80%,-23.00%,-337.00%,-
Earnings Yield,-5.86%,-10.67%,-19.44%,-73.73%,-37.73%,-,-
FCF Yield,-4.37%,-6.43%,-20.65%,-68.77%,-13.47%,-,-
Buyback Yield / Dilution,-25.82%,-19.02%,-2.97%,-24.26%,-401.11%,-,-
