Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,15,-,6.85,-,-,-,-
Gross Profit,15,-,6.85,-,-,-,-
"Selling, General & Admin",50.18,50.81,53.73,55.2,43.01,1.14,0.79
Research & Development,178.62,150.24,124.41,155.08,96.32,9.3,4.26
Operating Expenses,228.8,201.06,178.14,210.28,139.33,10.44,5.05
Operating Income,-213.8,-201.06,-171.28,-210.28,-139.33,-10.44,-5.05
Interest Expense,-11.13,-10.09,-9.91,-7.28,-2.55,-0.38,-0.12
Interest & Investment Income,20.88,14.02,10.48,0.24,-,-,0.01
Currency Exchange Gain (Loss),-1.3,-1.8,0.8,-2.8,-3.6,-,-
Other Non Operating Income (Expenses),0.14,0.11,-0.33,-0.76,-0.77,0.16,0.11
EBT Excluding Unusual Items,-205.21,-198.82,-170.24,-220.87,-146.25,-10.66,-5.06
Other Unusual Items,-34.1,-34.1,-5.9,3.92,-15.08,-,-
Pretax Income,-239.31,-232.91,-176.14,-216.95,-381.79,-10.66,-5.06
Income Tax Expense,3.39,2.84,-25.06,-0.75,0.11,-,-
Net Income,-242.7,-235.76,-151.09,-216.21,-381.9,-10.66,-5.06
Preferred Dividends & Other Adjustments,-,-,-,-,-0.83,-,-
Net Income to Common,-242.7,-235.76,-151.09,-216.21,-381.07,-10.66,-5.06
Shares Outstanding (Basic),133,114,96,93,75,15,-
Shares Outstanding (Diluted),133,114,96,93,75,15,-
Shares Change (YoY),25.82%,19.02%,2.97%,24.26%,401.11%,-,-
EPS (Basic),-1.82,-2.06,-1.57,-2.31,-5.07,-0.71,-
EPS (Diluted),-1.82,-2.06,-1.57,-2.31,-5.07,-0.71,-
Free Cash Flow,-181.17,-142.09,-160.51,-201.68,-136.34,-10.63,-5.83
Free Cash Flow Per Share,-1.36,-1.24,-1.67,-2.16,-1.81,-0.71,-
Gross Margin,100.00%,-,100.00%,-,-,-,-
Operating Margin,-1425.33%,-,-2499.39%,-,-,-,-
Profit Margin,-1617.99%,-,-2204.66%,-,-,-,-
Free Cash Flow Margin,-1207.80%,-,-2342.20%,-,-,-,-
EBITDA,-213.49,-200.71,-170.97,-210.15,-139.3,-10.43,-5.05
D&A For EBITDA,0.31,0.34,0.31,0.13,0.03,0.01,0.01
EBIT,-213.8,-201.06,-171.28,-210.28,-139.33,-10.44,-5.05
