Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Market Capitalization,"6,025","9,106","6,509","3,230","9,232",-,-,-
Market Cap Growth,-7.46%,39.89%,101.56%,-65.02%,-,-,-,-
Enterprise Value,"5,534","8,773","6,278","3,058","8,743",-,-,-
Last Close Price,35.50,54.53,39.63,20.64,63.39,-,-,-
Forward PE,51.45,61.27,59.53,69.38,-,-,-,-
PS Ratio,7.10,12.10,11.42,7.90,37.64,-,-,-
PB Ratio,6.63,10.19,7.22,3.48,13.27,-,-,-
P/TBV Ratio,12.70,22.76,24.69,18.03,18.49,-,-,-
P/FCF Ratio,40.28,54.51,61.13,39.88,604.68,-,-,-
P/OCF Ratio,39.52,53.76,60.15,36.15,508.63,-,-,-
EV/Sales Ratio,6.56,11.66,11.02,7.48,35.65,-,-,-
EV/EBITDA Ratio,46.08,86.34,131.41,312.28,460.87,-,-,-
EV/FCF Ratio,37.00,52.52,58.96,37.77,572.65,-,-,-
Debt / Equity Ratio,0.03,0.03,0.03,0.02,0.03,0.06,1.57,-
Debt / EBITDA Ratio,0.20,0.23,0.44,1.46,1.04,0.45,-,-
Debt / FCF Ratio,0.17,0.15,0.22,0.25,1.40,0.15,0.21,-
Asset Turnover,0.72,0.61,0.48,0.41,0.49,1.33,1.83,-
Quick Ratio,2.23,2.03,1.84,1.75,4.67,1.80,0.69,0.95
Current Ratio,2.57,2.08,1.90,1.79,4.73,1.83,0.94,1.28
Return on Equity (ROE),-3.18%,-8.42%,-14.62%,-24.07%,-19.48%,10.48%,-167.55%,-
Return on Assets (ROA),-1.31%,-3.44%,-6.60%,-10.50%,-8.15%,5.13%,-8.58%,-
Return on Capital (ROIC),-1.67%,-4.61%,-8.33%,-12.66%,-10.32%,13.05%,-59.26%,-
Return on Capital Employed (ROCE),-,-,-,-,-,10.90%,-,-
Earnings Yield,-0.47%,-0.83%,-2.06%,-6.05%,-0.81%,-,-,-
FCF Yield,2.48%,1.84%,1.64%,2.51%,0.17%,-,-,-
Buyback Yield / Dilution,-1.74%,-1.81%,-4.23%,-55.00%,-255.25%,-45.71%,-1.49%,-
