Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"11,698","11,789","12,008","11,994","9,313","5,402","9,172","9,124","8,848","8,659","6,026"
Other Revenue,-,-,-,-,-,-,-,-,-,-,"2,476"
Revenue,"11,698","11,789","12,008","11,994","9,313","5,402","9,172","9,124","8,848","8,659","8,502"
Revenue Growth (YoY),-1.22%,-1.82%,0.12%,28.79%,72.40%,-41.10%,0.53%,3.12%,2.18%,1.85%,0.20%
Cost of Revenue,"9,028","8,766","7,242","5,984","5,295","4,495","6,506","6,565","6,485","6,223","6,061"
Gross Profit,"2,670","3,023","4,766","6,010","4,018",907,"2,666","2,559","2,363","2,436","2,441"
"Selling, General & Admin","1,563","1,499","1,575","1,486","1,301",898,"1,492","1,473","1,342","1,314","1,249"
Other Operating Expenses,-10,-10,-,-,-,-,-,-,-,-,-
Operating Expenses,"1,787","1,726","1,791","1,711","1,573","1,184","1,755","1,729","1,601","1,567","1,467"
Operating Income,883,"1,297","2,975","4,299","2,445",-277,911,830,762,869,974
Interest Expense,"-1,324","-1,311","-1,065",-652,-531,-561,-536,-514,-481,-503,-494
Interest & Investment Income,12,12,34,1,1,12,15,15,8,18,13
Earnings From Equity Investments,-4,-7,-25,-10,-,-,-,-,-,-,-
Other Non Operating Income (Expenses),-12,-2,21,6,-1,-,-1,-3,-1,-2,-2
EBT Excluding Unusual Items,-445,-11,"1,940","3,644","1,914",-826,389,328,288,382,491
Merger & Restructuring Charges,-111,-40,-16,-22,-55,-121,-90,-42,-86,-50,-86
Gain (Loss) on Sale of Assets,-,-,-,5,-14,-,-,-,-,-,-
Asset Writedown,"-2,480","-2,480",-,-,-,-,-,-,-2,-,-
Legal Settlements,39,-64,-5,-,-3,-,-,-,-,-26,-
Other Unusual Items,-33,-32,-5,9,-134,-9,-12,-19,-3,-27,-23
Pretax Income,"-3,030","-2,627","1,914","3,636","1,708",-956,287,267,211,279,382
Income Tax Expense,-934,-810,279,880,425,-272,-15,102,-150,116,69
Earnings From Continuing Operations,"-2,096","-1,817","1,635","2,756","1,283",-684,302,165,361,163,313
Minority Interest in Earnings,-4,-4,-3,8,2,-,-,-,-,-,-
Net Income,"-2,100","-1,821","1,632","2,764","1,285",-684,302,165,361,163,313
Net Income to Common,"-2,100","-1,821","1,632","2,764","1,285",-684,302,165,361,163,313
Net Income Growth,-,-,-40.96%,115.10%,-,-,83.03%,-54.29%,121.47%,-47.92%,27.76%
Shares Outstanding (Basic),35,36,38,47,65,71,75,79,83,92,103
Shares Outstanding (Diluted),35,36,39,48,66,71,76,80,85,93,105
Shares Change (YoY),-2.29%,-8.51%,-19.84%,-26.78%,-6.24%,-6.87%,-5.49%,-5.54%,-9.11%,-11.14%,-5.06%
EPS (Basic),-59.66,-51.30,42.61,58.44,19.80,-9.70,4.02,2.08,4.33,1.77,3.03
EPS (Diluted),-59.66,-51.30,42.08,57.16,19.44,-9.71,3.98,2.06,4.25,1.75,2.98
EPS Growth,-,-,-26.38%,194.03%,-,-,93.20%,-51.53%,142.86%,-41.27%,33.98%
Free Cash Flow,-918,850,"-3,227",576,"-2,594","3,949",-91,-563,513,493,180
Free Cash Flow Per Share,-26.08,23.94,-83.17,11.90,-39.24,56.01,-1.20,-7.03,6.05,5.28,1.71
Gross Margin,22.82%,25.64%,39.69%,50.11%,43.14%,16.79%,29.07%,28.05%,26.71%,28.13%,28.71%
Operating Margin,7.55%,11.00%,24.77%,35.84%,26.25%,-5.13%,9.93%,9.10%,8.61%,10.04%,11.46%
Profit Margin,-17.95%,-15.45%,13.59%,23.04%,13.80%,-12.66%,3.29%,1.81%,4.08%,1.88%,3.68%
Free Cash Flow Margin,-7.85%,7.21%,-26.87%,4.80%,-27.85%,73.10%,-0.99%,-6.17%,5.80%,5.69%,2.12%
EBITDA,"1,015","1,432","3,090","4,409","2,612",-104,"1,065",994,926,"1,035","1,131"
EBITDA Margin,8.68%,12.15%,25.73%,36.76%,28.05%,-1.93%,11.61%,10.89%,10.47%,11.95%,13.30%
D&A For EBITDA,132,135,115,110,167,173,154,164,164,166,157
EBIT,883,"1,297","2,975","4,299","2,445",-277,911,830,762,869,974
EBIT Margin,7.55%,11.00%,24.77%,35.84%,26.25%,-5.13%,9.93%,9.10%,8.61%,10.04%,11.46%
Effective Tax Rate,-,-,14.58%,24.20%,24.88%,-,-,38.20%,-,41.58%,18.06%
Revenue as Reported,-,-,-,-,-,-,-,-,-,-,"8,502"
Advertising Expenses,-,77,86,64,81,54,121,116,111,127,123
