Period Ending,"Nov '25Nov 18, 2025","Sep '25Sep 27, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Market Capitalization,"3,645","3,866","3,715","2,555","2,426","2,573","2,075","1,832","1,886","1,884","1,564"
Market Cap Growth,-8.66%,4.08%,45.38%,5.30%,-5.70%,24.00%,13.28%,-2.88%,0.09%,20.48%,22.36%
Enterprise Value,"3,544","3,811","3,834","2,844","2,625","2,560","2,159","1,960","1,740","1,659","1,393"
Last Close Price,137.72,143.27,136.44,92.98,87.56,91.08,70.95,62.56,58.51,56.08,46.78
PE Ratio,22.00,22.36,33.22,18.37,17.55,18.52,17.66,16.86,144.64,16.82,20.46
Forward PE,18.69,19.35,21.38,17.00,16.46,16.80,16.72,16.02,16.04,16.71,14.61
PS Ratio,0.92,0.96,0.94,0.61,0.64,0.76,0.61,0.58,0.66,0.75,0.61
PB Ratio,2.54,2.66,2.80,2.10,2.21,2.50,2.12,2.12,2.05,1.84,1.71
P/TBV Ratio,2.53,2.66,2.80,2.10,2.21,2.50,2.12,2.13,2.07,1.84,1.71
P/FCF Ratio,23.87,25.11,10.88,41.36,-,30.10,12.95,74.16,465.57,14.15,16.19
P/OCF Ratio,14.75,15.51,8.51,15.41,-,18.05,9.86,15.89,28.22,10.97,12.24
PEG Ratio,0.98,1.02,1.19,0.95,0.91,0.93,0.98,1.46,1.97,1.59,1.97
EV/Sales Ratio,0.88,0.95,0.97,0.68,0.69,0.76,0.64,0.62,0.61,0.66,0.55
EV/EBITDA Ratio,12.45,13.39,14.41,9.86,10.80,10.66,9.99,9.99,10.48,9.47,8.58
EV/EBIT Ratio,17.13,18.43,20.37,13.00,14.55,14.28,13.54,13.62,14.79,12.77,12.13
EV/FCF Ratio,23.02,24.76,11.23,46.04,-,29.95,13.47,79.35,429.50,12.45,14.42
Debt / Equity Ratio,0.12,0.12,0.22,0.39,0.46,0.29,0.39,0.33,0.21,0.31,0.29
Debt / EBITDA Ratio,0.58,0.58,1.04,1.55,1.93,1.18,1.64,1.47,1.14,1.79,1.62
Debt / FCF Ratio,1.14,1.14,0.86,7.74,-,3.52,2.37,11.66,46.56,2.35,2.72
Asset Turnover,1.28,1.28,1.22,1.25,1.30,1.42,1.58,1.61,1.47,1.35,1.48
Inventory Turnover,2.85,2.85,2.49,2.41,2.69,3.51,4.20,3.84,3.61,3.73,4.10
Quick Ratio,0.73,0.73,0.66,0.59,0.57,0.80,0.98,0.93,0.94,1.03,1.31
Current Ratio,1.58,1.58,1.51,1.47,1.40,1.71,1.77,1.78,2.06,1.78,2.20
Return on Equity (ROE),12.44%,12.44%,8.81%,12.04%,13.02%,13.85%,12.75%,12.16%,1.34%,11.54%,8.69%
Return on Assets (ROA),4.11%,4.11%,3.63%,4.07%,3.85%,4.72%,4.65%,4.57%,3.76%,4.34%,4.15%
Return on Capital (ROIC),7.96%,7.96%,7.11%,8.31%,7.70%,8.34%,7.94%,7.95%,6.01%,6.45%,6.29%
Return on Capital Employed (ROCE),12.80%,12.80%,12.50%,14.50%,13.00%,13.40%,12.40%,12.70%,9.80%,12.20%,10.30%
Earnings Yield,4.70%,4.47%,3.01%,5.44%,5.70%,5.40%,5.66%,5.93%,0.69%,5.95%,4.89%
FCF Yield,4.19%,3.98%,9.19%,2.42%,-5.27%,3.32%,7.72%,1.35%,0.21%,7.07%,6.18%
Buyback Yield / Dilution,1.05%,1.05%,0.73%,1.14%,2.50%,2.50%,3.73%,8.39%,1.84%,-1.33%,0.82%
