Period Ending,"Sep '25Sep 27, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Cash & Equivalents,306.46,345.11,256.23,274.81,270.17,385.81,223.76,297.27,568.86,432.96
Cash & Short-Term Investments,306.46,345.11,256.23,274.81,270.17,385.81,223.76,297.27,568.86,432.96
Cash Growth,-11.20%,34.69%,-6.76%,1.71%,-29.97%,72.42%,-24.73%,-47.74%,31.39%,21.24%
Receivables,807.23,742.93,803.84,876.24,634.97,596.03,579.13,394.83,365.51,416.89
Inventory,"1,230","1,311","1,562","1,603",972.31,763.46,700.94,794.35,654.64,564.13
Prepaid Expenses,44.25,55.17,45.75,59.36,52.89,29.87,30.91,29.97,25.99,19.18
Restricted Cash,0.29,2.35,0.42,0.67,0.34,2.09,2.49,0.42,0.39,-
Other Current Assets,10.72,20.16,3.95,2.27,0.21,1.9,1.07,0.33,2.06,0.18
Total Current Assets,"2,399","2,477","2,672","2,816","1,931","1,779","1,538","1,517","1,617","1,433"
"Property, Plant & Equipment",618.92,575.47,561.4,509.84,467.18,453.54,384.22,341.31,314.67,291.23
Other Intangible Assets,-,-,-,-,-,-,6.9,8.2,-,-
Long-Term Deferred Tax Assets,91.35,73.92,62.59,39.08,27.39,21.42,13.65,10.83,5.29,4.83
Other Long-Term Assets,28.05,27.28,24.96,28.19,36.44,35.73,57.81,55.15,38.77,36.41
Total Assets,"3,137","3,154","3,321","3,393","2,462","2,290","2,001","1,933","1,976","1,766"
Accounts Payable,726.6,606.38,646.61,805.58,634.97,516.3,444.94,506.32,414,397.2
Accrued Expenses,154.12,140.24,140.44,124.37,103.27,109.97,104.99,90.43,93.95,82.39
Current Portion of Long-Term Debt,42.33,152.61,236.17,268.88,61.7,144.13,100.7,-,286.93,78.64
Current Portion of Leases,11.72,19.41,12.4,13.04,14.49,10.42,-,5.53,-,-
Current Unearned Revenue,151.3,154.7,158.7,298.8,101.1,55.6,67.9,35.9,-,-
Other Current Liabilities,432.63,569.95,618.35,495.52,213.18,167.09,146.97,99.49,112.71,92.2
Total Current Liabilities,"1,519","1,643","1,813","2,006","1,129","1,004",865.5,737.67,907.59,650.44
Long-Term Debt,50.92,51.24,151.58,148.52,150.11,150.94,142.79,148.76,26.17,184
Long-Term Leases,70.49,71.03,77.82,72.89,74.89,73.81,44.49,34.33,-,-
Long-Term Deferred Tax Liabilities,6,8.23,4.35,6.33,5.68,6.43,5.31,14.38,-,-
Other Long-Term Liabilities,36.43,55.2,60.37,63.57,74.28,77.66,77.22,76.37,16.48,14.58
Total Liabilities,"1,683","1,829","2,107","2,297","1,434","1,312","1,135","1,011",950.24,849.02
Common Stock,0.55,0.55,0.54,0.54,0.54,0.54,0.53,0.53,0.52,0.51
Additional Paid-In Capital,695.65,680.64,661.27,652.47,639.78,621.56,597.4,581.49,555.3,530.65
Retained Earnings,"1,996","1,823","1,711","1,572","1,434","1,295","1,179","1,062","1,049",937.14
Treasury Stock,"-1,255","-1,190","-1,134","-1,093","-1,043",-934.64,-893.25,-711.14,-574.1,-539.97
Comprehensive Income & Other,17.81,10.61,-24.33,-36.03,-2.98,-5.06,-17.78,-11.98,-4.98,-11.54
Shareholders' Equity,"1,455","1,325","1,214","1,096","1,028",977.48,865.58,921.14,"1,026",916.8
Total Liabilities & Equity,"3,137","3,154","3,321","3,393","2,462","2,290","2,001","1,933","1,976","1,766"
Total Debt,175.46,294.29,477.97,503.32,301.19,379.31,287.98,188.62,313.11,262.64
Net Cash (Debt),131.01,50.82,-221.74,-228.52,-31.02,6.5,-64.22,108.65,255.75,170.32
Net Cash Growth,157.79%,-,-,-,-,-,-,-57.52%,50.16%,79.66%
Net Cash Per Share,4.74,1.82,-7.89,-8.04,-1.06,0.22,-2.07,3.20,7.40,5.00
Filing Date Shares Outstanding,26.77,27.09,27.47,27.63,28,28.82,29.18,31.47,33.59,33.51
Total Common Shares Outstanding,26.83,27.12,27.47,27.68,28.05,29,29,31.84,33.46,33.46
Working Capital,880.11,833.86,859.56,809.93,802.18,775.64,672.79,779.49,709.86,782.91
Book Value Per Share,54.22,48.85,44.21,39.59,36.66,33.70,29.84,28.93,30.66,27.40
Tangible Book Value,"1,455","1,325","1,214","1,096","1,028",977.48,858.68,912.94,"1,026",916.8
Tangible Book Value Per Share,54.22,48.85,44.21,39.59,36.66,33.70,29.61,28.67,30.66,27.40
Land,393.83,386.68,368.56,350.35,301.58,298.72,265.33,244.09,238.71,235.01
Machinery,682.28,670.59,622.86,560.78,561.1,540.24,505.59,483.68,455.37,437.55
Construction In Progress,91.37,23.87,28.88,28.19,28.09,16.28,37.77,30.72,12.35,4.3
