Period Ending,"Sep '25Sep 27, 2025","Sep '24Sep 28, 2024","Sep '23Sep 30, 2023","Oct '22Oct 1, 2022","Oct '21Oct 2, 2021","Oct '20Oct 3, 2020","Sep '19Sep 28, 2019","Sep '18Sep 29, 2018","Sep '17Sep 30, 2017","Oct '16Oct 1, 2016"
Revenue,"4,033","3,961","4,210","3,811","3,369","3,390","3,164","2,874","2,528","2,556"
Revenue Growth (YoY),1.82%,-5.92%,10.47%,13.13%,-0.64%,7.14%,10.12%,13.66%,-1.09%,-3.70%
Cost of Revenue,"3,626","3,582","3,816","3,464","3,046","3,078","2,873","2,616","2,272","2,326"
Gross Profit,406.51,378.53,394.55,347.23,323.3,312.71,291.84,257.6,255.86,230.23
"Selling, General & Admin",199.67,190.31,175.77,166.83,144.03,153.22,147.93,139.94,125.95,115.33
Operating Expenses,199.67,190.31,175.77,166.83,144.03,153.22,147.93,139.94,125.95,115.33
Operating Income,206.85,188.22,218.79,180.4,179.27,159.48,143.91,117.66,129.91,114.9
Interest Expense,-11.61,-28.88,-31.54,-15.86,-14.25,-16.16,-12.85,-12.23,-13.58,-14.64
Interest & Investment Income,3.92,3.86,3.14,1.31,1.37,1.88,1.95,4.7,5.04,4.24
Currency Exchange Gain (Loss),0.4,1.72,-1.16,-1.37,0.36,-0.51,0.33,1.82,2.3,-2.05
Other Non Operating Income (Expenses),-6.86,-15.13,-5.12,-4.15,-3.07,-3.29,-5.7,-4.34,-1.85,0.05
EBT Excluding Unusual Items,192.7,149.79,184.11,160.32,163.68,141.4,127.63,107.61,121.82,102.51
Merger & Restructuring Charges,-4.68,-22.51,-8.87,-2.02,-3.27,-6,-1.68,-,-,-7.03
Legal Settlements,-,-,-14.23,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-,-,-,-,-8.08
Pretax Income,188.02,129.53,161.01,158.3,160.41,135.4,125.96,107.61,121.82,87.39
Income Tax Expense,15.13,17.72,21.92,20.06,21.5,17.92,17.34,94.57,9.76,10.97
Net Income,172.89,111.82,139.09,138.24,138.91,117.48,108.62,13.04,112.06,76.43
Net Income to Common,172.89,111.82,139.09,138.24,138.91,117.48,108.62,13.04,112.06,76.43
Net Income Growth,54.62%,-19.61%,0.62%,-0.48%,18.24%,8.16%,732.94%,-88.36%,46.63%,-18.98%
Shares Outstanding (Basic),27,27,28,28,29,29,30,33,34,33
Shares Outstanding (Diluted),28,28,28,28,29,30,31,34,35,34
Shares Change (YoY),-1.05%,-0.73%,-1.14%,-2.50%,-2.50%,-3.73%,-8.39%,-1.84%,1.33%,-0.82%
EPS (Basic),6.39,4.08,5.04,4.96,4.86,4.02,3.59,0.40,3.33,2.29
EPS (Diluted),6.26,4.01,4.95,4.86,4.76,3.93,3.50,0.38,3.24,2.24
EPS Growth,56.11%,-18.99%,1.85%,2.10%,21.12%,12.29%,821.05%,-88.27%,44.64%,-18.25%
Free Cash Flow,153.97,341.32,61.77,-127.85,85.48,160.28,24.7,4.05,133.2,96.62
Free Cash Flow Per Share,5.58,12.23,2.20,-4.50,2.93,5.36,0.80,0.12,3.85,2.83
Gross Margin,10.08%,9.56%,9.37%,9.11%,9.60%,9.22%,9.22%,8.96%,10.12%,9.01%
Operating Margin,5.13%,4.75%,5.20%,4.73%,5.32%,4.70%,4.55%,4.09%,5.14%,4.50%
Profit Margin,4.29%,2.82%,3.30%,3.63%,4.12%,3.46%,3.43%,0.45%,4.43%,2.99%
Free Cash Flow Margin,3.82%,8.62%,1.47%,-3.35%,2.54%,4.73%,0.78%,0.14%,5.27%,3.78%
EBITDA,284.64,266.07,288.55,243.08,240.28,216.17,196.11,165.96,175.24,162.32
EBITDA Margin,7.06%,6.72%,6.85%,6.38%,7.13%,6.38%,6.20%,5.78%,6.93%,6.35%
D&A For EBITDA,77.79,77.85,69.76,62.69,61.01,56.69,52.21,48.3,45.33,47.41
EBIT,206.85,188.22,218.79,180.4,179.27,159.48,143.91,117.66,129.91,114.9
EBIT Margin,5.13%,4.75%,5.20%,4.73%,5.32%,4.70%,4.55%,4.09%,5.14%,4.50%
Effective Tax Rate,8.05%,13.68%,13.61%,12.67%,13.40%,13.23%,13.77%,87.88%,8.01%,12.55%
