Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024"
Cash & Equivalents,210.81,166.01,163.05
Short-Term Investments,50.6,80.68,123.91
Cash & Short-Term Investments,261.41,246.69,286.96
Cash Growth,-,-14.03%,-
Receivables,147.31,195.1,113.95
Inventory,5.44,5.76,7.31
Prepaid Expenses,9.12,29.95,31.07
Other Current Assets,86.07,50.9,40.84
Total Current Assets,509.34,528.41,480.13
"Property, Plant & Equipment",129.13,134.05,127.45
Goodwill,61.08,61.08,57.18
Other Intangible Assets,26.52,37.24,36.54
Long-Term Deferred Charges,84.17,78.81,64.99
Other Long-Term Assets,17.15,18.92,7.51
Total Assets,827.39,858.51,773.79
Accounts Payable,7.04,2.65,7.53
Accrued Expenses,72.99,75.56,62.42
Current Portion of Leases,10.44,10.27,11.32
Current Income Taxes Payable,1.92,1.29,2.66
Current Unearned Revenue,453.3,430.16,335.35
Other Current Liabilities,9.08,6.78,8.28
Total Current Liabilities,554.77,526.71,427.56
Long-Term Debt,700.34,626.62,472.5
Long-Term Leases,25.35,25.81,24.68
Long-Term Unearned Revenue,153.08,160.15,101.58
Other Long-Term Liabilities,5.93,4.81,4.29
Total Liabilities,"1,439","1,344","1,031"
Common Stock,0.01,0.01,0.01
Additional Paid-In Capital,458.19,418.79,312.44
Retained Earnings,"-2,119","-1,950","-1,595"
Comprehensive Income & Other,-1.78,-5.44,-24.83
Total Common Equity,"-1,663","-1,536","-1,307"
Shareholders' Equity,-612.08,-485.59,-256.82
Total Liabilities & Equity,827.39,858.51,773.79
Total Debt,736.12,662.7,508.5
Net Cash (Debt),-474.72,-416.01,-221.54
Net Cash Per Share,-4.59,-4.27,-2.42
Filing Date Shares Outstanding,109.32,104.59,91.39
Total Common Shares Outstanding,109.32,104.59,91.39
Working Capital,-45.43,1.7,52.57
Book Value Per Share,-15.21,-14.69,-14.30
Tangible Book Value,"-1,750","-1,634","-1,401"
Tangible Book Value Per Share,-16.01,-15.63,-15.33
Machinery,211.56,202.84,168.92
Leasehold Improvements,4.49,4.49,3.69
