Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024"
Revenue,615.51,538.27,406.88
Revenue Growth (YoY),-,32.29%,-
Cost of Revenue,191.65,190.37,163.63
Gross Profit,423.86,347.9,243.25
"Selling, General & Admin",345.39,349.45,331.55
Research & Development,264.55,254.19,224.5
Operating Expenses,610.21,603.64,556.05
Operating Income,-186.35,-255.74,-312.8
Other Non Operating Income (Expenses),-125.44,-94.53,-25.27
Pretax Income,-311.77,-350.27,-338.07
Income Tax Expense,5.55,4.24,6.78
Net Income,-317.32,-354.51,-344.85
Net Income to Common,-317.32,-354.51,-344.85
Shares Outstanding (Basic),103,98,91
Shares Outstanding (Diluted),103,98,91
Shares Change (YoY),-,6.70%,-
EPS (Basic),-3.07,-3.64,-3.77
EPS (Diluted),-3.07,-3.64,-3.77
Free Cash Flow,-20.25,-144.37,-197.78
Free Cash Flow Per Share,-0.20,-1.48,-2.16
Gross Margin,68.86%,64.63%,59.78%
Operating Margin,-30.28%,-47.51%,-76.88%
Profit Margin,-51.55%,-65.86%,-84.75%
Free Cash Flow Margin,-3.29%,-26.82%,-48.61%
EBITDA,-140.82,-208.9,-265.45
EBITDA Margin,-22.88%,-38.81%,-65.24%
D&A For EBITDA,45.53,46.84,47.35
EBIT,-186.35,-255.74,-312.8
EBIT Margin,-30.28%,-47.51%,-76.88%
Advertising Expenses,-,4.5,4.1
