Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Interest and Dividend Income,133.48,130.45,155.79,91.88
Total Interest Expense,1.99,0.12,-,-
Net Interest Income,131.49,130.33,155.79,91.88
Brokerage Commission,66.63,49.04,30.68,8.5
Other Revenue,258.98,209.6,202.03,287.82
Revenue,457.1,388.97,388.5,388.21
Revenue Growth (YoY),26.52%,0.12%,0.08%,-
Salaries & Employee Benefits,47.02,32.59,29.41,30.02
Cost of Services Provided,392.06,372,337.21,289.76
Other Operating Expenses,10.01,-1.59,-0.6,-1.84
Total Operating Expenses,449.08,402.99,366.03,317.94
Operating Income,8.02,-14.02,22.47,70.26
Currency Exchange Gains,-1.83,1.97,-2.3,5.51
EBT Excluding Unusual Items,6.18,-12.05,20.18,75.77
Other Unusual Items,-,-,-,1.41
Pretax Income,6.18,-12.05,20.18,65.69
Income Tax Expense,23.27,13.82,16.14,32.21
Earnings From Continuing Ops.,-17.09,-25.87,4.04,33.47
Earnings From Discontinued Ops.,2.69,2.69,1.78,16.6
Net Income to Company,-14.4,-23.18,5.82,50.08
Minority Interest in Earnings,0.52,0.49,0.25,-
Net Income,-13.88,-22.69,6.07,50.08
Preferred Dividends & Other Adjustments,-91.43,495.09,340.08,51.41
Net Income to Common,77.55,-517.78,-334.01,-1.33
Net Income Growth,-,-,-87.88%,-
Shares Outstanding (Basic),213,139,138,134
Shares Outstanding (Diluted),213,139,138,134
Shares Change (YoY),13.84%,0.63%,2.58%,-
EPS (Basic),0.36,-3.73,-2.42,-0.01
EPS (Diluted),0.36,-3.73,-2.42,-0.01
Free Cash Flow,392.8,182.8,466.05,-62.76
Free Cash Flow Per Share,1.85,1.32,3.38,-0.47
Operating Margin,1.75%,-3.60%,5.79%,18.10%
Profit Margin,16.97%,-133.12%,-85.97%,-0.34%
Free Cash Flow Margin,85.93%,47.00%,119.96%,-16.17%
Effective Tax Rate,376.45%,-,79.99%,49.04%
Revenue as Reported,460.26,390.23,389.6,388.33
