Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,476.68,270.73,372.34,436.22
Short-Term Investments,"1,191",939.23,621.8,61.1
Accounts Receivable,613.92,566.97,76.29,52.14
Other Receivables,-,2.99,12.94,8.48
"Property, Plant & Equipment",97.09,99.92,46.21,44.43
Goodwill,5.2,5.2,5.2,-
Other Intangible Assets,20.48,19.42,21.4,18.04
Investments in Debt & Equity Securities,127.46,108.25,45.53,0.49
Other Current Assets,82.59,43.58,53.77,467.15
Long-Term Deferred Tax Assets,9.73,12.37,4.65,3.65
Other Long-Term Assets,1,-,0.02,-0
Total Assets,"2,625","2,069","1,260","1,092"
Accounts Payable,"1,697","1,390",642.83,83.94
Accrued Expenses,56,42.21,27.19,48.63
Current Portion of Leases,3.38,4.97,3.47,2.51
Other Current Liabilities,-,9.21,7.02,428.03
Long-Term Leases,9.62,10.44,9.59,9.63
Long-Term Deferred Tax Liabilities,5.68,5.29,5.77,5.45
Total Liabilities,"1,872","1,462",695.88,578.18
Common Stock,0,0.01,0.01,0
Retained Earnings,"-2,232","-2,241","-1,756","-1,444"
Comprehensive Income & Other,-4.23,-15.2,-6.86,-8.52
Total Common Equity,751.56,"-2,256","-1,763","-1,453"
Minority Interest,1,1.27,0.66,-
Shareholders' Equity,752.56,606.77,564.26,513.5
Total Liabilities & Equity,"2,625","2,069","1,260","1,092"
Total Debt,112.99,15.41,13.07,12.14
Net Cash (Debt),"1,554","1,195",981.07,485.18
Net Cash Growth,44.28%,21.76%,102.21%,-
Net Cash Per Share,7.31,8.60,7.11,3.61
Filing Date Shares Outstanding,484.06,461.45,40.81,40.41
Total Common Shares Outstanding,484.06,139.31,40.81,40.41
Working Capital,606.91,377.34,456.63,461.98
Book Value Per Share,1.55,-16.20,-43.20,-35.95
Tangible Book Value,725.88,"-2,281","-1,789","-1,471"
Tangible Book Value Per Share,1.50,-16.37,-43.85,-36.40
