Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,730.7,"1,328",614.9,232.8,533,314.9,551.3,519.3,430,352.7,356.9
Short-Term Investments,194.6,265.9,741.1,"1,111","1,185",806.4,607.7,570,-,-,-
Cash & Short-Term Investments,925.3,"1,594","1,356","1,343","1,718","1,121","1,159","1,089",430,352.7,356.9
Cash Growth,3.87%,17.57%,0.94%,-21.81%,53.22%,-3.25%,6.40%,153.33%,21.92%,-1.18%,-
Accounts Receivable,73.9,70.4,68.7,53.8,49.6,43.4,36.7,28.6,29.3,13.1,14.3
Other Receivables,-,-,-,6.5,4.1,2.7,7.4,46.2,5.2,3.1,28.7
Receivables,73.9,70.4,68.7,60.3,53.7,46.1,44.1,74.8,34.5,16.2,43
Prepaid Expenses,63.3,51.4,68.5,52.5,47.2,33.4,20.2,31.6,45.5,40.8,24.3
Restricted Cash,2.8,1.1,-,-,-,-,-,-,-,-,-
Other Current Assets,17.4,21.3,23.4,33.6,30.8,26.7,19.9,14.5,8.1,3.7,1.2
Total Current Assets,"1,083","1,738","1,517","1,490","1,850","1,228","1,243","1,210",518.1,413.4,425.4
"Property, Plant & Equipment",657.6,517.7,493,569,735.9,809.2,"1,103",310.6,341.9,444,437.6
Goodwill,453.4,442.8,402.2,403.3,356.6,236.9,234.5,96.5,98.9,96,96.1
Other Intangible Assets,40.4,54.9,58.1,88.3,53.6,33.5,47.4,14.7,17,24.2,33
Long-Term Deferred Tax Assets,433.9,466.7,460.4,498.7,41.2,-,-,-,-,-,-
Long-Term Deferred Charges,19.1,21.9,22,25.7,34.6,47.3,43.5,38.3,24.8,16.4,5.3
Other Long-Term Assets,108.7,82.8,31.2,35.3,19.6,32.8,27.4,23.8,19.2,10.2,13.1
Total Assets,"2,796","3,325","2,984","3,110","3,091","2,387","2,699","1,694","1,020","1,004","1,011"
Accounts Payable,37.3,36.5,38.5,38.6,25.7,18.7,40.7,33.3,31.9,15.5,17.3
Accrued Expenses,226.3,244.4,247.5,271.6,279.9,270.3,263.3,204.4,161.2,106.9,75.8
Short-Term Debt,-,-,-,-,-,-,-,-,9.7,11.4,10.1
Current Portion of Long-Term Debt,706.4,10,-,-,-,-,-,-,-,-,-
Current Portion of Leases,184.1,188.2,173.6,183.7,198.7,188.3,156.6,73.8,102.7,127.6,123
Current Income Taxes Payable,-,-,-,-,-,-,-,-,0.4,2.2,0.3
Current Unearned Revenue,740.6,727.7,725,702.6,671.5,610.5,554.2,485,417.9,353,266.9
Other Current Liabilities,8.5,4,16.9,-,-,-,-,41,14.6,18.7,37.7
