Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"7,866","9,304","10,193","7,878","9,326","9,178","7,438","8,305",-,-,-
Market Cap Growth,-6.39%,-8.72%,29.39%,-15.53%,1.61%,23.39%,-10.44%,-,-,-,-
Enterprise Value,"10,195","10,437","11,145","8,704","9,898","9,074","7,309","7,432",-,-,-
Last Close Price,30.40,30.04,29.48,22.38,24.54,22.19,17.91,20.43,-,-,-
PE Ratio,18.20,20.57,22.47,14.24,27.77,-,-,-,-,-,-
Forward PE,10.31,11.80,14.61,13.34,16.17,24.16,33.08,48.88,-,-,-
PS Ratio,3.38,3.65,4.08,3.39,4.32,4.80,4.48,5.97,-,-,-
PB Ratio,-,-12.37,-61.48,-25.46,-31.73,27.50,9.20,12.27,-,-,-
P/TBV Ratio,-,-,-,-,-,144.77,14.13,14.68,-,-,-
P/FCF Ratio,8.58,10.68,13.42,10.32,13.18,18.70,18.96,22.92,-,-,-
P/OCF Ratio,8.46,10.41,13.01,9.88,12.78,16.08,14.08,19.52,-,-,-
PEG Ratio,1.67,0.99,1.00,1.58,0.65,0.59,1.49,3.11,-,-,-
EV/Sales Ratio,4.03,4.10,4.46,3.74,4.59,4.74,4.40,5.34,-,-,-
EV/EBITDA Ratio,12.38,15.56,18.80,16.95,21.60,32.35,78.59,-,-,-,-
EV/EBIT Ratio,15.25,19.56,26.36,24.42,32.25,74.87,-,-,-,-,-
EV/FCF Ratio,11.13,11.97,14.68,11.40,13.99,18.49,18.63,20.51,-,-,-
Debt / Equity Ratio,-2.13,-3.98,-12.25,-7.42,-8.06,3.35,1.25,0.24,2.03,2.41,1.85
Debt / EBITDA Ratio,3.74,4.16,3.13,3.92,4.32,2.81,5.32,-,3.07,-,-
Debt / FCF Ratio,3.55,3.44,2.67,3.01,3.35,2.28,2.57,0.45,0.69,2.15,-
Asset Turnover,0.94,0.81,0.82,0.75,0.79,0.75,0.76,1.03,1.09,0.84,-
Quick Ratio,0.53,1.38,1.19,1.17,1.51,1.07,1.19,1.39,0.63,0.58,0.75
Current Ratio,0.57,1.44,1.26,1.25,1.57,1.13,1.23,1.45,0.70,0.65,0.80
Return on Equity (ROE),-,-,-,-,1683.21%,-44.88%,-7.10%,-124.38%,-98.98%,-136.32%,-
Return on Assets (ROA),15.55%,10.57%,8.67%,7.19%,7.00%,2.98%,-2.29%,-22.75%,-7.02%,-12.01%,-
Return on Capital (ROIC),26.11%,16.23%,13.73%,10.98%,10.87%,4.63%,-3.79%,-53.59%,-19.46%,-25.52%,-
Return on Capital Employed (ROCE),74.90%,25.20%,23.70%,18.60%,16.00%,9.30%,-,-,-,-,-
Earnings Yield,6.39%,4.86%,4.45%,7.02%,3.60%,-2.79%,-0.71%,-5.84%,-,-,-
FCF Yield,11.65%,9.37%,7.45%,9.69%,7.59%,5.35%,5.27%,4.36%,-,-,-
Buyback Yield / Dilution,11.08%,5.58%,4.31%,-12.66%,4.46%,-0.66%,-14.78%,-83.05%,-3.60%,-2.48%,-
