Period Ending,"Sep '25Sep 30, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Cash & Equivalents,212.89,79.49,90.52,23.36,40.58,67.81,24.7,77.48,34.08,26.78,39.33
Short-Term Investments,-,-,-,-,-,5.14,30.15,-,-,-,-
Cash & Short-Term Investments,212.89,79.49,90.52,23.36,40.58,72.95,54.85,77.48,34.08,26.78,39.33
Cash Growth,195.14%,-12.18%,287.51%,-42.44%,-44.37%,33.01%,-29.21%,127.33%,27.26%,-31.90%,91.95%
Accounts Receivable,39.87,46.19,26.33,30.67,20.28,13.27,16.99,7.86,7.37,7.96,19.26
Receivables,39.87,46.19,26.33,30.67,20.28,13.27,16.99,10.74,10.37,7.96,19.26
Inventory,75.46,71.17,41.86,36.99,23.67,13.31,18.98,12.12,19.78,17.46,18.51
Prepaid Expenses,11.78,8.06,7.3,13.43,7.05,3.55,2.96,3.05,2.95,2.7,5.78
Restricted Cash,2.87,1.61,0.47,1.73,2.75,2.16,0.51,-,-,0.8,0.46
Total Current Assets,342.86,206.52,166.47,106.17,94.34,105.23,94.28,103.4,67.18,55.7,83.34
"Property, Plant & Equipment",42.75,42.4,13.42,15.17,17.16,12.74,11.92,8.97,12.51,43.44,49.78
Long-Term Investments,1.51,1.11,-,-,-,-,5.05,-,-,-,-
Goodwill,48.16,48.16,43.47,43.47,43.47,34.63,1.72,1.72,1.72,-,-
Other Intangible Assets,5.24,5.92,6.37,8.53,11.31,9.15,3.55,2.89,3.23,0.3,0.85
Long-Term Deferred Tax Assets,1.25,1.18,1.12,1.11,1.22,1.22,1.55,1.36,0.54,0.41,0.1
Other Long-Term Assets,3.83,5.23,1.93,1.11,6.39,5.88,6.04,0.99,0.44,0.4,1.25
Total Assets,445.6,310.52,232.77,175.56,173.89,168.87,124.11,119.33,88.18,100.24,135.32
Accounts Payable,7.4,6.73,4.48,13.94,13.19,5.35,10.05,2.94,3.1,3.21,5.84
Accrued Expenses,18.88,20.85,14.68,11.57,9.68,10.85,8.43,7.41,7.22,7.6,12.44
Current Portion of Long-Term Debt,-,-,0.03,0.08,0.07,-,-,-,-,1.48,2.62
Current Portion of Leases,0.97,0.69,0.72,0.81,0.75,0.61,0.44,-,-,-,-
Current Income Taxes Payable,0.46,0.31,0.35,0.41,0.41,0.52,0.93,3.36,0.54,1.34,1.28
Current Unearned Revenue,52.16,66.8,50.73,43.57,22.81,13.27,18.43,7.56,13.48,14.32,12
Other Current Liabilities,7.94,4.4,7.83,13.74,7.07,10.14,2.68,7.12,2.99,4.27,6.83
Total Current Liabilities,87.8,99.76,78.81,84.11,53.96,40.74,40.96,28.38,27.33,32.22,41.01
Long-Term Debt,-,-,-,0.02,0.09,-,-,-,-,-,1.37
Long-Term Leases,2.68,2.68,1.97,2.18,2.9,3.25,3,-,-,-,-
Long-Term Unearned Revenue,11.23,9.34,7.1,7.19,7.22,7.99,7.71,7.96,8.45,7.63,9.27
Long-Term Deferred Tax Liabilities,1.67,1.6,0.3,0.24,0.3,0.27,0.18,1.7,0.11,0.13,0.06
Other Long-Term Liabilities,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.09,0.06,0.05,0.06
Total Liabilities,103.42,113.41,88.2,93.76,64.5,52.27,51.89,38.14,35.95,40.02,51.77
Common Stock,0.46,0.4,0.37,0.3,0.29,0.28,0.23,0.22,0.21,0.15,0.14
Additional Paid-In Capital,"1,393","1,260","1,213","1,139","1,134","1,121","1,054","1,045","1,041","1,018","1,012"
Retained Earnings,"-1,049","-1,061","-1,067","-1,056","-1,021","-1,001",-978.64,-961.54,-988.33,-955.56,-928.18
Treasury Stock,-3.77,-3.77,-3.64,-3.64,-3.64,-3.59,-2.67,-2.1,-1.65,-1.37,-0.88
Comprehensive Income & Other,1.38,1.57,1.58,1.57,-0.29,-0.28,-0.22,-0.01,0.88,-0.5,0.66
Shareholders' Equity,342.18,197.11,144.57,81.8,109.39,116.59,72.22,81.19,52.23,60.23,83.55
Total Liabilities & Equity,445.6,310.52,232.77,175.56,173.89,168.87,124.11,119.33,88.18,100.24,135.32
Total Debt,3.65,3.37,2.71,3.08,3.8,3.86,3.44,-,-,1.48,3.99
Net Cash (Debt),209.24,76.13,87.81,20.28,36.78,69.1,56.46,77.48,34.08,25.3,35.34
Net Cash Growth,204.30%,-13.31%,333.05%,-44.87%,-46.77%,22.39%,-27.14%,127.33%,34.70%,-28.40%,174.86%
Net Cash Per Share,5.20,2.02,2.94,0.73,1.35,2.89,2.68,3.74,1.80,1.83,2.68
Filing Date Shares Outstanding,45.19,39.5,36.99,29.6,28.52,28.02,22.64,21.45,20.97,14.62,14.05
Total Common Shares Outstanding,45.19,39.48,36.95,29.54,28.52,27.59,22.6,21.42,20.97,14.62,14.06
Working Capital,255.06,106.75,87.66,22.07,40.37,64.49,53.32,75.01,39.85,23.48,42.33
Book Value Per Share,7.57,4.99,3.91,2.77,3.84,4.23,3.19,3.79,2.49,4.12,5.94
Tangible Book Value,288.78,143.03,94.73,29.8,54.61,72.81,66.95,76.58,47.28,59.93,82.7
Tangible Book Value Per Share,6.39,3.62,2.56,1.01,1.91,2.64,2.96,3.58,2.25,4.10,5.88
Land,22.65,22.65,0.98,0.98,0.98,0.27,-,-,-,3.64,3.64
Buildings,7.99,7.53,5.42,5.42,5.27,1.63,-,-,-,34.55,34.55
Machinery,51.7,49.45,45.62,44.69,45.05,42.99,43.04,46.97,74.64,74.65,74.87
Construction In Progress,0.6,1.37,0.23,0.75,0.57,0.22,3.13,0.6,0.65,0.6,0.6
Leasehold Improvements,8.26,7.97,6.99,6.82,6.63,6.31,2.48,1.96,1.43,2.44,3.6
Order Backlog,-,-,-,-,-,-,-,-,-,65.6,-
