Period Ending,"Nov '25Nov 18, 2025","Mar '25Mar 31, 2025","Mar '24Mar 31, 2024","Mar '23Mar 31, 2023","Mar '22Mar 31, 2022","Mar '21Mar 31, 2021","Mar '20Mar 31, 2020","Mar '19Mar 31, 2019","Mar '18Mar 31, 2018","Mar '17Mar 31, 2017","Mar '16Mar 31, 2016"
Market Capitalization,"1,408",716,488,145,217,523,124,273,122,98,107
Market Cap Growth,45.59%,46.62%,236.71%,-33.05%,-58.59%,323.06%,-54.78%,124.32%,24.91%,-8.60%,73.12%
Enterprise Value,"1,227",644,467,125,176,449,67,193,100,74,75
Last Close Price,32.13,18.14,13.51,4.91,7.61,18.96,5.48,12.86,5.82,6.86,7.60
PE Ratio,82.76,118.65,-,-,-,-,-,10.21,-,-,-
Forward PE,44.11,38.87,-,-,-,-,-,-,-,-,-
PS Ratio,4.75,3.21,3.35,1.37,2.00,6.00,1.94,4.86,2.52,1.30,1.11
PB Ratio,4.24,3.63,3.38,1.77,1.98,4.49,1.71,3.37,2.33,1.62,1.28
P/TBV Ratio,4.97,5.00,5.15,4.87,3.97,7.18,1.85,3.57,2.58,1.63,1.29
P/FCF Ratio,75.55,27.67,405.48,-,-,-,-,6.55,-,-,-
P/OCF Ratio,63.05,25.31,228.35,-,-,-,-,6.40,-,-,-
EV/Sales Ratio,4.61,2.89,3.21,1.18,1.63,5.15,1.04,3.44,2.06,0.98,0.78
EV/EBITDA Ratio,68.23,49.69,-,-,-,-,-,-,-,-,-
EV/EBIT Ratio,99.81,87.03,-,-,-,-,-,-,-,-,-
EV/FCF Ratio,64.54,24.89,387.71,-,-,-,-,4.63,-,-,-
Debt / Equity Ratio,0.01,0.02,0.02,0.04,0.04,0.03,0.05,-,-,0.03,0.05
Debt / EBITDA Ratio,0.18,0.23,-,-,-,-,-,-,-,-,-
Debt / FCF Ratio,0.19,0.13,2.25,-,-,-,-,-,-,-,-
Asset Turnover,0.72,0.82,0.71,0.61,0.63,0.60,0.52,0.54,0.51,0.64,0.71
Inventory Turnover,2.55,2.84,2.80,3.21,5.10,4.26,3.50,2.65,2.13,3.58,3.79
Quick Ratio,2.88,1.26,1.48,0.64,1.13,2.12,1.75,3.01,1.52,1.08,1.43
Current Ratio,3.91,2.07,2.11,1.26,1.75,2.58,2.30,3.64,2.46,1.73,2.03
Return on Equity (ROE),5.72%,3.53%,-9.82%,-36.66%,-16.99%,-24.02%,-22.29%,40.12%,-58.29%,-38.08%,-28.32%
Return on Assets (ROA),2.07%,1.70%,-1.98%,-11.41%,-9.61%,-8.02%,-11.88%,-10.98%,-17.02%,-14.62%,-8.98%
Return on Capital (ROIC),2.86%,2.66%,-3.48%,-20.13%,-14.09%,-11.98%,-18.43%,-17.07%,-28.15%,-23.07%,-13.81%
Return on Capital Employed (ROCE),3.40%,3.50%,-4.20%,-34.90%,-22.00%,-14.70%,-27.80%,-20.00%,-42.20%,-40.50%,-20.50%
Earnings Yield,1.05%,0.84%,-2.28%,-24.17%,-8.86%,-4.34%,-13.83%,9.79%,-26.90%,-28.06%,-21.68%
FCF Yield,1.32%,3.61%,0.25%,-16.36%,-9.20%,-2.00%,-16.28%,15.28%,-22.45%,-12.17%,-5.40%
Buyback Yield / Dilution,-19.36%,-26.46%,-7.10%,-2.37%,-13.92%,-13.34%,-1.65%,-9.27%,-37.40%,-4.75%,-55.46%
