Period Ending,"Sep '25Sep 27, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Cash & Equivalents,56.03,73.95,149.9,229.43,305.8,373.9,39.34,17.13,4.21,4.95,5.6
Trading Asset Securities,-,-,5.6,10,-,-,-,-,-,-,-
Cash & Short-Term Investments,56.03,73.95,155.5,239.43,305.8,373.9,39.34,17.13,4.21,4.95,5.6
Cash Growth,-30.96%,-52.44%,-35.05%,-21.70%,-18.21%,850.39%,129.64%,307.13%,-14.90%,-11.62%,-
Accounts Receivable,46.13,36,71.11,64.41,49.01,49.53,39.77,46.53,40.26,31.94,27.47
Other Receivables,-,14.79,16.74,16.53,7.65,9.6,5.81,5.01,3.54,2.83,2.28
Receivables,46.13,50.79,87.84,80.94,56.66,59.13,45.58,51.54,43.79,34.77,29.75
Inventory,88.01,93.92,119.91,123.16,123.67,111.27,127.56,116.02,91.15,87.06,75.02
Prepaid Expenses,30.01,31.17,33.42,30.31,28.45,22.35,22.17,30.02,23.33,20.48,17.44
Total Current Assets,220.19,249.83,396.67,473.84,514.58,566.65,234.64,214.7,162.48,147.26,127.8
"Property, Plant & Equipment",726.93,770.76,766.46,742.6,701.34,681.43,714.86,355.12,302.28,256.41,207.2
Long-Term Investments,3.3,1.8,1.8,4.1,-,-,-,1,2.3,3.3,4.7
Goodwill,700.64,698.31,717.54,777.61,777.61,777.61,777.61,777.61,792.74,793.23,796.57
Other Intangible Assets,248.27,248.82,260.72,275.22,282.57,290.06,297.49,305.08,313.45,321.89,332.36
Other Long-Term Assets,59.14,38.26,29.32,17.88,17,17.74,7.43,6.35,7.19,9.03,6.97
Total Assets,"1,958","2,008","2,173","2,291","2,293","2,333","2,033","1,661","1,582","1,531","1,476"
Accounts Payable,74.26,53.64,67.56,65.28,64.33,64.86,40.78,43.64,35.71,39.4,33.78
Accrued Expenses,-,63.38,83.63,54.22,77.18,65.37,42.6,35.65,33.9,33.89,36.11
Current Portion of Long-Term Debt,13.25,98.02,7.5,-,2.85,5.12,16.88,8.13,12.67,14.73,6.52
Current Portion of Leases,105.98,103.06,88.07,81.32,64.93,61.95,55.2,2.57,1.56,0.77,0.53
Current Income Taxes Payable,-,3.64,1.86,0.1,-,-,-,-,-,-,-
Current Unearned Revenue,111.33,104.51,110.98,103.44,95.22,91.56,83.87,79.44,90.73,83.6,70.92
Other Current Liabilities,112.14,42.01,38.09,39.9,39.3,39.83,33.85,42.22,36.74,27.29,20.46
Total Current Liabilities,416.97,468.27,397.7,344.26,343.8,328.68,273.18,211.65,211.31,199.68,168.32
Long-Term Debt,229.74,239.15,437.68,546.23,544.05,632.27,527.5,552.13,560.71,751.94,739.04
Long-Term Leases,344.6,375.8,389.9,375.27,364.76,354.52,361.81,21.92,10.43,1.92,1.74
Long-Term Unearned Revenue,22.95,22.08,21.46,21.6,23.17,20.83,21.53,20.13,31.22,29.43,27.79
Long-Term Deferred Tax Liabilities,77.03,77.91,87.88,93.87,82.85,80.94,60.15,61.94,71.93,111.28,101.32
Other Long-Term Liabilities,8.43,8.23,8.47,8.9,8.49,9.75,12.13,50.46,41.75,34.98,51.16
Total Liabilities,"1,100","1,191","1,343","1,390","1,367","1,427","1,256",918.24,927.34,"1,129","1,089"
Common Stock,0.86,0.85,0.85,0.84,0.84,0.82,0.81,0.78,0.75,0.56,0.56
Additional Paid-In Capital,825.74,807.05,788.97,767.11,750.48,795.7,700.12,672.5,631.8,424.79,420.39
Retained Earnings,252.4,226.12,254.62,320.52,278.4,142.88,107.13,74.84,32.16,-8.68,-23.43
Treasury Stock,-220.24,-217.69,-214.59,-186.18,-101.79,-28.5,-27.81,-2.16,-0.23,-0.23,-
Comprehensive Income & Other,-,-,-0.42,-1.18,-1.94,-4.4,-3.81,-2.81,-9.87,-14.56,-11.28
Shareholders' Equity,858.76,816.33,829.42,901.11,925.98,906.5,776.44,743.15,654.6,401.89,386.23
Total Liabilities & Equity,"1,958","2,008","2,173","2,291","2,293","2,333","2,033","1,661","1,582","1,531","1,476"
Total Debt,693.57,816.03,923.16,"1,003",976.59,"1,054",961.38,584.75,585.36,769.36,747.83
Net Cash (Debt),-637.54,-742.08,-767.66,-763.4,-670.79,-679.96,-922.04,-567.62,-581.15,-764.42,-742.23
Net Cash Per Share,-8.07,-9.44,-9.77,-9.51,-6.98,-8.21,-11.29,-7.18,-9.37,-13.41,-13.26
Filing Date Shares Outstanding,79.31,78.78,78.31,79,81.41,81.31,80.21,78.21,74.66,56.41,56.09
Total Common Shares Outstanding,79.26,78.78,78.31,78.99,81.41,81.24,79.68,78.17,74.65,56.2,56.09
Working Capital,-196.78,-218.45,-1.03,129.57,170.77,237.97,-38.54,3.05,-48.83,-52.42,-40.52
Book Value Per Share,10.83,10.36,10.59,11.41,11.37,11.16,9.74,9.51,8.77,7.15,6.89
Tangible Book Value,-90.15,-130.79,-148.85,-151.72,-134.2,-161.17,-298.66,-339.54,-451.59,-713.23,-742.7
Tangible Book Value Per Share,-1.14,-1.66,-1.90,-1.92,-1.65,-1.98,-3.75,-4.34,-6.05,-12.69,-13.24
Land,-,3.74,3.74,3.77,3.63,3.62,3.63,3.63,3.61,3.61,3.61
Machinery,-,513.54,487.14,481.16,426.57,392.55,359.02,311.76,262.8,197.76,149.23
Construction In Progress,-,31.62,29.64,36.1,35.11,23.86,26.52,40.7,18.38,28.1,19.29
Leasehold Improvements,-,360.93,323.38,285.51,251.02,220.72,213.12,186.5,155.37,121.96,90.12
