Period Ending,"Nov '25Nov 20, 2025","Dec '24Dec 28, 2024","Dec '23Dec 30, 2023","Dec '22Dec 31, 2022","Jan '22Jan 1, 2022","Jan '21Jan 2, 2021","Dec '19Dec 28, 2019","Dec '18Dec 29, 2018","Dec '17Dec 30, 2017","Dec '16Dec 31, 2016","Jan '16Jan 2, 2016"
Market Capitalization,"1,949",832,"1,638","3,059","3,969","3,669","2,619","2,236","3,032",-,-
Market Cap Growth,125.07%,-49.17%,-46.46%,-22.93%,8.16%,40.12%,17.11%,-26.24%,-,-,-
Enterprise Value,"2,586","1,583","2,383","3,793","4,548","4,337","3,515","2,766","3,948",-,-
Last Close Price,24.72,10.57,20.93,38.76,47.99,45.29,33.10,28.98,40.61,-,-
PE Ratio,-,-,-,72.61,30.95,101.15,79.85,94.54,70.28,-,-
Forward PE,27.31,23.46,37.32,43.24,38.16,49.36,43.54,36.42,60.98,-,-
PS Ratio,1.02,0.46,0.93,1.86,1.91,2.14,1.52,1.46,2.20,-,-
PB Ratio,2.28,1.02,1.97,3.39,4.29,4.05,3.37,3.01,4.63,-,-
P/FCF Ratio,23.49,21.82,28.11,541.26,24.29,23.20,41.08,1047.41,-,-,-
P/OCF Ratio,11.92,6.23,9.47,25.66,15.33,15.62,15.86,20.97,33.59,-,-
PEG Ratio,0.99,1.79,7.86,-,1.58,5.04,2.77,2.51,4.07,-,-
EV/Sales Ratio,1.35,0.87,1.36,2.31,2.19,2.53,2.04,1.80,2.87,-,-
EV/EBITDA Ratio,17.89,12.63,20.05,25.81,16.51,21.88,20.71,20.40,28.53,-,-
EV/EBIT Ratio,47.76,46.54,82.21,65.11,25.49,40.68,42.63,45.14,51.67,-,-
EV/FCF Ratio,31.18,41.49,40.91,671.28,27.83,27.42,55.14,1295.74,-,-,-
Debt / Equity Ratio,0.81,1.00,1.11,1.11,1.06,1.16,1.24,0.79,0.89,1.91,1.94
Debt / EBITDA Ratio,2.43,3.08,3.69,3.77,2.53,3.48,3.60,4.31,4.23,6.14,7.68
Debt / FCF Ratio,8.36,21.39,15.85,177.46,5.98,6.66,15.08,273.89,-,101.74,125.18
Asset Turnover,0.97,0.87,0.79,0.72,0.90,0.78,0.93,0.95,0.88,0.80,-
Inventory Turnover,9.04,7.15,6.05,5.41,7.70,6.64,6.62,6.89,7.15,6.72,-
Quick Ratio,0.25,0.27,0.61,0.93,1.05,1.32,0.31,0.32,0.23,0.20,0.21
Current Ratio,0.53,0.53,1.00,1.38,1.50,1.72,0.86,1.01,0.77,0.74,0.76
Return on Equity (ROE),-0.37%,-3.30%,0.41%,4.02%,14.00%,4.31%,4.32%,3.38%,8.17%,3.39%,-
Return on Assets (ROA),1.70%,1.02%,0.81%,1.59%,4.82%,3.05%,2.79%,2.36%,3.07%,3.02%,-
Return on Capital (ROIC),2.10%,1.26%,0.99%,1.91%,5.78%,3.60%,3.36%,2.98%,3.96%,3.94%,-
Return on Capital Employed (ROCE),3.50%,2.20%,1.60%,3.00%,9.20%,5.30%,4.70%,4.20%,5.60%,5.50%,4.10%
Earnings Yield,-0.12%,-3.42%,-4.02%,1.38%,3.23%,0.99%,1.25%,1.06%,1.42%,-,-
FCF Yield,4.26%,4.58%,3.56%,0.18%,4.12%,4.31%,2.44%,0.10%,-0.10%,-,-
Payout Ratio,-,-,-,-,-,-,-,-,396.36%,-,4027.29%
Buyback Yield / Dilution,-0.65%,0.01%,2.12%,16.47%,-16.11%,-1.36%,-3.34%,-27.41%,-8.83%,-1.86%,-25.22%
