Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"3,643","4,324","4,022","2,894","3,070","2,223","1,674","1,346","2,002","1,246",884
Market Cap Growth,-18.25%,7.50%,38.98%,-5.71%,38.08%,32.79%,24.34%,-32.74%,60.64%,40.99%,-28.72%
Enterprise Value,"4,881","6,093","5,528","4,152","3,719","3,309","3,395","2,802","3,254","2,580","2,401"
Last Close Price,46.71,54.02,48.91,33.34,34.91,25.59,18.90,13.85,20.29,12.74,8.74
PE Ratio,13.86,14.22,11.59,7.40,12.72,19.35,11.82,9.68,11.63,30.71,13.38
Forward PE,14.55,14.95,15.72,10.10,13.58,18.51,13.12,9.68,20.87,27.50,12.75
PS Ratio,0.48,0.55,0.51,0.41,0.60,0.47,0.29,0.25,0.43,0.30,0.18
PB Ratio,1.64,2.00,2.13,1.64,2.09,1.75,1.44,1.26,1.92,1.44,1.05
P/TBV Ratio,2.03,2.54,2.80,2.20,2.84,2.29,1.95,1.75,2.82,2.34,1.71
P/FCF Ratio,5.19,23.19,-,56.37,12.03,3.55,13.10,-,-,3.84,-
P/OCF Ratio,3.15,6.98,13.60,9.83,7.27,2.91,3.97,6.25,13.11,2.39,3.89
PEG Ratio,1.38,2.33,1.05,0.67,0.91,1.23,0.88,0.65,1.39,1.83,0.85
EV/Sales Ratio,0.64,0.78,0.70,0.59,0.73,0.70,0.58,0.51,0.69,0.61,0.48
EV/EBITDA Ratio,7.36,8.66,7.54,5.91,7.80,10.03,8.66,7.66,10.61,10.54,9.11
EV/EBIT Ratio,11.79,13.04,10.81,8.24,12.09,21.67,15.68,13.84,21.87,29.58,19.71
EV/FCF Ratio,7.04,32.67,-,80.87,14.58,5.28,26.57,-,-,7.96,-
Debt / Equity Ratio,0.68,0.80,0.96,0.81,0.79,0.96,1.53,1.59,1.42,1.55,1.88
Debt / EBITDA Ratio,2.30,2.47,2.47,2.04,2.42,3.70,4.38,4.63,4.80,5.45,6.02
Debt / FCF Ratio,2.19,9.30,-,27.96,4.52,1.95,13.88,-,-,4.12,-
Asset Turnover,1.67,1.74,1.94,2.05,1.68,1.48,1.76,1.81,1.72,1.55,1.80
Inventory Turnover,3.41,3.49,3.92,4.58,4.30,3.54,3.59,3.82,4.15,3.68,4.02
Quick Ratio,0.31,0.35,0.27,0.30,0.29,0.47,0.24,0.22,0.26,0.24,0.18
Current Ratio,1.37,1.45,1.35,1.31,1.32,1.32,1.14,1.13,1.17,1.12,1.06
Return on Equity (ROE),12.75%,15.05%,19.05%,24.28%,17.66%,9.46%,12.72%,13.20%,18.09%,4.75%,8.21%
Return on Assets (ROA),5.63%,6.50%,7.81%,9.07%,6.30%,2.99%,4.09%,4.16%,3.39%,2.00%,2.76%
Return on Capital (ROIC),6.64%,7.69%,9.27%,10.82%,7.53%,3.52%,4.75%,4.80%,3.95%,2.35%,3.26%
Return on Capital Employed (ROCE),14.10%,15.70%,19.00%,21.10%,14.50%,7.80%,11.40%,11.90%,8.70%,5.40%,7.60%
Earnings Yield,7.62%,7.03%,8.63%,13.52%,7.87%,5.17%,8.46%,10.33%,8.60%,3.26%,7.47%
FCF Yield,19.26%,4.31%,-1.82%,1.77%,8.31%,28.19%,7.63%,-1.70%,-2.86%,26.02%,-15.90%
Dividend Yield,1.63%,1.30%,1.27%,1.59%,1.40%,1.07%,1.20%,0.77%,-,-,-
Payout Ratio,21.95%,18.25%,14.57%,11.38%,17.01%,19.55%,12.94%,6.71%,-,-,-
Buyback Yield / Dilution,0.30%,2.27%,2.34%,1.26%,-2.91%,0.20%,6.76%,1.68%,-0.93%,1.19%,-0.49%
Total Shareholder Return,1.91%,3.57%,3.61%,2.85%,-1.50%,1.27%,7.96%,2.45%,-0.93%,1.19%,-0.49%
