Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"7,630","7,760","7,874","7,046","5,081","4,700","5,768","5,467","4,682","4,181","4,943"
Other Revenue,41.56,44.96,51.13,55.6,45.59,35.96,42.2,39.26,32.25,34.09,36.61
Revenue,"7,672","7,805","7,925","7,102","5,126","4,736","5,810","5,506","4,714","4,215","4,980"
Revenue Growth (YoY),-1.95%,-1.52%,11.59%,38.54%,8.24%,-18.48%,5.51%,16.81%,11.85%,-15.37%,5.34%
Cost of Revenue,"6,180","6,264","6,326","5,615","4,034","3,860","4,784","4,528","3,884","3,497","4,195"
Gross Profit,"1,491","1,541","1,599","1,487","1,092",875.47,"1,026",978.27,829.94,718.01,784.95
"Selling, General & Admin","1,007","1,005","1,028",927.84,731.34,665.26,753.75,705.23,631.05,579.53,619.27
Operating Expenses,"1,077","1,073","1,088",983.5,784.69,722.71,809.12,775.72,681.12,630.79,663.13
Operating Income,414.1,467.28,511.54,503.66,307.6,152.75,216.51,202.55,148.81,87.22,121.82
Interest Expense,-54.23,-72.02,-53.69,-19.76,-2.43,-9.73,-30.49,-21.06,-13.2,-14.9,-13.96
Interest & Investment Income,1.17,1.17,0.78,0.64,0.66,0.71,1.68,1.38,0.89,0.62,0.49
Other Non Operating Income (Expenses),-1.04,0.58,2.6,2.84,6.42,6.13,1.93,-,-,-,-
EBT Excluding Unusual Items,360,397.01,461.22,487.37,312.25,149.87,189.63,182.87,136.5,72.94,108.35
Merger & Restructuring Charges,-,-,-,-,-,-,-,-,-,-8.25,-
Gain (Loss) on Sale of Investments,-,-,-,19.5,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,0.25,0.81,0.84,2.46,1.43,1.85,-0.1,0.3,-0.11,1.76,-0.54
Pretax Income,360.25,397.82,462.06,509.33,313.68,151.72,189.52,183.17,136.4,66.45,107.8
Income Tax Expense,83.63,92.85,114,117.24,72.27,36.84,47.94,44.11,-35.73,25.87,41.75
Earnings From Continuing Operations,276.62,304.97,348.06,392.09,241.42,114.89,141.58,139.06,172.13,40.58,66.05
Minority Interest in Earnings,-2.42,-0.82,-1.01,-0.7,-,-,-,-,-,-,-
Net Income,274.2,304.15,347.06,391.38,241.42,114.89,141.58,139.06,172.13,40.58,66.05
Net Income to Common,274.2,304.15,347.06,391.38,241.42,114.89,141.58,139.06,172.13,40.58,66.05
Net Income Growth,-10.81%,-12.36%,-11.33%,62.12%,110.13%,-18.86%,1.81%,-19.21%,324.15%,-38.56%,-17.39%
Shares Outstanding (Basic),79,79,81,83,84,82,82,88,89,90,91
Shares Outstanding (Diluted),81,82,84,86,87,84,85,91,92,91,92
Shares Change (YoY),-0.30%,-2.27%,-2.34%,-1.26%,2.91%,-0.20%,-6.76%,-1.68%,0.93%,-1.19%,0.49%
EPS (Basic),3.47,3.85,4.28,4.71,2.88,1.40,1.72,1.58,1.93,0.45,0.73
EPS (Diluted),3.37,3.72,4.15,4.57,2.78,1.36,1.67,1.53,1.87,0.44,0.72
EPS Growth,-10.53%,-10.36%,-9.19%,64.39%,104.41%,-18.72%,9.13%,-17.86%,320.05%,-37.90%,-17.85%
Free Cash Flow,693.58,186.5,-73.17,51.34,255.17,626.78,127.78,-22.9,-57.18,324.2,-140.54
Free Cash Flow Per Share,8.51,2.28,-0.87,0.60,2.94,7.43,1.51,-0.25,-0.62,3.55,-1.52
Dividend Per Share,0.730,0.700,0.620,0.530,0.490,0.273,0.227,0.107,-,-,-
Dividend Growth,5.80%,12.90%,16.98%,8.16%,79.29%,20.56%,112.46%,-,-,-,-
Gross Margin,19.44%,19.74%,20.18%,20.94%,21.31%,18.49%,17.65%,17.77%,17.61%,17.04%,15.76%
Operating Margin,5.40%,5.99%,6.46%,7.09%,6.00%,3.23%,3.73%,3.68%,3.16%,2.07%,2.45%
Profit Margin,3.57%,3.90%,4.38%,5.51%,4.71%,2.43%,2.44%,2.53%,3.65%,0.96%,1.33%
Free Cash Flow Margin,9.04%,2.39%,-0.92%,0.72%,4.98%,13.23%,2.20%,-0.42%,-1.21%,7.69%,-2.82%
EBITDA,663.13,703.38,732.68,702.81,477.1,330.1,391.99,365.98,306.77,244.85,263.46
EBITDA Margin,8.64%,9.01%,9.25%,9.90%,9.31%,6.97%,6.75%,6.65%,6.51%,5.81%,5.29%
D&A For EBITDA,249.03,236.1,221.14,199.15,169.5,177.35,175.48,163.42,157.95,157.63,141.64
EBIT,414.1,467.28,511.54,503.66,307.6,152.75,216.51,202.55,148.81,87.22,121.82
EBIT Margin,5.40%,5.99%,6.46%,7.09%,6.00%,3.23%,3.73%,3.68%,3.16%,2.07%,2.45%
Effective Tax Rate,23.21%,23.34%,24.67%,23.02%,23.04%,24.28%,25.30%,24.08%,-,38.93%,38.73%
Revenue as Reported,"7,672","7,805","7,925","7,102","5,126","4,736","5,810","5,506","4,714","4,215","4,980"
