Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,757","8,542","11,005","15,008","9,768","5,356","9,623","9,963","16,083","24,082","16,810"
Market Cap Growth,-0.11%,-22.38%,-26.67%,53.64%,82.37%,-44.34%,-3.42%,-38.05%,-33.22%,43.26%,-28.75%
Enterprise Value,"12,873","15,994","17,631","21,334","18,586","16,021","20,377","18,907","24,086","33,054","26,095"
Last Close Price,24.69,21.93,32.95,41.83,23.71,12.43,22.08,21.83,34.32,50.57,34.72
PE Ratio,5.94,10.62,3.86,4.09,10.04,-,-,249.08,12.33,-,-
Forward PE,8.21,6.75,5.92,5.63,4.92,-,-,15.33,45.26,54.72,-
PS Ratio,0.96,0.90,1.35,1.36,1.22,1.22,1.51,1.32,2.78,4.60,2.64
PB Ratio,1.47,1.34,2.98,11.16,-1953.69,52.51,1.88,1.13,1.83,3.14,1.77
P/TBV Ratio,1.47,1.62,4.14,35.48,-,-,3.04,1.40,2.17,3.92,2.13
P/FCF Ratio,4.60,12.05,13.83,4.79,4.09,46.99,-,-,-,50.07,-
P/OCF Ratio,1.83,2.36,3.52,3.04,2.79,3.86,3.36,2.64,6.62,9.91,6.30
PEG Ratio,-,-,-,0.31,2.68,76.29,-,0.19,2.51,-,-
EV/Sales Ratio,1.37,1.69,2.17,1.93,2.32,3.65,3.21,2.50,4.16,6.31,4.10
EV/EBITDA Ratio,2.21,2.84,3.43,3.23,4.24,8.25,5.37,4.01,7.15,13.85,7.40
EV/EBIT Ratio,4.37,7.73,5.09,4.08,6.45,-,-,11.47,33.69,-,-
EV/FCF Ratio,6.76,22.56,22.15,6.80,7.79,140.54,-,-,-,68.72,-
Debt / Equity Ratio,0.67,1.01,1.44,4.18,-1521.80,87.14,1.71,0.94,0.97,1.11,0.92
Debt / EBITDA Ratio,0.77,1.12,1.02,0.84,1.73,4.39,2.29,1.75,2.52,3.58,2.47
Debt / FCF Ratio,2.41,9.05,6.66,1.79,3.19,77.97,-,-,-,17.76,-
Asset Turnover,0.51,0.55,0.57,0.83,0.62,0.28,0.32,0.35,0.26,0.22,0.16
Inventory Turnover,7.28,6.65,5.36,7.39,6.10,3.38,3.82,5.01,3.39,3.12,2.91
Quick Ratio,0.59,0.87,0.71,0.59,0.80,0.89,0.71,0.87,1.18,1.36,1.48
Current Ratio,0.78,1.15,1.02,0.93,1.12,1.41,1.06,1.22,1.45,1.76,2.04
Return on Equity (ROE),27.43%,22.24%,127.36%,609.25%,2707.22%,-187.71%,-52.84%,3.25%,18.25%,-14.45%,-59.31%
Return on Assets (ROA),9.93%,7.47%,15.26%,24.73%,13.84%,-17.66%,-3.92%,4.74%,2.01%,-2.83%,-14.99%
Return on Capital (ROIC),15.28%,11.88%,27.15%,44.89%,21.73%,-23.84%,-5.03%,6.00%,2.67%,-3.95%,-21.20%
Return on Capital Employed (ROCE),19.40%,12.60%,27.00%,51.10%,25.80%,-,-,8.50%,3.70%,-,-
Earnings Yield,17.23%,9.41%,25.94%,24.48%,9.96%,-90.73%,-36.92%,0.40%,8.11%,-5.83%,-61.58%
FCF Yield,21.73%,8.30%,7.23%,20.89%,24.43%,2.13%,-0.98%,-1.27%,-2.06%,2.00%,-12.74%
Dividend Yield,4.05%,4.56%,3.03%,1.79%,1.00%,0.80%,4.53%,4.58%,2.91%,1.98%,2.88%
Payout Ratio,24.06%,43.91%,10.79%,5.63%,5.34%,-,-,955.00%,29.14%,-,-
Buyback Yield / Dilution,-7.24%,-14.24%,7.21%,11.20%,0.79%,-0.27%,1.82%,-0.26%,-1.05%,-0.27%,1.56%
Total Shareholder Return,-3.19%,-9.68%,10.24%,12.99%,1.80%,0.54%,6.35%,4.32%,1.86%,1.71%,4.44%
