Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,475,625,87,245,302,262,247,714,"1,668","1,377","1,467"
Cash & Short-Term Investments,475,625,87,245,302,262,247,714,"1,668","1,377","1,467"
Cash Growth,642.19%,618.39%,-64.49%,-18.87%,15.27%,6.07%,-65.41%,-57.19%,21.13%,-6.13%,90.77%
Receivables,"1,014","1,959","1,610","1,466","1,394",908,"1,062","1,194","1,345","1,128","1,253"
Inventory,361,425,453,427,473,492,502,401,368,476,570
Prepaid Expenses,19,54,46,31,56,65,56,105,129,179,290
Other Current Assets,104,341,266,539,155,119,94,273,215,81,172
Total Current Assets,"1,973","3,404","2,462","2,708","2,380","1,846","1,961","2,687","3,725","3,241","3,752"
"Property, Plant & Equipment","12,719","12,646","10,038","9,012","8,335","8,819","14,158","18,421","17,759","18,867","20,838"
Long-Term Investments,-,-,437,624,"1,365","1,555","1,258",121,-,-,-
Goodwill,-,-,-,-,-,-,87,-,-,87,-
Long-Term Deferred Tax Assets,"2,384","2,703","1,758",39,13,12,29,91,18,5,5
Long-Term Deferred Charges,589,616,528,542,570,509,607,262,404,319,905
Other Long-Term Assets,34,21,21,222,640,5,7,-,16,-,-
Total Assets,"17,699","19,390","15,244","13,147","13,303","12,746","18,107","21,582","21,922","22,519","25,500"
Accounts Payable,920,"1,224",658,771,731,444,695,709,641,585,618
Accrued Expenses,760,980,"1,016","1,089",735,568,826,"1,127","1,134",919,"1,086"
Short-Term Debt,-,-,-,-,213,-,-,-,-,-,-
Current Portion of Long-Term Debt,211,51,2,-,-,-,-,150,550,-,1
Current Portion of Leases,105,120,116,169,101,118,180,1,-,-,-
Current Income Taxes Payable,80,221,138,90,28,25,51,58,55,22,47
Other Current Liabilities,469,359,474,797,309,153,103,156,184,317,89
Total Current Liabilities,"2,545","2,955","2,404","2,916","2,117","1,308","1,855","2,201","2,564","1,843","1,841"
Long-Term Debt,"4,249","5,963","5,154","5,419","7,261","8,734","8,518","8,054","7,934","8,544","8,716"
Long-Term Leases,26,283,32,32,34,36,37,39,-,-,-
Long-Term Deferred Tax Liabilities,-,14,371,314,148,215,346,391,545,"1,710","2,529"
Other Long-Term Liabilities,"4,016","3,813","3,592","3,121","3,748","2,351","2,228","2,085","2,088","2,743","2,924"
Total Liabilities,"10,836","13,028","11,553","11,802","13,308","12,644","12,984","12,770","13,131","14,840","16,010"
Common Stock,308,307,263,262,262,262,261,260,259,258,257
Additional Paid-In Capital,"12,900","13,153","11,126","11,420","11,645","11,735","11,769","12,106","12,128","12,364","12,619"
Retained Earnings,"-1,000","-2,155","-2,959","-5,814","-9,488","-10,461","-5,601","-2,048","-2,088","-3,385","-1,980"
Treasury Stock,"-6,254","-6,037","-5,790","-5,459","-4,036","-3,189","-3,190","-3,192","-2,887","-2,887","-2,889"
Comprehensive Income & Other,11,12,15,14,22,14,16,4,4,-112,-119
Total Common Equity,"5,965","5,280","2,655",423,"-1,595","-1,639","3,255","7,130","7,416","6,238","7,888"
Minority Interest,898,"1,082","1,036",922,"1,590","1,602","1,765","1,682","1,375","1,441","1,602"
Shareholders' Equity,"6,863","6,362","3,691","1,345",-5,102,"5,123","8,812","8,791","7,679","9,490"
Total Liabilities & Equity,"17,699","19,390","15,244","13,147","13,303","12,746","18,107","21,582","21,922","22,519","25,500"
Total Debt,"4,591","6,417","5,304","5,620","7,609","8,888","8,735","8,244","8,484","8,544","8,717"
Net Cash (Debt),"-4,116","-5,792","-5,217","-5,375","-7,307","-8,626","-8,488","-7,530","-6,816","-7,167","-7,250"
Net Cash Per Share,-11.35,-16.41,-16.88,-16.14,-19.49,-22.82,-22.51,-19.61,-17.80,-18.91,-19.18
Filing Date Shares Outstanding,354.67,364.06,301.82,310.95,346.78,377.86,377.32,375.41,381.45,379.69,378.3
Total Common Shares Outstanding,355.66,365.4,303.58,311.56,346.93,377.48,376.06,374.7,380.95,379.44,378.03
Working Capital,-572,449,58,-208,263,538,106,486,"1,161","1,398","1,911"
Book Value Per Share,16.77,14.45,8.75,1.36,-4.60,-4.34,8.66,19.03,19.47,16.44,20.87
Tangible Book Value,"5,965","5,280","2,655",423,"-1,595","-1,639","3,168","7,130","7,416","6,151","7,888"
Tangible Book Value Per Share,16.77,14.45,8.75,1.36,-4.60,-4.34,8.42,19.03,19.47,16.21,20.87
