Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"5,006","5,299","4,796","3,924","5,460","3,727","3,269","2,527","2,580","2,662","1,917"
Market Cap Growth,-8.81%,10.48%,22.22%,-28.13%,46.47%,14.01%,29.39%,-2.05%,-3.10%,38.90%,-6.45%
Enterprise Value,"5,144","5,470","5,119","4,343","5,491","3,855","3,438","2,662","2,780","2,928","2,141"
Last Close Price,155.53,163.00,147.98,120.82,165.85,112.90,99.07,75.99,77.69,80.47,58.03
PE Ratio,33.86,41.24,44.18,37.24,56.81,44.05,41.04,32.16,28.64,47.56,32.09
Forward PE,28.49,34.32,37.71,30.00,42.58,32.97,31.49,24.41,31.61,32.65,25.65
PS Ratio,4.97,5.56,5.20,4.16,6.83,5.30,5.08,3.93,4.34,4.81,3.47
PB Ratio,3.88,4.61,4.55,4.18,6.23,4.50,4.40,3.65,4.18,5.11,4.13
P/TBV Ratio,16.05,25.87,57.19,-,21.13,21.05,43.16,18.83,54.37,-,-
P/FCF Ratio,31.17,36.21,32.88,44.29,44.33,31.95,34.04,25.53,31.27,31.47,30.65
P/OCF Ratio,24.99,29.11,26.10,28.33,34.01,24.77,26.27,21.29,23.32,24.74,18.46
PEG Ratio,3.37,3.81,4.19,3.00,4.26,3.30,3.15,8.12,15.80,6.53,0.97
EV/Sales Ratio,5.08,5.74,5.55,4.61,6.87,5.48,5.34,4.14,4.68,5.29,3.88
EV/EBITDA Ratio,20.60,23.61,24.20,21.82,31.18,23.78,22.86,17.41,19.45,21.45,16.06
EV/EBIT Ratio,25.08,29.73,32.63,29.45,43.06,34.69,32.79,24.45,28.07,32.23,22.79
EV/FCF Ratio,31.83,37.38,35.09,49.02,44.59,33.05,35.79,26.90,33.70,34.61,34.24
Debt / Equity Ratio,0.13,0.18,0.31,0.49,0.14,0.21,0.35,0.23,0.36,0.54,0.64
Debt / EBITDA Ratio,0.67,0.88,1.52,2.26,0.67,1.07,1.68,1.02,1.53,2.05,2.22
Debt / FCF Ratio,1.06,1.42,2.27,5.20,0.98,1.52,2.68,1.58,2.65,3.32,4.73
Asset Turnover,0.62,0.60,0.57,0.67,0.68,0.61,0.60,0.66,0.62,0.61,0.64
Inventory Turnover,5.18,5.14,5.41,6.28,6.88,6.21,5.72,6.87,6.88,7.21,8.03
Quick Ratio,1.56,1.07,1.28,1.43,1.53,1.94,1.73,1.87,1.21,1.21,1.79
Current Ratio,2.72,1.99,2.12,2.40,2.24,2.83,2.76,2.76,1.84,1.87,2.44
Return on Equity (ROE),12.06%,11.66%,10.90%,11.61%,11.27%,10.77%,11.10%,12.01%,15.83%,11.37%,13.96%
Return on Assets (ROA),7.87%,7.25%,6.09%,6.53%,6.74%,5.98%,6.13%,7.00%,6.48%,6.21%,6.74%
Return on Capital (ROIC),8.86%,8.39%,7.05%,7.69%,7.96%,6.93%,7.09%,8.09%,7.56%,7.27%,7.91%
Return on Capital Employed (ROCE),13.40%,13.00%,10.80%,9.90%,12.10%,10.40%,9.90%,12.10%,11.60%,10.70%,11.80%
Earnings Yield,2.96%,2.43%,2.26%,2.69%,1.76%,2.27%,2.44%,3.11%,3.49%,2.10%,3.12%
FCF Yield,3.21%,2.76%,3.04%,2.26%,2.26%,3.13%,2.94%,3.92%,3.20%,3.18%,3.26%
Dividend Yield,0.56%,0.53%,0.53%,0.59%,0.39%,0.51%,0.53%,0.62%,0.54%,0.47%,0.59%
Payout Ratio,19.04%,19.91%,21.07%,19.66%,19.48%,19.74%,19.00%,17.09%,13.40%,19.15%,15.49%
Buyback Yield / Dilution,-0.30%,-0.83%,-0.17%,0.85%,-0.52%,0.01%,-0.18%,-0.67%,-0.96%,-0.91%,-1.49%
Total Shareholder Return,0.26%,-0.30%,0.36%,1.44%,-0.13%,0.52%,0.34%,-0.05%,-0.42%,-0.43%,-0.90%
