Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,346.29,391.16,56.74,32.08,14.3,13.33,7.61,15.21,41.64,10.23,7.48
Cash & Short-Term Investments,346.29,391.16,56.74,32.08,14.3,13.33,7.61,15.21,41.64,10.23,7.48
Cash Growth,567.03%,589.35%,76.87%,124.29%,7.31%,75.26%,-50.00%,-63.47%,307.08%,36.84%,4.98%
Accounts Receivable,25.97,26.95,48.74,26.33,21.18,22.15,21.76,19.33,17.11,15.22,14.54
Other Receivables,-,2.5,2.2,-,-,-,-,-,-,-,-
Receivables,25.97,29.45,50.94,26.33,21.18,22.15,21.76,19.33,17.11,15.22,14.54
Inventory,11.43,10.74,14.58,9.26,13.83,13.74,16.34,14.27,7.27,8.09,12.02
Prepaid Expenses,17.3,16.21,20.38,13.57,19.56,15.65,16.93,13.41,6.75,4.59,4.46
Restricted Cash,-,-,-,-,-,3.63,0.62,60.28,63.64,-,-
Total Current Assets,400.99,447.57,142.65,81.24,68.87,68.49,63.26,122.5,136.41,38.13,38.49
"Property, Plant & Equipment","1,277",705.47,658.17,591.23,704.2,730.31,815.79,882.7,971.12,"1,040","1,078"
Long-Term Investments,-,-,-,-,-,1.59,2.09,2.09,2.09,0,0.01
Goodwill,-,30.6,-,-,-,-,-,-,-,-,-
Other Intangible Assets,143.29,85.21,60.65,30.41,31.91,27.58,25.21,25.11,11.68,6.88,5.83
Long-Term Accounts Receivable,-,3.52,5.09,16.1,-,-,-,-,-,-,-
Long-Term Deferred Charges,-,6.27,6.89,1.77,1.73,2.4,1.98,2.02,-,-,-
Other Long-Term Assets,341.37,431.61,50.86,17.72,7.41,57.72,57.27,11.07,7.97,47.88,53.13
Total Assets,"2,162","1,710",924.31,738.47,814.11,888.09,965.59,"1,045","1,129","1,133","1,175"
Accounts Payable,37.83,5.33,2.49,4.17,6.69,3.5,8.28,7.65,6.27,7.81,8.73
Accrued Expenses,-,16.85,19.67,14.57,20.93,17.81,17.24,16.73,16.23,16.16,13.4
Short-Term Debt,-,-,-,59.58,-,-,-,-,-,-,-
Current Portion of Long-Term Debt,23.5,34.6,34.6,-,-,58.82,-,96.25,79.22,75.76,32.84
Current Portion of Leases,7.55,4.29,3,2.75,2.5,1.34,1.7,-,-,-,-
Current Unearned Revenue,61.57,61.2,53.68,74.64,25.93,25.98,29.91,31.94,31.75,26.48,23.9
Other Current Liabilities,27.93,19.21,62.47,41.37,5.52,6.76,5.94,7.11,26.86,46.25,28.16
Total Current Liabilities,158.39,141.49,175.91,197.08,61.57,114.22,63.06,159.68,160.32,172.45,107.03
Long-Term Debt,485.08,476.82,325.7,132.12,237.93,326.59,464.18,367.2,434.65,500.52,548.29
Long-Term Leases,56.17,26.33,29.24,27.64,29.24,13.74,14.77,0.08,0.15,0.09,0.09
Long-Term Unearned Revenue,672.83,288.17,3.21,62.88,112.05,3.28,5.27,5.69,6.05,5.88,6.41
Pension & Post-Retirement Benefits,-,-,-,-,3.29,3.65,4.13,4.49,4.39,4.88,4.81
