Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Cash & Equivalents,304.46,295.95,403.98,254.27,225.41,328.8,191.73,361.48,199.47,139.95,83.64
Short-Term Investments,-,-,-,-,-,-,-,-,40.8,40.41,40.13
Cash & Short-Term Investments,304.46,295.95,403.98,254.27,225.41,328.8,191.73,361.48,240.27,180.36,123.78
Cash Growth,-6.86%,-26.74%,58.88%,12.80%,-31.44%,71.50%,-46.96%,50.45%,33.22%,45.72%,11.50%
Receivables,111.16,118.01,104.89,96.84,87.43,72.77,70.86,25.67,21.6,17,14.31
Inventory,-,-,-,-,-,-,-,-,-,0.59,0.62
Prepaid Expenses,76.09,32.5,31.2,20.1,20.6,-,-,-,-,-,-
Other Current Assets,1.11,31.3,17.36,11.69,17.9,58.61,34.71,7.53,3.53,2.87,1.7
Total Current Assets,492.83,477.75,557.44,382.89,351.34,460.18,297.3,394.68,265.4,200.82,143.05
"Property, Plant & Equipment",42.84,46.42,54.39,69.32,86.99,118.61,116.66,8.22,7.84,5.17,3.51
Goodwill,"1,648","1,648","1,648","1,648","1,646","1,327","1,333",4.65,4.65,4.65,4.65
Other Intangible Assets,"1,152","1,205",835.95,936.36,973.14,767,783.28,79.67,83.64,65.02,66.84
Long-Term Deferred Tax Assets,-,-,-,-,-,-,0.02,1.68,5.46,1.62,-
Long-Term Deferred Charges,6.8,7.7,2.5,3.4,4.4,5,-,-,-,-,-
Other Long-Term Assets,73.6,63.87,65.37,48.78,45.41,32.42,35.09,21.12,2.18,1.86,1.75
Total Assets,"3,417","3,449","3,164","3,089","3,107","2,710","2,565",510.02,369.16,279.14,219.8
Accounts Payable,9.6,14.36,12.04,13.9,27.54,1.61,3.98,3.52,2.42,3.22,2.43
Accrued Expenses,95.91,131.96,95.65,89.5,104.73,126.55,96.49,25.53,18.07,12.48,9.68
Current Portion of Long-Term Debt,-,-,-,17.5,8.75,62.5,39.06,-,-,-,-
Current Portion of Leases,9.95,10,9.4,10.16,12.17,14.04,12.4,-,-,-,-
Total Current Liabilities,116.58,156.32,117.09,131.06,153.19,204.7,151.94,29.05,20.49,15.7,12.11
Long-Term Debt,"1,007","1,056",874.97,907.84,922.08,924.22,"1,182",-,-,-,-
Long-Term Leases,38.24,42.22,48.77,58.99,65.23,74.22,68.02,-,-,-,-
Long-Term Deferred Tax Liabilities,86.62,55.83,68.67,82.67,99.85,119.73,130.49,0.92,-,0.04,4
Other Long-Term Liabilities,21.99,22.96,19.27,12.71,14.19,8.81,2.63,2.97,2.4,1.46,0.24
Total Liabilities,"1,270","1,334","1,129","1,193","1,255","1,332","1,535",32.94,22.89,17.2,16.34
Common Stock,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Additional Paid-In Capital,"1,919","1,906","1,829","1,746","1,677","1,158",818.77,305.22,261.24,232.11,199.94
Retained Earnings,226.9,209.27,205.63,149.92,176.06,220.35,211.51,171.85,85.3,29.99,3.61
Comprehensive Income & Other,0.2,-,-,-,-,-,-,-,-0.27,-0.17,-0.1
Shareholders' Equity,"2,146","2,115","2,035","1,896","1,853","1,379","1,030",477.08,346.27,261.94,203.46
Total Liabilities & Equity,"3,417","3,449","3,164","3,089","3,107","2,710","2,565",510.02,369.16,279.14,219.8
Total Debt,"1,055","1,109",933.14,994.49,"1,008","1,075","1,301",-,-,-,-
Net Cash (Debt),-750.56,-812.57,-529.16,-740.22,-782.82,-746.18,"-1,109",361.48,240.27,180.36,123.78
Net Cash Growth,-,-,-,-,-,-,-,50.45%,33.22%,45.72%,11.50%
Net Cash Per Share,-8.47,-9.15,-6.09,-8.77,-9.42,-9.86,-16.21,5.70,3.88,3.01,2.10
Filing Date Shares Outstanding,86.16,86.5,86.16,84.78,83.82,83.02,71.08,62.47,60.95,59.63,57.77
Total Common Shares Outstanding,86.42,86.54,86.13,84.76,83.78,77.17,71.05,62.45,60.83,59.54,57.73
Working Capital,376.26,321.43,440.35,251.83,198.15,255.48,145.36,365.62,244.91,185.12,130.94
Book Value Per Share,24.84,24.44,23.63,22.37,22.11,17.87,14.50,7.64,5.69,4.40,3.52
Tangible Book Value,-654.18,-737.89,-449.07,-688.86,-766.4,-715.47,"-1,086",392.76,257.99,192.27,131.97
Tangible Book Value Per Share,-7.57,-8.53,-5.21,-8.13,-9.15,-9.27,-15.28,6.29,4.24,3.23,2.29
Machinery,25.61,25.93,32.58,36.41,40.4,37.82,30,13.72,12.96,10.32,7.42
Leasehold Improvements,14.03,13.97,14.46,18.27,18.57,22.27,19.24,3.58,2.29,0.86,0.7
