Period Ending,"Nov '25Nov 13, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Market Capitalization,"8,573","9,569","6,485","5,150","4,468","6,433","4,682","3,889","3,071","2,746","1,242"
Market Cap Growth,11.78%,47.56%,25.91%,15.28%,-30.55%,37.38%,20.39%,26.64%,11.85%,121.10%,9.20%
Enterprise Value,"9,323","10,382","7,085","5,938","4,829","7,225","5,819","3,559","2,846","2,580","1,117"
Last Close Price,99.50,110.42,75.58,60.85,53.44,83.55,66.06,62.34,50.62,46.25,21.55
PE Ratio,60.44,98.96,116.40,-,-,728.16,118.05,52.63,64.85,104.10,74.75
Forward PE,24.27,31.70,28.55,36.76,40.27,50.84,42.91,51.40,62.36,73.92,50.99
PS Ratio,6.80,7.98,6.49,5.98,5.91,8.77,8.80,13.54,13.38,15.39,9.80
PB Ratio,4.01,4.53,3.19,2.72,2.41,4.67,4.55,8.15,8.87,10.48,6.10
P/TBV Ratio,-,-,-,-,-,-,-,9.90,11.91,14.28,9.41
P/FCF Ratio,23.46,28.33,26.89,34.97,33.82,38.17,47.91,35.50,40.28,65.46,51.39
P/OCF Ratio,23.36,28.16,26.71,34.19,31.69,35.42,44.59,34.29,37.59,60.23,46.79
PEG Ratio,1.12,1.28,1.17,1.33,3.58,4.27,1.97,1.73,1.83,2.27,1.57
EV/Sales Ratio,7.35,8.65,7.09,6.89,6.38,9.85,10.94,12.39,12.40,14.47,8.81
EV/EBITDA Ratio,21.65,28.42,25.20,29.86,27.17,36.88,35.38,37.13,40.45,47.43,32.14
EV/EBIT Ratio,34.07,51.18,55.30,157.71,119.04,90.31,53.33,45.82,52.30,62.61,42.72
EV/FCF Ratio,25.51,30.74,29.38,40.32,36.56,42.87,59.54,32.49,37.33,61.51,46.21
Debt / Equity Ratio,0.49,0.52,0.46,0.53,0.54,0.78,1.26,-,-,-,-
Debt / EBITDA Ratio,2.43,2.99,3.24,4.78,5.29,5.11,7.53,-,-,-,-
Debt / FCF Ratio,2.89,3.28,3.87,6.75,7.63,6.38,13.31,-,-,-,-
Asset Turnover,0.37,0.36,0.32,0.28,0.26,0.28,0.35,0.65,0.71,0.72,0.67
Inventory Turnover,-,-,-,-,-,-,-,-,-,118.84,87.05
Quick Ratio,3.57,2.65,4.35,2.68,2.04,1.96,1.73,13.33,12.78,12.57,11.41
Current Ratio,4.23,3.06,4.76,2.92,2.29,2.25,1.96,13.59,12.95,12.79,11.82
Return on Equity (ROE),6.78%,4.66%,2.83%,-1.40%,-2.74%,0.73%,5.26%,17.95%,15.57%,11.34%,9.56%
Return on Assets (ROA),4.93%,3.84%,2.56%,0.76%,0.87%,1.90%,4.44%,11.04%,10.49%,10.32%,8.63%
Return on Capital (ROIC),5.25%,4.10%,2.73%,0.82%,0.95%,2.09%,4.86%,11.79%,11.18%,11.07%,9.40%
Return on Capital Employed (ROCE),8.30%,6.20%,4.20%,1.30%,1.40%,3.20%,4.50%,16.10%,15.60%,15.60%,12.60%
Earnings Yield,1.70%,1.01%,0.86%,-0.51%,-0.99%,0.14%,0.85%,1.90%,1.54%,0.96%,1.34%
FCF Yield,4.26%,3.53%,3.72%,2.86%,2.96%,2.62%,2.09%,2.82%,2.48%,1.53%,1.95%
Buyback Yield / Dilution,-0.59%,-2.15%,-2.98%,-1.57%,-9.85%,-10.56%,-8.02%,-2.45%,-3.27%,-1.75%,-13.51%
