Period Ending,"Jul '25Jul 31, 2025","Jan '25Jan 31, 2025","Jan '24Jan 31, 2024","Jan '23Jan 31, 2023","Jan '22Jan 31, 2022","Jan '21Jan 31, 2021","Jan '20Jan 31, 2020","Jan '19Jan 31, 2019","Jan '18Jan 31, 2018","Jan '17Jan 31, 2017","Jan '16Jan 31, 2016"
Revenue,"1,269","1,200",999.59,861.75,756.56,733.57,531.99,287.24,229.53,178.37,126.79
Revenue Growth (YoY),15.45%,20.03%,16.00%,13.90%,3.13%,37.89%,85.21%,25.15%,28.68%,40.69%,44.31%
Cost of Revenue,425.95,422.52,376.95,369.81,331.79,318.24,206.08,106.05,94.61,72.02,54.19
Gross Profit,842.98,777.26,622.64,491.94,424.77,415.33,325.91,181.19,134.92,106.36,72.6
"Selling, General & Admin",208.92,223,182.93,166.32,144.04,134.46,104.51,62.54,48.25,38.47,27.42
Research & Development,251.08,239.51,218.81,193.38,157.36,124.81,77.58,35.06,27.39,22.38,16.83
Amortization of Goodwill & Intangibles,109.36,111.88,92.76,94.59,82.79,76.06,34.7,5.93,4.86,4.3,2.21
Operating Expenses,569.35,574.39,494.5,454.28,384.2,335.33,216.79,103.52,80.5,65.14,46.46
Operating Income,273.62,202.87,128.13,37.65,40.57,80,109.12,77.67,54.42,41.21,26.14
Interest Expense,-63.23,-60.63,-55.46,-48.42,-36.57,-34.88,-24.77,-0.27,-0.27,-0.28,-0.09
Interest & Investment Income,13.03,13.91,12.14,1.76,1.5,1.05,5.91,1.95,-,0.53,-
Other Non Operating Income (Expenses),0.91,0.42,0.66,-0.44,1.71,5.08,-1.93,-1.31,0.25,-0.72,-0.03
EBT Excluding Unusual Items,224.34,156.57,85.48,-9.45,7.2,51.25,88.32,78.04,54.39,40.75,26.03
Merger & Restructuring Charges,-39.16,-40.54,-10.44,-28.65,-75.64,-47.11,-72.92,-2.12,-2.2,-0.63,-0.47
Gain (Loss) on Sale of Investments,-,-,-,-,1.69,-,27.76,-0.1,-,-,-
Pretax Income,185.18,116.03,75.04,-38.1,-66.74,4.14,43.16,75.82,52.19,40.12,25.55
Income Tax Expense,39.34,19.33,19.33,-11.95,-22.45,-4.69,3.49,1.92,4.83,13.74,8.94
Net Income,145.84,96.7,55.71,-26.14,-44.29,8.83,39.66,73.9,47.36,26.38,16.61
Net Income to Common,145.84,96.7,55.71,-26.14,-44.29,8.83,39.66,73.9,47.36,26.38,16.61
Net Income Growth,38.01%,73.58%,-,-,-,-77.73%,-46.33%,56.03%,79.56%,58.77%,63.42%
Shares Outstanding (Basic),87,87,86,84,83,74,67,62,60,59,57
Shares Outstanding (Diluted),89,89,87,84,83,76,68,63,62,60,59
Shares Change (YoY),0.59%,2.15%,2.98%,1.57%,9.85%,10.56%,8.02%,2.45%,3.27%,1.75%,13.51%
EPS (Basic),1.68,1.11,0.65,-0.31,-0.53,0.12,0.59,1.20,0.79,0.45,0.29
EPS (Diluted),1.65,1.09,0.64,-0.31,-0.53,0.12,0.58,1.17,0.77,0.44,0.28
EPS Growth,37.24%,70.31%,-,-,-,-79.48%,-50.43%,51.95%,75.00%,57.14%,33.20%
Free Cash Flow,365.42,337.77,241.13,147.28,132.09,168.53,97.72,109.55,76.24,41.95,24.17
Free Cash Flow Per Share,4.12,3.80,2.77,1.74,1.59,2.23,1.43,1.73,1.23,0.70,0.41
Gross Margin,66.43%,64.78%,62.29%,57.09%,56.15%,56.62%,61.26%,63.08%,58.78%,59.63%,57.26%
Operating Margin,21.56%,16.91%,12.82%,4.37%,5.36%,10.91%,20.51%,27.04%,23.71%,23.11%,20.62%
Profit Margin,11.49%,8.06%,5.57%,-3.03%,-5.85%,1.20%,7.46%,25.73%,20.64%,14.79%,13.10%
Free Cash Flow Margin,28.80%,28.15%,24.12%,17.09%,17.46%,22.97%,18.37%,38.14%,33.22%,23.52%,19.06%
EBITDA,430.72,365.32,281.21,198.85,177.76,195.91,164.47,95.86,70.37,54.4,34.74
EBITDA Margin,33.94%,30.45%,28.13%,23.08%,23.49%,26.71%,30.92%,33.37%,30.66%,30.50%,27.40%
D&A For EBITDA,157.1,162.45,153.08,161.2,137.19,115.9,55.35,18.19,15.95,13.19,8.6
EBIT,273.62,202.87,128.13,37.65,40.57,80,109.12,77.67,54.42,41.21,26.14
EBIT Margin,21.56%,16.91%,12.82%,4.37%,5.36%,10.91%,20.51%,27.04%,23.71%,23.11%,20.62%
Effective Tax Rate,21.25%,16.66%,25.76%,-,-,-,8.09%,2.53%,9.25%,34.26%,34.99%
Revenue as Reported,"1,269","1,200",999.59,861.75,756.56,733.57,531.99,287.24,229.53,178.37,126.79
