Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Jan '20Jan 1, 2020","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Market Capitalization,"5,594","5,969","10,938","8,357","7,175","3,735",-,-,-
Market Cap Growth,-31.43%,-45.43%,30.89%,16.46%,92.11%,-,-,-,-
Enterprise Value,"5,012","5,104","9,835","7,695","6,613","3,163",-,-,-
Last Close Price,30.29,32.54,60.17,49.92,46.61,28.16,-,-,-
PS Ratio,6.13,9.52,38.36,71.42,104.26,49.80,-,-,-
PB Ratio,5.53,5.74,8.74,11.23,9.37,6.25,-,-,-
P/TBV Ratio,5.53,5.75,8.77,11.28,9.43,6.28,-,-,-
EV/Sales Ratio,5.51,8.14,34.49,65.76,96.08,42.17,-,-,-
Debt / Equity Ratio,0.41,0.34,0.26,0.38,0.16,0.01,0.04,0.53,0.02
Debt / EBITDA Ratio,-,-,-,-,-,-,-,-,0.02
Debt / FCF Ratio,-,-,-,-,-,-,-,0.02,-
Asset Turnover,0.53,0.36,0.18,0.10,0.08,0.15,0.17,0.15,-
Inventory Turnover,29.45,29.91,35.35,66.27,176.58,157.02,-,-,-
Quick Ratio,2.76,4.49,6.77,3.59,4.11,5.09,2.01,2.04,4.43
Current Ratio,2.87,4.62,6.92,3.69,4.14,5.14,2.25,2.05,4.43
Return on Equity (ROE),-22.54%,-15.45%,-51.94%,-59.11%,-59.19%,-71.12%,-127.01%,-26.75%,-
Return on Assets (ROA),-6.92%,-10.84%,-17.39%,-23.37%,-26.75%,-28.32%,-22.95%,-2.82%,-
Return on Capital (ROIC),-8.27%,-12.84%,-21.19%,-29.86%,-33.05%,-37.86%,-97.08%,-73.43%,-
Return on Capital Employed (ROCE),-14.90%,-21.90%,-27.10%,-44.30%,-44.30%,-37.90%,-66.80%,-5.60%,7.40%
Earnings Yield,-4.28%,-2.97%,-4.74%,-5.34%,-5.62%,-7.13%,-,-,-
FCF Yield,-3.37%,-2.65%,-3.78%,-2.66%,-3.35%,-6.67%,-,-,-
Buyback Yield / Dilution,-0.86%,-3.84%,-10.71%,-12.91%,-19.21%,-18.15%,-,54.29%,-
