Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Jan '20Jan 1, 2020","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Operating Revenue,908.71,620.98,284.96,116.68,65.4,75,59.98,49.13,23.59
Other Revenue,0.34,6.26,0.18,0.33,3.42,-,1.82,0.36,0.1
Revenue,909.05,627.24,285.14,117.01,68.83,75,61.8,49.49,23.69
Revenue Growth (YoY),74.76%,119.97%,143.70%,70.00%,-8.23%,21.36%,24.86%,108.92%,-
Cost of Revenue,776.37,648.13,526.43,401.01,313.35,232.16,-,-,-
Gross Profit,132.68,-20.88,-241.29,-284.01,-244.52,-157.16,61.8,49.49,23.69
"Selling, General & Admin",323.53,284.26,200.93,174.05,149.5,72.71,32.37,3.93,1.62
Research & Development,-,-,-,-,-,-,161.94,60.64,8.2
Operating Expenses,323.53,284.26,200.93,174.05,149.5,72.71,194.31,64.57,9.81
Operating Income,-190.86,-305.15,-442.22,-458.05,-394.02,-229.87,-132.51,-15.07,13.88
Interest Expense,-19.92,-21.62,-21.79,-10.8,-0.9,-0.2,-0.22,-0.08,-0
Interest & Investment Income,45.8,61.2,54.49,8.18,0.97,2.93,4.58,6.21,0
Currency Exchange Gain (Loss),-55.78,108.51,-28.65,-9.88,-,0.07,0.58,7.24,-
Other Non Operating Income (Expenses),3.65,3.34,-82.61,24.22,-12.27,-1.23,-0.22,-0,-0.04
EBT Excluding Unusual Items,-217.1,-153.71,-520.78,-446.33,-406.22,-228.29,-127.79,-1.71,13.84
Gain (Loss) on Sale of Investments,-,-,0.66,0.6,-,0.05,0.47,0.09,-
Gain (Loss) on Sale of Assets,-,-,-,-,-0.97,-0.06,-,-,-
Asset Writedown,-5.39,-4.42,-,-,-,-,-,-,-
Other Unusual Items,-,-,-,-,-,-79.98,-,-,-
Pretax Income,-222.49,-158.13,-520.12,-445.72,-407.2,-308.29,-127.32,-1.62,13.84
Income Tax Expense,17.21,18.89,-1.86,0.63,-3.61,-41.91,-25.73,1.17,4.47
Net Income,-239.7,-177.03,-518.25,-446.35,-403.58,-266.37,-101.59,-2.78,9.37
Net Income to Common,-239.7,-177.03,-518.25,-446.35,-403.58,-266.37,-101.59,-2.78,9.37
Shares Outstanding (Basic),184,183,176,159,141,118,100,100,219
Shares Outstanding (Diluted),184,183,176,159,141,118,100,100,219
Shares Change (YoY),0.86%,3.84%,10.71%,12.91%,19.21%,18.15%,-,-54.29%,-
EPS (Basic),-1.30,-0.97,-2.94,-2.81,-2.87,-2.25,-1.02,-0.03,0.04
EPS (Diluted),-1.30,-0.97,-2.94,-2.81,-2.87,-2.26,-1.02,-0.03,0.04
Free Cash Flow,-188.68,-158.14,-413.36,-222.21,-240.66,-249.26,-109.84,286.72,-3.26
Free Cash Flow Per Share,-1.02,-0.86,-2.35,-1.40,-1.71,-2.11,-1.10,2.87,-0.01
Gross Margin,14.59%,-3.33%,-84.62%,-242.73%,-,-209.55%,100.00%,100.00%,100.00%
Operating Margin,-21.00%,-48.65%,-155.09%,-391.48%,-572.49%,-306.49%,-214.42%,-30.45%,58.58%
Profit Margin,-26.37%,-28.22%,-181.75%,-381.48%,-586.38%,-355.16%,-164.38%,-5.63%,39.53%
Free Cash Flow Margin,-20.76%,-25.21%,-144.97%,-189.91%,-349.67%,-332.34%,-177.73%,579.31%,-13.75%
EBITDA,-181.24,-294.29,-431.48,-445.41,-385.88,-223.63,-129.35,-14.23,14.08
EBITDA Margin,-19.94%,-46.92%,-151.32%,-,-,-298.18%,-209.31%,-28.74%,59.44%
D&A For EBITDA,9.62,10.86,10.73,12.65,8.14,6.23,3.16,0.85,0.2
EBIT,-190.86,-305.15,-442.22,-458.05,-394.02,-229.87,-132.51,-15.07,13.88
EBIT Margin,-21.00%,-48.65%,-155.09%,-,-,-,-214.42%,-30.45%,58.58%
Effective Tax Rate,-,-,-,-,-,-,-,-,32.32%
Revenue as Reported,909.05,627.24,285.14,117.01,68.83,75,-,-,-
