Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Jan '20Jan 1, 2020","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017"
Cash & Equivalents,278.89,286.75,"1,278",786.03,688.94,455.69,83.36,210.17,2.12
Short-Term Investments,713.7,835.93,30.34,54.02,193.46,50,75.56,-,-
Trading Asset Securities,-,-,0.66,185.6,-,-,-,6.01,-
Cash & Short-Term Investments,992.59,"1,123","1,309","1,026",882.4,505.69,158.92,216.18,2.12
Cash Growth,-18.13%,-14.21%,27.60%,16.23%,74.49%,218.20%,-26.49%,10121.28%,-
Accounts Receivable,1.3,6.86,101.43,0.28,50.5,75.62,30,26.22,227.98
Other Receivables,201.27,118.03,55.63,44.24,8.04,7,-,82.35,0.76
Receivables,202.57,124.89,157.06,44.52,58.55,82.62,30,108.57,228.74
Inventory,29.18,23.9,19.43,10.35,1.75,1.8,1.16,1.14,0.01
Prepaid Expenses,17.59,12.37,12.23,17.33,5.72,3.46,21.67,0.82,0.03
Other Current Assets,0.07,0.07,0.36,1.27,1.44,0.38,0.26,0.26,-
Total Current Assets,"1,242","1,284","1,498","1,099",949.85,593.94,212.01,326.96,230.9
"Property, Plant & Equipment",253.74,201.22,189.23,160.76,140.79,111.88,72.98,31.89,2.93
Long-Term Investments,-,4.36,4.36,-,4.71,-,-,-,-
Other Intangible Assets,-,2.16,4.06,3.41,4.68,2.85,0.52,0.05,0
Long-Term Accounts Receivable,-,-,-,0.4,-,-,-,-,-
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,68.92,4.86
Other Long-Term Assets,217.2,178.49,153.16,67.28,19.44,13.41,7.11,1.24,-
Total Assets,"1,713","1,670","1,849","1,331","1,119",722.09,292.62,429.05,238.69
Accounts Payable,102.46,38.59,30.66,32.89,7.04,4.91,9.59,7.32,4.34
Accrued Expenses,-,64.51,61.58,152.73,104.38,74.36,-,2.47,0.31
Short-Term Debt,-,-,-,-,-,0.33,-,0.26,-
Current Portion of Leases,7.37,4.79,3.18,3.56,0.91,1.46,1.03,0.37,0.06
Current Income Taxes Payable,10.11,20.67,7.2,9.77,9.49,8.8,12.78,74.54,9.33
Current Unearned Revenue,22.58,47.41,53.08,0.45,0.3,0.28,-,40.32,30.21
Other Current Liabilities,148.19,101.67,60.73,98.38,107.08,25.42,70.85,33.9,7.87
Total Current Liabilities,433.57,277.65,216.42,297.79,229.2,115.57,94.25,159.19,52.12
Long-Term Debt,171.93,301.2,281.33,260.93,120.46,-,-,-,-
Long-Term Leases,88.06,44.61,44.17,20.04,1.59,1.91,5.06,3.94,0.21
Long-Term Unearned Revenue,-,6.15,55.27,7.66,1.87,2.05,-,257.27,174.2
Long-Term Deferred Tax Liabilities,-,-,-,-,-,4.24,41.99,-,-
Other Long-Term Liabilities,8.13,-,0.06,0.23,0.4,0.55,-,-,-
Total Liabilities,701.69,629.61,597.24,586.65,353.52,124.32,141.3,420.4,226.53
Common Stock,0.04,0.04,0.04,0.03,0.03,0.03,0.02,0.02,0.02
Additional Paid-In Capital,"2,738","2,696","2,637","1,657","1,261",708.31,3.91,3.91,3.91
Retained Earnings,"-1,928","-1,662","-1,485",-966.46,-520.11,-116.53,149.85,5.69,8.47
Comprehensive Income & Other,200.63,6.27,98.93,53.72,24.57,5.96,-2.45,-0.97,-0.24
Shareholders' Equity,"1,011","1,041","1,251",744.31,765.94,597.77,151.32,8.65,12.17
Total Liabilities & Equity,"1,713","1,670","1,849","1,331","1,119",722.09,292.62,429.05,238.69
Total Debt,410.24,350.6,328.67,284.53,122.97,3.7,6.09,4.57,0.27
Net Cash (Debt),582.35,772.08,980.05,741.12,759.43,501.99,152.84,211.61,1.85
Net Cash Growth,-32.74%,-21.22%,32.24%,-2.41%,51.28%,228.45%,-27.77%,11363.06%,-
Net Cash Per Share,3.16,4.22,5.57,4.66,5.39,4.25,1.53,2.12,0.01
Filing Date Shares Outstanding,184.69,183.65,181.91,165.07,154.23,133.01,100,100,218.75
Total Common Shares Outstanding,184.69,183.65,181.91,165.07,154.23,133.01,100,100,218.75
Working Capital,808.43,"1,006","1,281",801.33,720.65,478.38,117.76,167.77,178.78
Book Value Per Share,5.48,5.67,6.88,4.51,4.97,4.49,1.51,0.09,0.06
Tangible Book Value,"1,011","1,038","1,247",740.9,761.26,594.92,150.8,8.6,12.16
Tangible Book Value Per Share,5.48,5.65,6.86,4.49,4.94,4.47,1.51,0.09,0.06
Land,-,2.89,2.89,2.89,2.89,2.89,2.89,-,-
Buildings,-,65.54,65.54,45.08,16.01,11.21,10.07,0.13,0.03
Machinery,-,44.92,45.48,46.26,38.27,29.17,22.14,4.63,2.76
Construction In Progress,-,4.4,3.04,14.18,41.37,27.81,3.69,24.34,0.17
Leasehold Improvements,-,21.28,23.12,21.97,20.91,11.89,10.38,-,-
