Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '04Dec 31, 2004"
Cash & Equivalents,97.14,398.98,195.57,323.79,182.54,162.12,93.2,-,19.96
Cash & Short-Term Investments,97.14,398.98,195.57,323.79,182.54,162.12,93.2,-,19.96
Cash Growth,-66.07%,104.01%,-39.60%,77.38%,12.60%,73.94%,-,-,-
Accounts Receivable,140.7,106.58,102.37,98.35,78.79,74.11,63.61,-,12.72
Other Receivables,38.48,7.74,1.8,4.71,8.64,11.13,6.96,-,-
Receivables,179.18,114.32,104.16,103.06,87.43,85.24,70.57,-,12.72
Prepaid Expenses,21.8,19.03,16.11,16.75,18.95,8.78,8.17,-,-
Other Current Assets,32.57,32.32,34.15,35.47,33.98,25.63,22.81,-,-
Total Current Assets,330.68,564.65,350,479.07,322.91,281.77,194.75,-,40.47
"Property, Plant & Equipment",204.71,201.84,190.87,179.32,173.08,101.44,89.5,-,12.15
Long-Term Investments,10.23,10.23,16.43,22.23,10.23,-,-,-,-
Goodwill,"1,956","1,418","1,418","1,495","1,467","1,467","1,467",-,-
Other Intangible Assets,"1,034",934.28,"1,015","1,119","1,213","1,312","1,411",-,-
Long-Term Deferred Charges,22.05,20.44,23.97,22.45,25.02,15.14,13.63,-,-
Other Long-Term Assets,10.3,34.06,37,33.91,26.17,17.72,9.3,-,-
Total Assets,"3,592","3,183","3,051","3,351","3,238","3,196","3,185",-,83.63
Accounts Payable,22.63,18.39,16.32,27.6,12.92,13.16,15.42,-,7.73
Accrued Expenses,70.12,72.54,71.48,71.45,66.69,52.99,53.13,-,-
Current Portion of Long-Term Debt,13.42,11.26,11.06,10.88,8,25.38,10,-,-
Current Portion of Leases,7.71,7.66,6.79,5.48,8.05,-,-,-,-
Current Income Taxes Payable,0.08,0.08,3.69,0.92,7.24,5.13,2.18,-,-
Current Unearned Revenue,76.45,44.92,43.57,35.24,31.04,26.51,25.1,-,-
Other Current Liabilities,3.18,-,-,-,2.7,2.54,2.39,-,-
Total Current Liabilities,218.05,154.85,152.91,151.57,136.65,125.72,108.21,-,35.95
Long-Term Debt,"1,001",785.49,795.2,804.88,780.61,"1,311","1,319",-,-
Long-Term Leases,52.75,47.24,50.8,54.25,56.13,-,-,-,-
Long-Term Unearned Revenue,1.68,1.42,1.37,1.24,1.57,2,1.16,-,-
Long-Term Deferred Tax Liabilities,180.55,164.84,195.37,241.7,275.75,322.35,333.47,-,-
Other Long-Term Liabilities,8.25,9.89,56.54,37.82,100.32,48.74,44.26,-,169.55
Total Liabilities,"1,462","1,164","1,252","1,291","1,351","1,810","1,806",-,205.51
Common Stock,0.07,0.06,0.06,0.06,0.06,0.05,0,-,-
Additional Paid-In Capital,"3,450","3,094","2,910","2,754","2,619","1,501","1,492",-,-
Retained Earnings,"-1,319","-1,095","-1,126",-707.95,-746.35,-129.37,-112.49,-,-
Comprehensive Income & Other,-1.07,-1.2,-1.07,-0.88,-0.32,-0.27,-0.4,-,-
Total Common Equity,"2,130","1,998","1,782","2,045","1,872","1,372","1,379",-,-121.88
Minority Interest,-,21.68,16.58,14.18,14.18,14.18,-,-,-
Shareholders' Equity,"2,130","2,020","1,799","2,059","1,886","1,386","1,379",-,-121.88
Total Liabilities & Equity,"3,592","3,183","3,051","3,351","3,238","3,196","3,185",-,83.63
Total Debt,"1,099",851.64,863.84,875.49,852.8,"1,336","1,329",-,-
Net Cash (Debt),"-1,002",-452.66,-668.27,-551.7,-670.25,"-1,174","-1,235",-,-
Net Cash Per Share,-1.59,-0.71,-1.08,-0.86,-1.23,-2.33,-2.45,-,-
Filing Date Shares Outstanding,642.02,656.78,604.65,625.06,612.14,86.25,503.45,1.48,-
Total Common Shares Outstanding,647.18,629.21,603.13,622.07,609.77,1.48,503.45,1.48,-
Working Capital,112.63,409.8,197.09,327.51,186.26,156.05,86.54,-,-
Book Value Per Share,3.29,3.18,2.96,3.29,3.07,926.29,932.70,-,-
Tangible Book Value,-860.21,-354.18,-650.49,-568.66,-807.82,"-1,407","-1,499",-,-
Tangible Book Value Per Share,-1.33,-0.56,-1.08,-0.91,-1.32,-950.31,-1013.66,-,-
Buildings,4.91,4.91,4.91,4.91,4.91,4.91,4.91,-,-
Machinery,17.55,20.33,28.84,34.52,36.98,32.73,25.84,-,-
Leasehold Improvements,31.33,30.99,31.05,30.43,34.88,13.4,10.09,-,-
