Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '04Dec 31, 2004"
Revenue,"1,026",944.8,866.38,782.45,688.29,633.06,616.08,569.77,198.65
Revenue Growth (YoY),10.64%,9.05%,10.73%,13.68%,8.72%,2.76%,8.13%,186.82%,-
Cost of Revenue,255.12,222,203.32,187,168.43,182.41,191.87,184.42,-
Gross Profit,770.48,722.8,663.05,595.45,519.86,450.65,424.22,385.35,198.65
"Selling, General & Admin",374.6,351.84,332.7,286.25,398.96,165.55,160.24,139.56,-
Research & Development,227.88,201.49,173.11,156.96,165.99,109.51,114.01,108.17,-
Amortization of Goodwill & Intangibles,86.76,80.77,98.44,99.22,98.68,98.61,109.13,112.71,-
Operating Expenses,689.23,634.1,604.24,542.43,663.63,373.67,383.37,360.44,-
Operating Income,81.25,88.71,58.82,53.02,-143.77,76.98,40.85,24.91,-
Interest Expense,-75.51,-64.61,-63.58,-38.99,-50.62,-90.25,-111.91,-83.44,-
Interest & Investment Income,8,12.2,16.25,0.91,-,-,-,-,-
Currency Exchange Gain (Loss),-,-,-,-,-,0.33,-,-,-
Other Non Operating Income (Expenses),1.41,16.61,-13.3,32.44,-64.39,-,0.48,0.47,-
EBT Excluding Unusual Items,15.16,52.91,-1.81,47.38,-258.77,-12.94,-70.58,-58.05,-
Merger & Restructuring Charges,-16.5,-8.7,-,-1.2,-0.91,-,-,-,-
Impairment of Goodwill,-,-,-77.41,-,-,-,-25.8,-,-
Gain (Loss) on Sale of Investments,-,-,-,3.59,-,-,-,-,-
Asset Writedown,-,-,-5.34,-,-,-,-181.25,-,-
Other Unusual Items,0.1,0.1,-,0.1,-15.24,-8.62,-,-,-
Pretax Income,-1.24,44.31,-84.55,49.86,-274.92,-21.56,-277.63,-58.05,-
Income Tax Expense,-1.07,13.07,5.52,11.46,-26,-4.68,-67.29,-3.02,-
Earnings From Continuing Operations,-0.17,31.24,-90.07,38.41,-248.92,-16.88,-210.34,-55.03,-
Minority Interest in Earnings,-2.69,-5.1,-2.41,-,-,-,-,-,-
Net Income,-2.86,26.15,-92.48,38.41,-248.92,-16.88,-210.34,-55.03,18.57
Net Income to Common,-2.86,26.15,-92.48,38.41,-248.92,-16.88,-210.34,-55.03,-
Shares Outstanding (Basic),631,611,618,608,544,504,503,1,-
Shares Outstanding (Diluted),631,642,618,643,544,504,503,1,-
Shares Change (YoY),-0.06%,3.88%,-3.88%,18.27%,7.82%,0.13%,33954.54%,-,-
EPS (Basic),-0.00,0.04,-0.15,0.06,-0.46,-0.03,-0.42,-37.22,-
EPS (Diluted),-0.00,0.04,-0.15,0.06,-0.46,-0.03,-0.42,-37.22,-
Free Cash Flow,255.34,230.87,195,151.96,89.01,73.84,45.84,52.11,-
Free Cash Flow Per Share,0.41,0.36,0.32,0.24,0.16,0.15,0.09,35.25,-
Gross Margin,75.13%,76.50%,76.53%,76.10%,75.53%,71.19%,68.86%,67.63%,100.00%
Operating Margin,7.92%,9.39%,6.79%,6.78%,-20.89%,12.16%,6.63%,4.37%,-
Profit Margin,-0.28%,2.77%,-10.67%,4.91%,-36.17%,-2.67%,-34.14%,-9.66%,-
Free Cash Flow Margin,24.90%,24.44%,22.51%,19.42%,12.93%,11.66%,7.44%,9.14%,-
EBITDA,212.5,203.38,167.69,153.23,-46.96,167.04,140.57,123.95,-
EBITDA Margin,20.72%,21.53%,19.36%,19.58%,-6.82%,26.39%,22.82%,21.75%,-
D&A For EBITDA,131.24,114.68,108.87,100.21,96.81,90.06,99.72,99.03,-
EBIT,81.25,88.71,58.82,53.02,-143.77,76.98,40.85,24.91,-
EBIT Margin,7.92%,9.39%,6.79%,6.78%,-20.89%,12.16%,6.63%,4.37%,-
Effective Tax Rate,-,29.50%,-,22.98%,-,-,-,-,-
Advertising Expenses,-,2,1.5,1.1,1.1,1.6,1.3,1.2,-
