Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,780.86,769.33,689.14,618.32,502.8,373.63,300.56,253.35,202.55,164.45
Revenue Growth (YoY),2.50%,11.64%,11.45%,22.98%,34.57%,24.31%,18.63%,25.08%,23.17%,-
Cost of Revenue,173.39,173.76,170.45,160.4,135.51,104.27,88.14,81.46,65.44,62.58
Gross Profit,607.47,595.57,518.69,457.92,367.29,269.36,212.42,171.9,137.11,101.87
"Selling, General & Admin",277.07,303.58,339.61,370.83,287.63,204.74,163.22,122.3,90.38,71.78
Research & Development,183.83,201.13,177.36,154.55,119.08,83.47,64.03,55.49,45.6,37.9
Other Operating Expenses,8.65,6.73,12.98,25.15,6.05,3.56,3.91,5.82,4.25,5.55
Operating Expenses,469.55,511.44,529.95,550.54,412.77,291.77,231.15,183.61,140.23,115.24
Operating Income,137.92,84.13,-11.26,-92.62,-45.48,-22.41,-18.73,-11.71,-3.12,-13.37
Interest Expense,-2.76,-2.76,-3.22,-4.48,-,-0.78,-1.31,-2.04,-0.96,-0.86
Interest & Investment Income,26.96,27.96,24.42,7.92,0.3,1.07,2.51,-,-,-
Currency Exchange Gain (Loss),0.1,0.1,0.5,-0.2,-0.5,-0.6,0.9,-0.4,-,-0.5
Other Non Operating Income (Expenses),-1.14,0.18,-0.51,0.04,-1.7,-,-,-5.74,-0.06,-0.41
EBT Excluding Unusual Items,161.08,109.61,9.93,-89.35,-47.38,-22.72,-16.63,-19.89,-4.14,-15.13
Merger & Restructuring Charges,-23.59,-19.19,-,-,-,-,-,-,-,-
Asset Writedown,-,-,-,-,-8.74,-,-,-,-,-
Legal Settlements,-,-,-,-,-,-,-,-,-,-1.1
Other Unusual Items,-,-,38.95,-,-,-,-,-,-,-
Pretax Income,137.5,90.43,48.88,-89.35,-56.12,-22.72,-16.63,-19.89,-4.14,-16.23
Income Tax Expense,-109.46,-125.16,1.99,0.54,0.12,0.15,0.03,0.02,-0.02,-0
Net Income,246.96,215.59,46.89,-89.89,-56.24,-22.87,-16.66,-19.91,-4.12,-16.23
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,-,6.51,-
Net Income to Common,246.96,215.59,46.89,-89.89,-56.24,-22.87,-16.66,-19.91,-10.63,-16.23
Net Income Growth,187.85%,359.80%,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),133,134,135,131,127,119,110,52,33,32
Shares Outstanding (Diluted),143,143,137,131,127,119,110,52,33,32
Shares Change (YoY),1.51%,4.29%,5.17%,2.64%,7.13%,8.09%,109.86%,58.83%,2.72%,-
EPS (Basic),1.85,1.61,0.35,-0.69,-0.44,-0.19,-0.15,-0.38,-0.32,-0.51
EPS (Diluted),1.74,1.52,0.06,-0.69,-0.44,-0.19,-0.15,-0.38,-0.32,-0.51
EPS Growth,179.51%,2286.77%,-,-,-,-,-,-,-,-
Free Cash Flow,216.26,150.04,52.02,10.25,9.81,16.05,-9.69,10.74,-5.83,2.3
Free Cash Flow Per Share,1.51,1.05,0.38,0.08,0.08,0.14,-0.09,0.20,-0.18,0.07
Gross Margin,77.80%,77.41%,75.27%,74.06%,73.05%,72.09%,70.67%,67.85%,67.69%,61.95%
Operating Margin,17.66%,10.94%,-1.63%,-14.98%,-9.04%,-6.00%,-6.23%,-4.62%,-1.54%,-8.13%
Profit Margin,31.63%,28.02%,6.80%,-14.54%,-11.19%,-6.12%,-5.54%,-7.86%,-5.25%,-9.87%
Free Cash Flow Margin,27.69%,19.50%,7.55%,1.66%,1.95%,4.29%,-3.23%,4.24%,-2.88%,1.40%
EBITDA,147.97,88.84,-8.31,-89.47,-41.12,-16.14,-13.27,-6.86,1.06,-5.91
EBITDA Margin,18.95%,11.55%,-1.21%,-14.47%,-8.18%,-4.32%,-4.42%,-2.71%,0.53%,-3.59%
D&A For EBITDA,10.05,4.71,2.95,3.16,4.36,6.27,5.46,4.85,4.19,7.46
EBIT,137.92,84.13,-11.26,-92.62,-45.48,-22.41,-18.73,-11.71,-3.12,-13.37
EBIT Margin,17.66%,10.94%,-1.63%,-14.98%,-9.04%,-6.00%,-6.23%,-4.62%,-1.54%,-8.13%
Effective Tax Rate,-,-,4.07%,-,-,-,-,-,-,-
Advertising Expenses,-,57.1,83.2,121.2,90.8,51.4,37.4,23.6,14.6,10.8
