Period Ending,"Jun '25Jun 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Revenue,"1,869","1,761","1,562","1,388","1,270",984.37,757.67,603.7,425.64,290.1,203.52
Revenue Growth (YoY),13.04%,12.74%,12.54%,9.29%,28.98%,29.92%,25.50%,41.84%,46.72%,42.54%,43.48%
Cost of Revenue,590.63,564.64,512.53,526.23,488.58,313.02,194.82,126.95,69.39,45.29,34.97
Gross Profit,"1,278","1,196","1,049",861.44,781.08,671.35,562.85,476.76,356.25,244.82,168.55
"Selling, General & Admin",620.33,600.59,559.61,663.93,681.68,550.13,393.64,308.48,252.62,183.48,139.54
Research & Development,514.01,495.28,481.29,482.86,424.94,320.28,250.79,198.91,153.64,105.37,77.65
Other Operating Expenses,-,-,2.21,-,-,-,-,-,-,-,-
Operating Expenses,"1,134","1,096","1,043","1,147","1,107",870.4,644.43,507.39,406.26,288.85,217.18
Operating Income,143.74,100.14,6.03,-285.35,-325.53,-199.06,-81.58,-30.63,-50.01,-44.03,-48.64
Interest Expense,-3.89,-3.17,-4.19,-5.21,-5.3,-29.95,-20.94,-10,-,-,-
Interest & Investment Income,14.74,41.95,45.19,19.42,10.47,16.39,19.79,9.61,1.18,0.85,0.24
Currency Exchange Gain (Loss),11.19,11.19,-8.5,3.34,-0.3,-7.88,-1.94,-2.09,-5.89,-0.37,0
Other Non Operating Income (Expenses),-36.67,-0.73,-0.88,0.3,-0.18,-0.42,-0.48,-0.8,-0.23,-0.23,-0.18
EBT Excluding Unusual Items,129.11,149.39,37.64,-267.51,-320.84,-220.92,-85.15,-33.91,-54.95,-43.79,-48.57
Gain (Loss) on Sale of Investments,2.54,2.54,30.61,-200.34,267.83,69.04,-,-,-,-,-
Asset Writedown,-,-,-25.91,-,-,-,-,-,-,-,-
Other Unusual Items,-,-,-4.5,-,-,-,-,-,-,-,-
Pretax Income,131.49,151.93,37.84,-467.84,-53.01,-151.88,-85.15,-33.91,-54.95,-43.79,-48.57
Income Tax Expense,-34.78,13.6,4.7,-42.98,64.2,14.99,2.6,3.21,1.32,3.11,2.77
Net Income,166.27,138.32,33.14,-424.86,-117.21,-166.87,-87.75,-37.12,-56.27,-46.9,-51.33
Net Income to Common,166.27,138.32,33.14,-424.86,-117.21,-166.87,-87.75,-37.12,-56.27,-46.9,-51.33
Net Income Growth,126.38%,317.42%,-,-,-,-,-,-,-,-,-
Shares Outstanding (Basic),56,56,57,58,57,54,51,48,46,42,39
Shares Outstanding (Diluted),61,60,58,58,57,54,51,48,46,42,39
Shares Change (YoY),3.89%,2.66%,0.71%,1.74%,4.74%,7.76%,5.18%,5.41%,8.37%,6.66%,4.13%
EPS (Basic),2.99,2.49,0.58,-7.33,-2.06,-3.07,-1.74,-0.77,-1.24,-1.12,-1.30
EPS (Diluted),2.81,2.36,0.57,-7.33,-2.06,-3.07,-1.74,-0.77,-1.24,-1.12,-1.30
EPS Growth,123.40%,314.03%,-,-,-,-,-,-,-,-,-
Free Cash Flow,551.26,479.6,185.23,-31.4,29.92,129.65,128.14,102.03,71.4,36.16,14.53
Free Cash Flow Per Share,9.07,8.00,3.17,-0.54,0.53,2.38,2.54,2.13,1.57,0.86,0.37
Gross Margin,68.39%,67.93%,67.18%,62.08%,61.52%,68.20%,74.29%,78.97%,83.70%,84.39%,82.82%
Operating Margin,7.69%,5.69%,0.39%,-20.56%,-25.64%,-20.22%,-10.77%,-5.07%,-11.75%,-15.18%,-23.90%
Profit Margin,8.90%,7.86%,2.12%,-30.62%,-9.23%,-16.95%,-11.58%,-6.15%,-13.22%,-16.16%,-25.22%
Free Cash Flow Margin,29.50%,27.24%,11.86%,-2.26%,2.36%,13.17%,16.91%,16.90%,16.78%,12.46%,7.14%
EBITDA,174.01,131.26,32.48,-262.5,-306.65,-181.87,-64.87,-19.12,-41.6,-39.49,-43.64
EBITDA Margin,9.31%,7.46%,2.08%,-18.92%,-24.15%,-18.48%,-8.56%,-3.17%,-9.77%,-13.61%,-21.44%
D&A For EBITDA,30.27,31.12,26.45,22.86,18.88,17.19,16.71,11.51,8.41,4.54,5
EBIT,143.74,100.14,6.03,-285.35,-325.53,-199.06,-81.58,-30.63,-50.01,-44.03,-48.64
EBIT Margin,7.69%,5.69%,0.39%,-20.56%,-25.64%,-20.22%,-10.77%,-5.07%,-11.75%,-15.18%,-23.90%
Effective Tax Rate,-,8.95%,12.43%,-,-,-,-,-,-,-,-
Revenue as Reported,"1,869","1,761","1,562","1,388","1,270",984.37,757.67,603.7,425.64,-,-
