Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"10,877","8,157","6,584","5,916","7,895","8,505","9,563","9,260","7,900","6,002","6,007"
Market Cap Growth,33.66%,23.90%,11.28%,-25.06%,-7.18%,-11.06%,3.28%,17.21%,31.63%,-0.09%,-22.00%
PE Ratio,15.83,11.16,205.74,-,12.16,-,15.23,99.57,10.78,10.09,32.13
PS Ratio,11.38,8.38,26.23,-5.30,9.43,-49.16,12.40,40.44,9.36,8.24,16.97
PB Ratio,0.95,0.84,0.80,0.75,0.77,0.77,0.87,0.94,0.90,0.82,0.75
P/OCF Ratio,18.01,94.85,-,5.84,5.13,4.87,8.11,8.32,6.27,4.44,4.21
Debt / Equity Ratio,6.49,6.24,6.16,4.63,4.63,4.74,8.10,7.68,5.79,5.66,5.90
Quick Ratio,0.24,0.23,0.20,0.19,0.21,0.19,0.11,0.24,0.22,0.21,0.07
Current Ratio,0.26,0.25,0.22,0.22,0.22,0.21,0.12,0.25,0.22,0.21,0.10
Asset Turnover,0.01,0.01,0.00,-,0.01,-,0.01,0.00,0.01,0.01,0.01
Return on Equity (ROE),7.94%,9.58%,1.92%,-13.11%,7.01%,-2.40%,6.57%,1.38%,9.57%,8.13%,2.47%
Return on Assets (ROA),0.84%,1.08%,0.25%,-1.98%,1.00%,-0.27%,0.62%,0.14%,1.21%,1.09%,0.34%
Earnings Yield,6.32%,10.58%,2.35%,-20.11%,9.49%,-3.13%,7.19%,1.39%,9.76%,10.38%,3.58%
Dividend Yield,9.25%,6.05%,7.18%,9.18%,7.67%,9.20%,12.30%,-,-,-,-
Payout Ratio,323.30%,143.80%,648.39%,-,114.82%,-,165.55%,755.04%,103.11%,128.25%,419.54%
Buyback Yield / Dilution,-32.44%,-26.86%,-15.38%,-1.32%,3.92%,-1.88%,-22.66%,-23.05%,-8.08%,4.79%,1.33%
Total Shareholder Return,-23.19%,-20.81%,-8.20%,7.86%,11.58%,7.32%,-10.36%,-23.05%,-8.08%,4.79%,1.33%
