Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,450,505,518,"1,018",998,"1,017",831,921,"1,046","1,208","1,110"
Long-Term Investments,"8,010","5,577","4,242","4,030","6,002","11,508","7,154","5,092","3,392","1,657","2,984"
Trading Asset Securities,145,205,185,617,317,391,190,273,205,355,81
Other Receivables,"1,502",-,-,120,-,210,-,489,-,21,-
Goodwill,526,526,526,526,526,526,526,526,526,526,-
Other Intangible Assets,-,-,-,-,-,-,-,-,25,28,-
Restricted Cash,"1,461","1,266","1,253","1,316",527,"1,307",451,599,317,74,"1,281"
Other Long-Term Assets,"75,476","62,799","53,254","37,499","49,304","55,110","93,749","79,528","53,904","45,295","49,852"
Total Assets,"108,969","88,015","71,596","51,748","68,149","81,817","113,082","109,241","70,376","56,880","57,021"
Accounts Payable,"1,225",74,210,302,80,"6,376","2,978","1,722",312,104,243
Short-Term Debt,"5,240","1,530","1,909",454,556,2,103,84,28,428,960
Current Portion of Long-Term Debt,"68,999","59,362","48,879","35,907","46,911","52,366","86,760","72,892","45,771","35,395","39,439"
Long-Term Debt,58,64,80,95,126,177,"2,553","3,100","4,882","5,788","6,638"
Other Current Liabilities,"20,972","16,819","11,009","6,634","9,785","11,817","9,647","21,537","10,629","7,809","1,770"
Other Long-Term Liabilities,"1,031",404,"1,252",486,400,-,-,-,-,-,-
Total Liabilities,"97,525","78,253","63,339","43,878","57,858","70,738","102,041","99,335","61,622","49,524","49,050"
Common Stock,11,9,7,6,5,5,5,5,4,3,3
Additional Paid-In Capital,"18,892","17,264","15,281","14,186","13,710","13,972","13,893","13,793","11,173","9,932","10,048"
Retained Earnings,"-9,038","-8,554","-8,148","-7,284","-5,214","-5,106","-3,886","-3,433","-2,562","-2,518","-2,350"
Comprehensive Income & Other,-389,-591,-517,-672,301,719,97,-943,-345,-397,-66
Total Common Equity,"9,476","8,128","6,623","6,236","8,802","9,590","10,109","9,422","8,270","7,020","7,635"
Shareholders' Equity,"11,444","9,762","8,257","7,870","10,291","11,079","11,041","9,906","8,754","7,356","7,971"
Total Liabilities & Equity,"108,969","88,015","71,596","51,748","68,149","81,817","113,082","109,241","70,376","56,880","57,021"
Total Debt,"74,297","60,956","50,868","36,456","47,593","52,545","89,416","76,076","50,681","41,611","47,037"
Net Cash (Debt),"-52,303","-43,109","-38,547","-28,199","-35,803","-39,389","-78,214","-53,069","-38,469","-32,332","-44,133"
Net Cash Per Share,-53.83,-54.85,-62.21,-52.51,-67.55,-71.41,-144.47,-120.23,-107.25,-97.41,-126.60
Filing Date Shares Outstanding,"1,073",900.42,695.02,574.66,522.22,537.9,540.94,536.34,391.32,331.05,337.47
Total Common Shares Outstanding,"1,073",897.4,694.27,574.57,522.22,539.47,540.9,536.3,391.3,331,337.5
Working Capital,"-71,479","-58,672","-48,433","-33,604","-45,015","-55,888","-87,835","-72,140","-44,211","-34,362","-38,227"
Book Value Per Share,8.83,9.06,9.54,10.85,16.85,17.78,18.69,17.57,21.13,21.21,22.62
Tangible Book Value,"8,950","7,602","6,097","5,710","8,276","9,064","9,583","8,896","7,719","6,466","7,635"
Tangible Book Value Per Share,8.34,8.47,8.78,9.94,15.85,16.80,17.72,16.59,19.73,19.53,22.62
