Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"4,979","5,131","7,220","4,263","5,327","4,755","3,232","2,943","2,251","1,130","1,132"
Market Cap Growth,12.04%,-28.94%,69.35%,-19.97%,12.04%,47.14%,9.80%,30.78%,99.22%,-0.16%,-10.04%
Enterprise Value,"4,392","4,605","6,791","3,847","4,895","4,363","2,871","2,553","1,948",920,957
Last Close Price,139.46,140.22,196.28,112.23,137.22,121.87,83.37,74.74,59.35,31.65,33.09
PE Ratio,26.78,29.54,47.63,39.48,75.08,51.93,46.61,51.36,55.65,58.76,71.32
Forward PE,19.02,23.68,37.60,28.90,41.84,42.12,34.23,42.58,52.35,37.51,43.60
PS Ratio,7.76,8.45,13.02,8.71,12.96,13.10,10.05,10.55,9.75,5.71,6.89
PB Ratio,9.46,10.75,19.61,14.75,12.20,11.76,8.36,8.22,6.55,4.37,5.79
P/TBV Ratio,9.67,11.09,20.57,15.86,12.60,12.35,8.96,8.98,6.83,4.39,5.84
P/FCF Ratio,18.43,22.14,30.62,23.24,30.24,31.69,24.29,28.66,32.23,24.52,24.65
P/OCF Ratio,17.77,21.02,29.52,21.44,26.56,26.40,20.12,23.46,20.91,16.30,17.15
PEG Ratio,2.63,2.29,2.29,2.29,2.29,2.29,2.29,7.03,3.08,2.51,1.59
EV/Sales Ratio,6.73,7.58,12.25,7.86,11.91,12.02,8.93,9.15,8.44,4.65,5.83
EV/EBITDA Ratio,19.26,22.39,35.73,23.29,32.44,33.69,27.75,32.20,33.65,19.53,24.44
EV/EBIT Ratio,20.66,24.60,41.65,29.47,42.57,45.14,39.73,50.69,52.30,30.55,38.59
EV/FCF Ratio,16.18,19.87,28.80,20.97,27.78,29.08,21.58,24.86,27.89,19.97,20.85
Debt / Equity Ratio,0.10,0.10,0.08,0.15,0.11,0.14,0.13,-,-,-,-
Debt / EBITDA Ratio,0.22,0.21,0.14,0.23,0.29,0.39,0.44,-,-,-,-
Debt / FCF Ratio,0.20,0.20,0.12,0.23,0.28,0.38,0.39,-,-,-,-
Asset Turnover,0.67,0.68,0.73,0.65,0.53,0.51,0.51,0.50,0.49,0.54,0.56
Quick Ratio,1.27,1.27,1.47,1.26,1.69,1.78,1.69,1.85,2.13,2.23,1.97
Current Ratio,1.38,1.37,1.54,1.34,1.80,1.86,1.77,1.93,2.23,2.31,2.04
Return on Equity (ROE),38.64%,41.09%,46.13%,29.76%,16.87%,23.14%,18.62%,16.34%,13.44%,8.47%,9.13%
Return on Assets (ROA),13.69%,13.10%,13.47%,10.77%,9.26%,8.55%,7.16%,5.61%,4.93%,5.15%,5.31%
Return on Capital (ROIC),24.57%,25.40%,27.99%,19.98%,15.18%,13.42%,11.34%,8.97%,7.73%,8.29%,8.93%
Return on Capital Employed (ROCE),35.40%,34.30%,38.50%,37.40%,22.50%,20.10%,16.00%,13.00%,10.00%,10.90%,11.70%
Earnings Yield,3.78%,3.38%,2.10%,2.53%,1.33%,1.93%,2.15%,1.95%,1.80%,1.70%,1.40%
FCF Yield,5.43%,4.52%,3.27%,4.30%,3.31%,3.16%,4.12%,3.49%,3.10%,4.08%,4.06%
Buyback Yield / Dilution,2.33%,0.66%,4.43%,1.93%,1.53%,1.32%,1.46%,-4.56%,-4.44%,-0.48%,-2.73%
