Period Ending,"Aug '25Aug 2, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018","Jan '17Jan 28, 2017","Jan '16Jan 30, 2016"
Cash & Equivalents,562.75,331.72,179.75,332.32,64.97,268.78,202.49,251.75,112.67,76.09,53.08
Short-Term Investments,107.42,197.07,280.34,66.85,277.14,140.93,59.23,85.41,131.96,77.79,46.34
Cash & Short-Term Investments,670.16,528.79,460.09,399.17,342.11,409.71,261.72,337.16,244.63,153.88,99.42
Cash Growth,104.49%,14.93%,15.26%,16.68%,-16.50%,56.55%,-22.38%,37.83%,58.97%,54.78%,57.34%
Inventory,799.6,659.5,584.63,527.72,455.1,281.27,324.03,243.64,187.04,154.45,148.37
Prepaid Expenses,110.5,158.43,153.99,25.9,26.4,19,17.2,26.1,17.8,13.5,15.62
Other Current Assets,4.66,4.65,4.83,113.59,81.12,45.44,62.77,35.36,29.9,17.96,1.34
Total Current Assets,"1,585","1,351","1,204","1,066",904.74,755.41,665.71,642.26,479.36,339.79,264.75
"Property, Plant & Equipment","3,000","2,968","2,644","2,245","1,929","1,541","1,282",301.3,180.35,138.38,119.78
Long-Term Investments,-,-,7.79,-,37.72,-,-,-,27.7,10.51,-
Long-Term Deferred Tax Assets,-,-,-,-,-,-,-,6.13,6.68,11.04,8.51
Long-Term Deferred Charges,-,0.4,0.5,0.7,0.9,1.6,-,-,-,-,-
Other Long-Term Assets,21.56,19.54,16.48,13.17,8.21,16.54,10.87,2.58,1.62,0.82,0.26
Total Assets,"4,607","4,340","3,872","3,325","2,880","2,315","1,959",952.26,695.71,500.54,393.29
Accounts Payable,371.8,260.34,256.28,221.12,196.46,138.62,130.24,103.69,73.03,51.18,58.23
Accrued Expenses,210.46,143.54,128.62,118.14,157.11,122.75,72.23,66.36,55.45,35.93,28.18
Current Portion of Leases,311.37,274.86,240.96,199.78,163.54,143.07,110.47,-,-,-,-
Current Income Taxes Payable,-,52,41.77,19.93,28.1,2.03,9.51,20.63,25.28,23.94,11.94
Other Current Liabilities,31,25.7,48.3,43.6,41.7,29.2,28.9,62.43,10.71,5.52,3.85
Total Current Liabilities,924.62,756.44,715.93,602.56,586.9,435.67,351.35,253.11,164.46,116.56,102.2
Long-Term Leases,"1,707","1,707","1,498","1,297","1,135",967.26,837.62,-,-,-,-
Long-Term Deferred Tax Liabilities,57.12,59.89,66.74,59.15,36.16,28.91,8.72,-,-,-,-
Other Long-Term Liabilities,10.29,8.21,6.83,4.3,1.66,1.05,1.2,84.07,72.69,52.57,46.62
Total Liabilities,"2,699","2,531","2,287","1,963","1,760","1,433","1,199",337.17,237.15,169.13,148.81
Common Stock,0.55,0.55,0.55,0.56,0.56,0.56,0.56,0.56,0.55,0.55,0.55
Additional Paid-In Capital,167.48,152.47,182.71,260.78,280.67,321.08,322.33,352.7,346.3,321.6,306.52
Retained Earnings,"1,739","1,655","1,402","1,101",839.06,560.25,436.89,261.84,111.7,9.25,-62.59
Shareholders' Equity,"1,907","1,808","1,585","1,362","1,120",881.89,759.78,615.09,458.56,331.41,244.48
Total Liabilities & Equity,"4,607","4,340","3,872","3,325","2,880","2,315","1,959",952.26,695.71,500.54,393.29
Total Debt,"2,019","1,982","1,739","1,497","1,299","1,110",948.09,-,-,-,-
Net Cash (Debt),"-1,348","-1,453","-1,278","-1,098",-956.88,-700.62,-686.37,337.16,244.63,153.88,99.42
Net Cash Growth,-,-,-,-,-,-,-,37.83%,58.97%,54.78%,57.34%
Net Cash Per Share,-24.42,-26.34,-22.98,-19.69,-16.99,-12.50,-12.22,6.00,4.40,2.79,1.81
Filing Date Shares Outstanding,55.15,55.05,55.24,55.66,55.72,55.96,55.6,55.8,55.48,54.93,54.59
Total Common Shares Outstanding,55.15,55.03,55.2,55.54,55.66,55.94,55.71,55.76,55.44,54.9,54.59
Working Capital,660.29,594.93,487.62,463.82,317.84,319.74,314.37,389.15,314.9,223.23,162.55
Book Value Per Share,34.59,32.86,28.71,24.52,20.13,15.77,13.64,11.03,8.27,6.04,4.48
Tangible Book Value,"1,907","1,808","1,585","1,362","1,120",881.89,759.78,615.09,458.56,331.41,244.48
Tangible Book Value Per Share,34.59,32.86,28.71,24.52,20.13,15.77,13.64,11.03,8.27,6.04,4.48
Land,-,30.37,30.37,30.37,29.63,23.54,14.77,7.15,-,-,-
Machinery,-,"1,055",909.32,727.07,569.31,426.09,320.14,214.99,159.32,132.65,109.78
Construction In Progress,-,83.49,80.76,63.39,113.53,74.39,78.58,81.37,15.25,9.85,3.59
Leasehold Improvements,-,843.04,697.95,558.72,428.29,319.35,240.66,166.37,133.46,96.08,80.81
