Period Ending,"Aug '25Aug 2, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018","Jan '17Jan 28, 2017","Jan '16Jan 30, 2016"
Revenue,"4,232","3,877","3,559","3,076","2,848","1,962","1,847","1,560","1,278","1,000",831.95
Revenue Growth (YoY),13.88%,8.91%,15.70%,8.00%,45.17%,6.25%,18.41%,22.01%,27.77%,20.25%,22.31%
Cost of Revenue,"2,748","2,524","2,286","1,981","1,818","1,310","1,173",994.48,814.8,643.37,540.02
Gross Profit,"1,484","1,353","1,274","1,095","1,030",652.33,673.97,565.09,463.41,357.04,291.93
"Selling, General & Admin",951.22,861.4,757.51,644.83,565.73,428.23,401.68,336.4,272.82,216.48,176.79
Operating Expenses,"1,134","1,029",888.25,750.45,650.56,497.53,456.68,377.9,306.02,243.08,198.99
Operating Income,349.37,323.82,385.57,345.04,379.88,154.8,217.28,187.18,157.39,113.96,92.94
Interest Expense,-,-,-,-,-3.48,-1.74,-,-,-,-,-
Interest & Investment Income,17.99,14.85,15.53,2.49,-,-,4.29,4.62,1.46,0.3,0.04
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,-,-,-0.33
EBT Excluding Unusual Items,367.36,338.67,401.1,347.53,376.4,153.07,221.57,191.81,158.85,114.26,92.66
Gain (Loss) on Sale of Investments,-,-,-,-,-9.7,-,-,-,-,-,-
Pretax Income,367.36,338.67,401.1,347.53,366.7,153.07,221.57,191.81,158.85,114.26,92.66
Income Tax Expense,94.31,85.05,100,86.01,87.89,29.71,46.51,42.16,56.4,42.42,34.98
Net Income,273.05,253.61,301.11,261.53,278.81,123.36,175.06,149.65,102.45,71.84,57.68
Net Income to Common,273.05,253.61,301.11,261.53,278.81,123.36,175.06,149.65,102.45,71.84,57.68
Net Income Growth,-2.92%,-15.77%,15.13%,-6.20%,126.01%,-29.53%,16.98%,46.06%,42.61%,24.55%,20.11%
Shares Outstanding (Basic),55,55,55,56,56,56,56,56,55,55,55
Shares Outstanding (Diluted),55,55,56,56,56,56,56,56,56,55,55
Shares Change (YoY),-0.14%,-0.84%,-0.22%,-0.99%,0.43%,-0.19%,-0.10%,1.19%,0.78%,0.61%,0.40%
EPS (Basic),4.96,4.61,5.43,4.71,4.98,2.21,3.14,2.68,1.86,1.31,1.06
EPS (Diluted),4.95,4.60,5.41,4.69,4.95,2.20,3.12,2.66,1.84,1.30,1.05
EPS Growth,-2.70%,-14.97%,15.35%,-5.25%,125.00%,-29.49%,17.29%,44.56%,41.54%,23.81%,19.32%
Free Cash Flow,345.16,106.65,164.57,62.97,39.75,165.78,-25.27,70.41,99.59,61.83,34.85
Free Cash Flow Per Share,6.25,1.93,2.96,1.13,0.71,2.96,-0.45,1.25,1.79,1.12,0.64
Gross Margin,35.06%,34.89%,35.79%,35.61%,36.18%,33.25%,36.49%,36.23%,36.25%,35.69%,35.09%
Operating Margin,8.25%,8.35%,10.83%,11.22%,13.34%,7.89%,11.77%,12.00%,12.31%,11.39%,11.17%
Profit Margin,6.45%,6.54%,8.46%,8.50%,9.79%,6.29%,9.48%,9.59%,8.02%,7.18%,6.93%
Free Cash Flow Margin,8.16%,2.75%,4.62%,2.05%,1.40%,8.45%,-1.37%,4.52%,7.79%,6.18%,4.19%
EBITDA,532.42,491.26,516.32,450.66,464.71,224.15,272.26,228.64,190.63,140.59,115.17
EBITDA Margin,12.58%,12.67%,14.51%,14.65%,16.31%,11.42%,14.74%,14.66%,14.91%,14.05%,13.84%
D&A For EBITDA,183.05,167.45,130.75,105.62,84.83,69.35,54.98,41.45,33.24,26.63,22.23
EBIT,349.37,323.82,385.57,345.04,379.88,154.8,217.28,187.18,157.39,113.96,92.94
EBIT Margin,8.25%,8.35%,10.83%,11.22%,13.34%,7.89%,11.77%,12.00%,12.31%,11.39%,11.17%
Effective Tax Rate,25.67%,25.11%,24.93%,24.75%,23.97%,19.41%,20.99%,21.98%,35.50%,37.13%,37.75%
Advertising Expenses,-,64.34,62.47,54.07,31.3,31.6,48.1,42.2,30.8,27.4,22.2
