Period Ending,"Nov '25Nov 13, 2025","Feb '25Feb 1, 2025","Feb '24Feb 3, 2024","Jan '23Jan 28, 2023","Jan '22Jan 29, 2022","Jan '21Jan 30, 2021","Feb '20Feb 1, 2020","Feb '19Feb 2, 2019","Feb '18Feb 3, 2018","Jan '17Jan 28, 2017","Jan '16Jan 30, 2016"
Market Capitalization,"8,110","5,159","9,996","10,838","8,899","9,818","6,303","6,955","3,476","2,064","1,922"
Market Cap Growth,61.84%,-48.39%,-7.77%,21.79%,-9.36%,55.77%,-9.37%,100.06%,68.47%,7.38%,6.07%
Enterprise Value,"9,458","6,910","11,520","12,208","9,888","10,664","7,067","6,767","3,365","2,000","1,904"
Last Close Price,147.06,93.78,181.11,195.23,158.84,175.73,113.22,124.73,62.94,37.60,35.23
PE Ratio,29.72,20.34,33.20,41.44,31.92,79.59,36.01,46.48,33.93,28.73,33.32
Forward PE,29.21,19.02,29.87,37.95,30.10,49.27,35.05,45.02,31.76,27.45,30.73
PS Ratio,1.91,1.33,2.81,3.52,3.12,5.00,3.41,4.46,2.72,2.06,2.31
PB Ratio,4.25,2.85,6.31,7.96,7.94,11.13,8.30,11.31,7.58,6.23,7.86
P/TBV Ratio,4.25,2.85,6.31,7.96,7.94,11.13,8.30,11.31,7.58,6.23,7.86
P/FCF Ratio,23.50,48.37,60.74,172.11,223.90,59.23,-,98.77,34.91,33.38,55.14
P/OCF Ratio,14.52,11.98,20.01,34.41,27.14,26.83,33.70,37.77,20.77,19.35,21.86
PEG Ratio,3.24,1.80,1.56,1.76,0.85,2.47,1.72,1.48,1.07,1.04,1.16
EV/Sales Ratio,2.23,1.78,3.24,3.97,3.47,5.44,3.83,4.34,2.63,2.00,2.29
EV/EBITDA Ratio,17.76,14.07,22.31,27.09,21.28,47.58,25.96,29.60,17.65,14.23,16.53
EV/EBIT Ratio,27.07,21.34,29.88,35.38,26.03,68.89,32.52,36.15,21.38,17.55,20.48
EV/FCF Ratio,27.40,64.79,70.00,193.87,248.79,64.33,-,96.10,33.79,32.35,54.62
Debt / Equity Ratio,1.06,1.10,1.10,1.10,1.16,1.26,1.25,-,-,-,-
Debt / EBITDA Ratio,2.10,2.21,2.02,2.01,1.79,2.51,2.07,-,-,-,-
Debt / FCF Ratio,5.85,18.58,10.56,23.77,32.68,6.70,-,-,-,-,-
Asset Turnover,0.98,0.94,0.99,0.99,1.10,0.92,1.27,1.89,2.14,2.24,2.42
Inventory Turnover,3.82,4.06,4.11,4.03,4.94,4.33,4.13,4.62,4.77,4.25,4.09
Quick Ratio,0.73,0.70,0.64,0.66,0.58,0.94,0.75,1.33,1.49,1.32,0.97
Current Ratio,1.71,1.79,1.68,1.77,1.54,1.73,1.90,2.54,2.92,2.92,2.59
Return on Equity (ROE),15.54%,14.95%,20.44%,21.07%,27.85%,15.03%,25.46%,27.88%,25.94%,24.95%,27.55%
Return on Assets (ROA),5.07%,4.93%,6.70%,6.95%,9.14%,4.53%,9.33%,14.20%,16.45%,15.94%,16.90%
Return on Capital (ROIC),5.88%,5.69%,7.80%,8.17%,10.76%,5.23%,11.69%,21.79%,24.91%,24.74%,27.74%
Return on Capital Employed (ROCE),9.50%,9.00%,12.20%,12.70%,16.60%,8.20%,13.50%,26.80%,29.60%,29.70%,31.90%
Earnings Yield,3.37%,4.92%,3.01%,2.41%,3.13%,1.26%,2.78%,2.15%,2.95%,3.48%,3.00%
FCF Yield,4.26%,2.07%,1.65%,0.58%,0.45%,1.69%,-0.40%,1.01%,2.86%,3.00%,1.81%
Buyback Yield / Dilution,0.14%,0.84%,0.22%,0.99%,-0.43%,0.19%,0.10%,-1.19%,-0.78%,-0.61%,-0.40%
