Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
Cash & Equivalents,107.91,141.79,118.32,151.89
Short-Term Investments,419.38,378.86,277.14,-
Cash & Short-Term Investments,527.29,520.65,395.46,151.89
Cash Growth,0.24%,31.66%,160.36%,-
Other Receivables,4.48,4.7,1.21,-
Receivables,4.48,4.7,1.21,-
Prepaid Expenses,7.41,2.62,1.74,0.11
Other Current Assets,0.92,1.74,-,0.06
Total Current Assets,540.1,529.71,398.41,152.06
"Property, Plant & Equipment",15.68,13.32,2.59,-
Long-Term Investments,61.64,210.42,-,-
Other Long-Term Assets,8.74,0.5,0.4,-
Total Assets,626.16,753.95,401.4,152.06
Accounts Payable,0.38,1.07,2.14,0.42
Accrued Expenses,29.59,24.26,17.31,9.56
Current Portion of Leases,4.08,3.23,1.1,-
Total Current Liabilities,34.05,28.56,20.56,9.98
Long-Term Leases,5.77,8.6,0.93,-
Total Liabilities,39.82,37.16,21.49,9.98
Common Stock,0,0,-,2.25
Additional Paid-In Capital,"1,078","1,022",503.35,-
Retained Earnings,-492.37,-305.92,-123.77,-39.79
Comprehensive Income & Other,1.03,0.92,0.33,2.14
Total Common Equity,586.34,716.79,379.91,-35.39
Shareholders' Equity,586.34,716.79,379.91,142.08
Total Liabilities & Equity,626.16,753.95,401.4,152.06
Total Debt,9.85,11.83,2.03,-
Net Cash (Debt),579.08,719.24,393.43,151.89
Net Cash Growth,-21.92%,82.82%,159.02%,-
Net Cash Per Share,9.96,13.03,15.73,61.69
Filing Date Shares Outstanding,67.49,58.09,48.52,5
Total Common Shares Outstanding,59.32,58.06,48.52,5
Working Capital,506.05,501.15,377.85,142.08
Book Value Per Share,9.89,12.35,7.83,-7.08
Tangible Book Value,586.34,716.79,379.91,-35.39
Tangible Book Value Per Share,9.89,12.35,7.83,-7.08
Machinery,4.16,1.29,-,-
Leasehold Improvements,3.08,0.86,-,-
