Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022"
"Selling, General & Admin",66.92,49.01,24.58,3.21
Research & Development,216.5,167.87,68.42,30.31
Operating Expenses,283.42,216.87,93,33.52
Operating Income,-283.42,-216.87,-93,-33.52
Interest & Investment Income,29.98,34.74,9.02,0.1
Other Non Operating Income (Expenses),-,-,-,-9.98
Pretax Income,-253.44,-182.13,-83.99,-43.4
Income Tax Expense,0.23,0.02,-,-
Net Income,-253.67,-182.15,-83.99,-43.4
Net Income to Common,-253.67,-182.15,-83.99,-43.4
Shares Outstanding (Basic),58,55,25,2
Shares Outstanding (Diluted),58,55,25,2
Shares Change (YoY),9.78%,120.72%,915.57%,-
EPS (Basic),-4.36,-3.30,-3.36,-17.63
EPS (Diluted),-4.36,-3.30,-3.36,-17.63
Free Cash Flow,-237.56,-172.33,-74.93,-17.92
Free Cash Flow Per Share,-4.08,-3.12,-3.00,-7.28
EBITDA,-282.33,-216.68,-,-
D&A For EBITDA,1.09,0.19,-,-
EBIT,-283.42,-216.87,-93,-33.52
