Period Ending,"Nov '25Nov 14, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Market Capitalization,"5,096","5,672","5,637","6,292","6,586","6,299",-,-,-,-
Market Cap Growth,-12.42%,0.62%,-10.41%,-4.48%,4.56%,-,-,-,-,-
Enterprise Value,"6,780","7,375","7,554","8,406","8,679","8,344",-,-,-,-
Last Close Price,24.23,25.97,25.01,27.03,27.43,25.44,-,-,-,-
PE Ratio,16.83,16.11,18.92,24.39,20.33,17.35,-,-,-,-
Forward PE,14.16,15.80,17.29,20.32,19.27,15.24,-,-,-,-
PS Ratio,1.37,1.54,1.50,1.65,1.85,1.93,-,-,-,-
PB Ratio,2.34,2.65,2.84,3.37,3.75,3.90,-,-,-,-
P/FCF Ratio,19.83,15.37,10.44,69.14,38.97,35.79,-,-,-,-
P/OCF Ratio,12.08,11.60,8.75,28.73,21.25,19.75,-,-,-,-
PEG Ratio,-,2.50,2.50,2.50,2.50,2.50,-,-,-,-
EV/Sales Ratio,1.83,2.00,2.01,2.20,2.44,2.56,-,-,-,-
EV/EBITDA Ratio,10.27,10.88,11.88,15.83,14.79,12.18,-,-,-,-
EV/EBIT Ratio,12.87,13.43,14.75,20.30,18.16,14.24,-,-,-,-
EV/FCF Ratio,26.38,19.99,13.99,92.37,51.36,47.41,-,-,-,-
Debt / Equity Ratio,0.80,0.84,0.96,1.16,1.24,1.42,-5.22,-5.82,-4.60,-
Debt / EBITDA Ratio,2.52,2.54,2.89,3.92,3.58,3.26,6.91,9.97,9.49,-
Debt / FCF Ratio,6.77,4.86,3.53,23.85,12.83,13.05,14.52,13.35,17.63,-
Asset Turnover,0.76,0.77,0.77,0.78,0.75,0.74,0.57,0.51,-,-
Inventory Turnover,4.40,4.98,4.52,4.66,5.48,5.47,5.08,5.78,-,-
Quick Ratio,0.76,0.93,1.04,0.82,1.04,1.44,0.36,0.06,0.02,-
Current Ratio,1.94,2.04,2.18,2.36,2.28,2.44,1.51,0.37,0.11,-
Return on Equity (ROE),14.37%,17.07%,15.48%,14.24%,19.22%,91.09%,-,-,-,-
Return on Assets (ROA),6.76%,7.11%,6.59%,5.31%,6.27%,8.25%,6.02%,5.20%,-,-
Return on Capital (ROIC),8.45%,8.77%,8.07%,6.50%,7.62%,9.95%,7.59%,6.66%,-,-
Return on Capital Employed (ROCE),12.20%,12.70%,11.90%,9.30%,11.00%,13.70%,13.50%,10.20%,37.80%,-
Earnings Yield,5.98%,6.21%,5.29%,4.10%,4.92%,5.76%,-,-,-,-
FCF Yield,5.04%,6.51%,9.58%,1.45%,2.57%,2.79%,-,-,-,-
Dividend Yield,3.80%,3.54%,3.68%,3.40%,3.35%,3.22%,-,-,-,-
Payout Ratio,63.88%,54.55%,64.43%,74.42%,59.26%,34.16%,-,-,-,-
Buyback Yield / Dilution,-0.15%,-0.19%,-0.05%,-0.05%,-2.59%,-31.51%,-,-0.03%,-,-
Total Shareholder Return,3.64%,3.35%,3.63%,3.36%,0.76%,-28.29%,-,-0.03%,-,-
