Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016"
Revenue,"3,707","3,695","3,756","3,817","3,556","3,263","3,032","3,142","2,957","2,935"
Revenue Growth (YoY),0.71%,-1.62%,-1.60%,7.34%,8.98%,7.62%,-3.50%,6.26%,0.75%,-
Cost of Revenue,"2,779","2,717","2,814","3,041","2,745","2,290","2,152","2,310","2,095","2,048"
Gross Profit,928,978,942,776,811,973,880,832,862,887
"Selling, General & Admin",400,429,430,340,320,358,305,288,294,326
Other Operating Expenses,1,-,-,22,13,29,65,31,28,28
Operating Expenses,401,429,430,362,333,387,370,319,322,354
Operating Income,527,549,512,414,478,586,510,513,540,533
Interest Expense,-87,-100,-117,-72,-47,-69,-242,-331,-344,-385
Interest & Investment Income,-,-,-,-,-,-,33,52,26,14
Other Non Operating Income (Expenses),2,2,-2,-4,-1,-1,-,-1,-4,-29
Pretax Income,398,451,393,338,430,516,301,233,218,133
Income Tax Expense,93,99,95,80,106,153,76,57,-84,54
Net Income,305,352,298,258,324,363,225,176,302,79
Net Income to Common,305,352,298,258,324,363,225,176,302,79
Net Income Growth,-17.12%,18.12%,15.50%,-20.37%,-10.74%,61.33%,27.84%,-41.72%,282.28%,-
Shares Outstanding (Basic),210,210,210,210,210,205,156,156,155,-
Shares Outstanding (Diluted),210,210,210,210,210,205,156,156,155,-
Shares Change (YoY),0.15%,0.19%,0.05%,0.05%,2.59%,31.51%,-,0.03%,-,-
EPS (Basic),1.45,1.68,1.42,1.23,1.54,1.78,1.45,1.13,1.94,-
EPS (Diluted),1.44,1.67,1.42,1.23,1.54,1.77,1.45,1.13,1.94,-
EPS Growth,-17.70%,17.69%,15.39%,-20.15%,-12.99%,22.33%,28.05%,-41.75%,-,-
Free Cash Flow,257,369,540,91,169,176,294,448,339,350
Free Cash Flow Per Share,1.22,1.75,2.57,0.43,0.81,0.86,1.89,2.88,2.18,-
Dividend Per Share,0.920,0.920,0.920,0.920,0.920,0.820,-,-,-,-
Dividend Growth,-,-,-,-,12.20%,-,-,-,-,-
Gross Margin,25.03%,26.47%,25.08%,20.33%,22.81%,29.82%,29.02%,26.48%,29.15%,30.22%
Operating Margin,14.22%,14.86%,13.63%,10.85%,13.44%,17.96%,16.82%,16.33%,18.26%,18.16%
Profit Margin,8.23%,9.53%,7.93%,6.76%,9.11%,11.13%,7.42%,5.60%,10.21%,2.69%
Free Cash Flow Margin,6.93%,9.99%,14.38%,2.38%,4.75%,5.39%,9.70%,14.26%,11.46%,11.92%
EBITDA,660,678,636,531,587,685,601,600,630,630
EBITDA Margin,17.80%,18.35%,16.93%,13.91%,16.51%,20.99%,19.82%,19.10%,21.30%,21.46%
D&A For EBITDA,133,129,124,117,109,99,91,87,90,97
EBIT,527,549,512,414,478,586,510,513,540,533
EBIT Margin,14.22%,14.86%,13.63%,10.85%,13.44%,17.96%,16.82%,16.33%,18.26%,18.16%
Effective Tax Rate,23.37%,21.95%,24.17%,23.67%,24.65%,29.65%,25.25%,24.46%,-,40.60%
Revenue as Reported,"3,707","3,695","3,756","3,817","3,556","3,263","3,032","3,142","2,957","2,935"
Advertising Expenses,-,78,79,59,43,72,57,55,56,-
