Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Investments in Debt Securities,"6,069","5,625","5,266","4,885","5,266","5,047","3,764","3,274"
Investments in Equity & Preferred Securities,-,-,-,-,-,-,-,424.76
Other Investments,2,3.37,20.22,3.05,-,-,-,-
Total Investments,"6,071","5,628","5,286","4,888","5,266","5,047","3,764","3,699"
Cash & Equivalents,543.58,599.43,615.68,513.78,425.83,452.79,585.06,159.05
Other Receivables,102.54,102.63,86.63,77.58,74.43,75.67,65.32,61.93
Deferred Policy Acquisition Cost,22.52,23.77,25.01,26.12,27.22,28.87,30.33,28.1
"Property, Plant & Equipment",-,8.8,11.3,13.6,15.5,18.1,-,-
Long-Term Deferred Tax Assets,23.19,65.01,88.49,127.47,-,-,2.97,92.11
Other Long-Term Assets,114.11,93.75,77.01,62.79,56.46,30.67,54.81,30.36
Total Assets,"6,876","6,522","6,190","5,709","5,866","5,653","4,503","4,071"
Insurance & Annuity Liabilities,-,-,518.19,519.01,641.33,555.68,235.06,297.88
Unpaid Claims,572.05,524.72,-,-,-,-,-,-
Unearned Premiums,96.03,114.68,149.33,202.72,246.32,306.95,383.46,421.79
Current Portion of Leases,-,3.89,-,-,-,-,-,-
Current Income Taxes Payable,-,11.9,14.9,9.1,-,-,-,12.6
Long-Term Debt,744.11,743.05,745.42,742.83,740.42,738.16,-,-
Long-Term Leases,-,6.69,13.5,15.9,17.7,20.4,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,1.59,36.81,-,-
Other Long-Term Liabilities,146.96,120.51,116.79,118.69,112.9,112.9,57.33,64.79
Total Liabilities,"1,559","1,525","1,558","1,608","1,760","1,771",675.85,797.06
Common Stock,1.46,1.52,1.59,1.63,1.63,1.63,-,-
Additional Paid-In Capital,"1,827","2,077","2,311","2,382","2,372","2,369","2,364","2,358"
Retained Earnings,"3,531","3,125","2,550","2,100","1,648","1,303","1,370",942.41
Comprehensive Income & Other,-41.79,-207.46,-230.4,-382.74,83.58,208.38,93.43,-26.52
Shareholders' Equity,"5,317","4,996","4,632","4,101","4,106","3,882","3,827","3,274"
Total Liabilities & Equity,"6,876","6,522","6,190","5,709","5,866","5,653","4,503","4,071"
Filing Date Shares Outstanding,144.4,151.88,159.11,162.54,162.84,-,-,-
Total Common Shares Outstanding,145.57,152.32,159.34,162.78,162.84,-,-,-
Total Debt,744.11,753.63,758.92,758.73,758.12,758.56,-,-
Net Cash (Debt),-200.54,-154.2,-143.23,-244.96,-332.29,-305.77,585.06,159.05
Net Cash Growth,-,-,-,-,-,-,267.84%,-
Net Cash Per Share,-1.32,-0.98,-0.88,-1.50,-2.04,-1.88,3.59,-
Book Value Per Share,36.53,32.80,29.07,25.19,25.21,-,-,-
Tangible Book Value,"5,317","4,996","4,632","4,101","4,106","3,882","3,827","3,274"
Tangible Book Value Per Share,36.53,32.80,29.07,25.19,25.21,-,-,-
