Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018"
Premiums & Annuity Revenue,980.5,980.1,957.08,939.46,974.95,971.37,856.98,746.86
Total Interest & Dividend Income,260.16,240.56,207.37,155.31,141.19,132.84,116.93,93.2
Gain (Loss) on Sale of Investments,-20.59,-22.81,-14.02,-2.04,-2.12,-3.32,0.72,-0.55
Other Revenue,4.83,3.91,3.26,2.31,3.84,5.58,4.23,1.59
Total Revenue,"1,225","1,202","1,154","1,095","1,118","1,106",978.85,841.1
Revenue Growth (YoY),2.40%,4.17%,5.36%,-2.04%,1.03%,13.04%,16.38%,-
Policy Benefits,115.53,38.66,27.17,-94.22,125.47,379.83,49.85,36.41
Policy Acquisition & Underwriting Costs,214.81,218.32,223.28,235.89,243.41,235.96,210.83,191.02
Total Operating Expenses,330.34,256.97,250.44,141.66,368.89,615.8,260.68,227.43
Operating Income,894.56,944.8,903.25,953.38,748.97,490.66,718.17,613.67
Interest Expense,-49.75,-51.16,-51.87,-51.7,-51.01,-18.24,-,-
EBT Excluding Unusual Items,844.81,893.64,851.38,901.68,697.96,472.42,718.17,613.67
Merger & Restructuring Charges,-1.21,-4.65,0.13,-3.46,-2.74,-,-,-
Gain (Loss) on Sale of Investments,-,-,-,-,-,-,115.29,-30.26
Other Unusual Items,-,-10.93,-,-,-,-,-,-
Pretax Income,843.61,878.06,851.51,898.22,695.22,472.42,833.46,583.41
Income Tax Expense,183.79,189.99,186,194.07,148.53,102,155.83,129.81
Net Income,659.82,688.07,665.51,704.16,546.69,370.42,677.63,453.6
Net Income to Common,659.82,688.07,665.51,704.16,546.69,370.42,677.63,453.6
Net Income Growth,-3.34%,3.39%,-5.49%,28.80%,47.59%,-45.34%,49.39%,-
Shares Outstanding (Basic),151,156,161,163,163,163,163,-
Shares Outstanding (Diluted),152,158,162,163,163,163,163,-
Shares Change (YoY),-4.72%,-2.65%,-0.89%,0.26%,0.02%,-,-,-
EPS (Basic),4.38,4.40,4.14,4.32,3.36,2.27,4.16,-
EPS (Diluted),4.36,4.37,4.11,4.31,3.36,2.27,4.16,-
EPS Growth,1.64%,6.33%,-4.64%,28.38%,47.89%,-45.43%,-,-
Dividend Per Share,0.790,0.715,0.620,0.420,-,-,-,-
Dividend Growth,14.49%,15.32%,47.62%,-,-,-,-,-
Operating Margin,73.03%,78.62%,78.29%,87.06%,67.00%,44.34%,73.37%,72.96%
Profit Margin,53.87%,57.25%,57.69%,64.30%,48.91%,33.48%,69.23%,53.93%
EBIT,894.56,944.8,903.25,953.38,748.97,490.66,718.17,613.67
EBIT Margin,73.03%,78.62%,78.29%,87.06%,67.00%,44.34%,73.37%,72.96%
Effective Tax Rate,21.79%,21.64%,21.84%,21.61%,21.37%,21.59%,18.70%,22.25%
Revenue as Reported,"1,225","1,202","1,154","1,095","1,118","1,106",978.85,841.1
