Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,326","2,413","1,506",881.48,591.45,"1,058",637.34,309.62,386.04,365.96,988.79
Short-Term Investments,720,580,120,-,-,"1,075",440,515,215,60,-
Trading Asset Securities,0,0.96,3.78,-,-,-,-,1.93,-,-,-
Cash & Short-Term Investments,"2,046","2,994","1,630",881.48,591.45,"2,133","1,077",826.55,601.04,425.96,988.79
Cash Growth,-21.85%,83.66%,84.93%,49.04%,-72.27%,97.97%,30.34%,37.52%,41.10%,-56.92%,44.55%
Receivables,764.36,716.77,705.79,651.49,563.36,396.49,355.99,263.84,224.13,234.24,209.69
Inventory,483.11,480.45,597.04,714.06,"1,073",95.4,78.61,52.96,43.25,34.05,19.45
Prepaid Expenses,146.89,177.41,185.48,91.91,131.41,62.42,39.43,25.02,23.18,24.5,20.7
Other Current Assets,315.44,260.58,317.03,267.19,252.39,152.49,78.9,65.64,76.69,29.31,19.05
Total Current Assets,"3,756","4,629","3,435","2,606","2,611","2,840","1,630","1,234",968.28,748.07,"1,258"
"Property, Plant & Equipment",250.12,227,234.99,301.38,343.42,257.1,270.89,200.36,170.08,107.49,85.57
Long-Term Investments,4.3,4.33,4.7,5.5,5,4.5,4.5,6.64,2.14,-,-
Goodwill,"1,827","1,716","1,753","1,693","1,828",958.3,920.02,927.63,947.54,893.81,657.14
Other Intangible Assets,"4,566","4,756","5,418","5,794","7,152","2,195","2,441","2,731","2,979","3,012","1,186"
Long-Term Deferred Tax Assets,846.17,560.25,477.83,376.25,311.1,254.92,221.4,57.88,34.56,15.06,130.15
Long-Term Deferred Charges,8.03,9.49,6.48,9.25,12.03,5.24,7.43,9.59,7.67,9.74,7.21
Other Long-Term Assets,98.77,110.15,62.76,49.64,35.81,21.22,43.41,36.06,14.28,14.06,9.27
Total Assets,"11,356","12,012","11,393","10,835","12,299","6,536","5,539","5,203","5,124","4,800","3,333"
Accounts Payable,152.23,77.87,102.75,90.76,100.3,26.95,45.73,40.6,24.37,22.42,21.81
Accrued Expenses,853.76,821.98,748.21,757.86,588.41,315.16,249.44,201.7,189.72,175.69,138.32
Current Portion of Long-Term Debt,"1,030",31,604.95,31,46.23,249.16,34.24,33.39,41,36.09,37.59
Current Portion of Leases,13.94,14.78,19.45,15.94,15.76,14.46,12.73,-,-,-,-
Current Income Taxes Payable,91.14,18.76,35.07,7.72,9.61,25.2,10.97,1.2,21.58,4.51,1.81
Current Unearned Revenue,-,-,-,0.46,2.09,2.55,4.72,5.41,8.62,1.12,1.37
Other Current Liabilities,133.42,74.19,26.26,29.46,46.9,20.28,6.66,63.19,8.67,17.58,25.75
Total Current Liabilities,"2,274","1,039","1,537",933.19,809.3,653.75,364.49,345.49,293.95,257.41,226.64
Long-Term Debt,"4,332","6,078","5,111","5,693","6,019","1,849","1,575","1,563","1,540","1,994","1,151"
Long-Term Leases,53.43,43.5,64.26,77.05,93.47,140.04,151.23,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,0.46,2.32,4.86,9.58,16.12,2.6,3.72
Long-Term Deferred Tax Liabilities,629.03,676.74,847.71,944.34,"1,301",130.4,224.1,309.1,383.47,556.73,283.49
