Period Ending,"Nov '25Nov 13, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"8,611","7,445","7,744","10,031","7,831","9,196","8,445","7,477","8,072","6,530","8,644"
Market Cap Growth,25.21%,-3.86%,-22.80%,28.09%,-14.84%,8.89%,12.94%,-7.37%,23.62%,-24.46%,-12.72%
Enterprise Value,"11,994","11,032","11,945","14,946","13,570","9,525","9,146","8,005","9,200","8,288","8,935"
Last Close Price,136.71,123.15,123.00,159.31,127.40,165.05,149.28,123.96,134.65,109.03,140.56
PE Ratio,-,13.29,18.67,-,-,38.54,16.14,16.72,16.55,16.46,26.23
Forward PE,6.20,5.72,6.29,8.54,8.23,10.20,8.87,9.61,11.33,10.18,12.84
PS Ratio,2.00,1.83,2.02,2.74,2.53,3.89,3.91,3.95,4.99,4.39,6.53
PB Ratio,2.10,1.82,2.07,3.25,1.98,2.51,2.72,2.71,2.98,3.48,5.41
P/TBV Ratio,-,-,-,-,-,18.16,-,-,-,-,-
P/FCF Ratio,6.44,5.48,7.25,8.07,10.43,10.40,11.47,9.61,12.16,11.21,17.43
P/OCF Ratio,6.19,5.33,7.09,7.89,10.06,10.22,10.88,9.36,11.65,11.02,16.25
PEG Ratio,0.47,0.37,0.50,1.14,0.62,2.62,0.93,0.68,0.82,0.63,0.72
EV/Sales Ratio,2.88,2.71,3.12,4.08,4.39,4.03,4.23,4.23,5.68,5.57,6.74
EV/EBITDA Ratio,7.46,7.25,8.24,10.18,13.20,9.13,9.03,8.58,11.81,10.99,13.42
EV/EBIT Ratio,13.00,12.80,14.73,17.81,28.55,12.44,14.24,11.18,14.99,12.95,16.02
EV/FCF Ratio,8.97,8.13,11.18,12.03,18.07,10.77,12.42,10.28,13.85,14.22,18.02
Debt / Equity Ratio,1.37,1.51,1.55,1.89,1.56,0.62,0.57,0.58,0.58,1.08,0.74
Debt / EBITDA Ratio,3.31,3.97,3.93,3.90,5.84,2.11,1.71,1.71,2.03,2.69,1.78
Debt / FCF Ratio,4.06,4.54,5.43,4.68,8.22,2.55,2.41,2.05,2.38,3.48,2.40
Asset Turnover,0.35,0.35,0.35,0.32,0.33,0.39,0.40,0.37,0.33,0.37,0.40
Inventory Turnover,0.65,0.58,0.43,0.30,0.37,1.71,1.95,2.53,2.85,3.94,4.14
Quick Ratio,1.24,3.57,1.52,1.64,1.43,3.87,3.93,3.16,2.81,2.57,5.29
Current Ratio,1.65,4.46,2.24,2.79,3.23,4.34,4.47,3.57,3.29,2.91,5.55
Return on Equity (ROE),-9.06%,14.31%,12.16%,-6.35%,-8.65%,7.05%,17.84%,16.35%,21.25%,22.83%,22.19%
Return on Assets (ROA),4.88%,4.60%,4.56%,4.53%,3.15%,7.92%,7.47%,8.67%,7.73%,9.84%,10.45%
Return on Capital (ROIC),5.83%,5.44%,5.50%,5.51%,3.70%,8.86%,8.69%,10.35%,9.36%,11.95%,12.68%
Return on Capital Employed (ROCE),10.20%,7.90%,8.20%,8.50%,4.10%,13.00%,12.40%,14.70%,12.70%,14.10%,18.00%
Earnings Yield,-4.28%,7.52%,5.36%,-2.23%,-4.21%,2.60%,6.20%,5.98%,6.04%,6.08%,3.81%
FCF Yield,15.52%,18.24%,13.79%,12.39%,9.59%,9.62%,8.72%,10.41%,8.23%,8.92%,5.74%
Buyback Yield / Dilution,10.58%,8.41%,-15.23%,-4.77%,-5.62%,1.80%,6.00%,0.16%,0.89%,1.85%,-0.67%
