Period Ending,"Nov '25Nov 14, 2025","Mar '25Mar 28, 2025","Mar '24Mar 29, 2024","Mar '23Mar 31, 2023","Mar '22Mar 25, 2022","Mar '21Mar 26, 2021","Mar '20Mar 27, 2020","Mar '19Mar 29, 2019","Mar '18Mar 30, 2018","Mar '17Mar 31, 2017","Mar '16Mar 25, 2016"
Market Capitalization,"4,574","4,577","5,207","9,190","5,542","4,787",-,-,-,-,-
Market Cap Growth,14.27%,-12.09%,-43.35%,65.84%,15.77%,-,-,-,-,-,-
Enterprise Value,"4,765","4,838","5,270","8,885","5,311","4,655",-,-,-,-,-
Last Close Price,24.71,24.86,26.96,47.99,29.18,25.27,-,-,-,-,-
PE Ratio,-,-,34.10,49.05,46.41,266.64,-,-,-,-,-
Forward PE,32.73,63.89,32.69,35.55,31.93,43.15,-,-,-,-,-
PS Ratio,5.78,6.31,4.96,9.44,7.21,8.10,-,-,-,-,-
PB Ratio,4.84,4.92,4.60,9.51,7.54,8.16,-,-,-,-,-
P/TBV Ratio,9.34,9.85,8.00,10.38,8.17,9.04,-,-,-,-,-
P/FCF Ratio,78.73,208.46,91.44,81.02,64.30,59.92,-,-,-,-,-
P/OCF Ratio,48.59,73.93,28.65,47.57,35.49,39.70,-,-,-,-,-
PEG Ratio,0.79,13.02,6.54,0.77,0.97,1.73,-,-,-,-,-
EV/Sales Ratio,6.04,6.67,5.02,9.13,6.91,7.87,-,-,-,-,-
EV/EBITDA Ratio,77.34,94.53,18.23,34.97,28.68,71.53,-,-,-,-,-
EV/EBIT Ratio,-,-,24.21,43.70,38.87,277.49,-,-,-,-,-
EV/FCF Ratio,82.02,220.35,92.55,78.33,61.63,58.27,-,-,-,-,-
Debt / Equity Ratio,0.33,0.40,0.24,0.04,0.06,0.04,0.14,0.07,-,-,-
Debt / EBITDA Ratio,4.38,6.23,0.93,0.16,0.22,0.38,0.73,0.27,-,-,-
Debt / FCF Ratio,5.31,16.78,4.83,0.38,0.48,0.31,2.39,1.87,-,-,-
Asset Turnover,0.55,0.49,0.77,0.94,0.94,0.76,0.83,-,28.60,28.80,-
Inventory Turnover,2.51,2.32,3.03,3.60,4.16,2.91,3.01,-,105.11,115.39,-
Quick Ratio,1.85,1.83,2.80,2.89,3.85,2.50,2.04,1.79,2.26,1.61,2.05
Current Ratio,3.89,4.30,4.85,4.03,4.91,3.69,2.99,3.53,3.41,2.31,3.27
Return on Equity (ROE),-2.98%,-7.05%,14.57%,22.03%,18.08%,2.96%,6.06%,-,-,-,-
Return on Assets (ROA),-0.14%,-0.56%,10.03%,12.26%,10.41%,1.34%,4.21%,-,-,-,-
Return on Capital (ROIC),-0.15%,-0.61%,11.26%,14.23%,12.30%,1.57%,4.88%,-,-,-,-
Return on Capital Employed (ROCE),-,-,15.40%,20.00%,17.30%,2.70%,7.90%,15.60%,-,-,-
Earnings Yield,-0.62%,-1.59%,2.93%,2.04%,2.15%,0.38%,-,-,-,-,-
FCF Yield,1.27%,0.48%,1.09%,1.23%,1.55%,1.67%,-,-,-,-,-
Payout Ratio,-,-,-,-,-,2228.04%,-,-,-,-,-
Buyback Yield / Dilution,3.99%,3.58%,-0.51%,-0.98%,-8.73%,-1664.17%,-,-,-,-,-
