Period Ending,"Sep '25Sep 26, 2025","Mar '25Mar 28, 2025","Mar '24Mar 29, 2024","Mar '23Mar 31, 2023","Mar '22Mar 25, 2022","Mar '21Mar 26, 2021","Mar '20Mar 27, 2020","Mar '19Mar 29, 2019","Mar '18Mar 30, 2018","Mar '17Mar 31, 2017","Mar '16Mar 25, 2016"
Revenue,788.4,725.01,"1,049",973.65,768.67,591.21,650.09,724.31,654.94,600.07,526.27
Revenue Growth (YoY),-7.23%,-30.91%,7.78%,26.67%,30.02%,-9.06%,-10.25%,10.59%,9.14%,14.02%,7.41%
Cost of Revenue,435.34,402.11,474.84,427.57,361.21,312.31,388.81,404.49,-,-,-
Gross Profit,353.05,322.89,574.53,546.08,407.46,278.9,261.28,319.82,311.2,280.86,238.36
"Selling, General & Admin",170.57,159.15,180.2,191.92,148.94,153.48,106.4,111.16,-,-,-
Research & Development,185.74,177.06,176.64,150.85,121.87,108.65,102.05,107.59,-,-,-
Operating Expenses,356.31,336.21,356.84,342.77,270.81,262.13,208.45,218.75,-,-,-
Operating Income,-3.25,-13.32,217.69,203.31,136.65,16.78,52.83,101.07,-,-,-
Interest Expense,-26.73,-30.37,-10.76,-2.34,-2.5,-3.83,-0.11,-1.21,-,-,-
Interest & Investment Income,1,1.52,3.14,1.72,1.44,1.23,-,-,-,-,-
Earnings From Equity Investments,1.18,1.18,-0.54,-0.41,1.01,1.41,-,-,-,-,-
Currency Exchange Gain (Loss),-2.17,-2.17,5.06,0.98,-0.57,-2.89,1.39,-0.91,-,-,-
Other Non Operating Income (Expenses),0.51,-33.25,1.05,0.61,0.99,-0.21,-0.83,1.56,-,-,-
EBT Excluding Unusual Items,-29.46,-76.41,215.64,203.88,137.02,12.49,53.28,100.52,-,-,-
Merger & Restructuring Charges,-6.48,-6.48,-8.23,-,-,-,-,-,-,-,-
Gain (Loss) on Sale of Investments,-,-,0.6,7.47,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,-,-,-,-,3.72,-0.27,-,-,-,-,-
Asset Writedown,-,-,-13.22,-,-,-7.12,-,-1.08,-,-,-
Other Unusual Items,-2.8,-2.8,-,-,-,-6.56,-,-,-,-,-
Pretax Income,-38.75,-85.7,194.8,211.35,140.75,-1.45,53.28,99.44,-,-,-
Income Tax Expense,-10.63,-12.93,41.91,23.85,21.19,-19.55,16.17,14.6,-,-,-
Earnings From Continuing Operations,-28.12,-72.76,152.89,187.49,119.56,18.1,37.11,84.84,-,-,-
Minority Interest in Earnings,-0.25,-0.25,-0.19,-0.14,-0.15,-0.15,-0.13,-0.12,-,-,-
Net Income,-28.37,-73.01,152.7,187.36,119.41,17.95,36.97,84.72,72.6,65.46,43.68
Preferred Dividends & Other Adjustments,-,-,-,-,-,-,-,0,-,-,-
Net Income to Common,-28.37,-73.01,152.7,187.36,119.41,17.95,36.97,84.72,-,-,-
Net Income Growth,-,-,-18.50%,56.91%,565.11%,-51.44%,-56.36%,16.70%,10.91%,49.86%,-4.56%
Shares Outstanding (Basic),184,188,193,191,190,83,10,10,-,-,-
Shares Outstanding (Diluted),184,188,195,194,192,176,10,10,-,-,-
Shares Change (YoY),-3.99%,-3.58%,0.51%,0.98%,8.73%,1664.17%,-,-,-,-,-
EPS (Basic),-0.15,-0.39,0.79,0.98,0.63,0.22,3.70,8.47,-,-,-
EPS (Diluted),-0.16,-0.39,0.78,0.97,0.62,0.10,3.70,8.47,-,-,-
EPS Growth,-,-,-19.59%,56.45%,520.00%,-97.30%,-56.36%,-,-,-,-
Free Cash Flow,58.1,21.96,56.94,113.43,86.19,79.9,35.8,22.79,-,-,-
Free Cash Flow Per Share,0.32,0.12,0.29,0.59,0.45,0.45,3.58,2.28,-,-,-
Gross Margin,44.78%,44.54%,54.75%,56.09%,53.01%,47.17%,40.19%,44.16%,47.52%,46.80%,45.29%
Operating Margin,-0.41%,-1.84%,20.75%,20.88%,17.78%,2.84%,8.13%,13.96%,-,-,-
Profit Margin,-3.60%,-10.07%,14.55%,19.24%,15.53%,3.04%,5.69%,11.70%,-,-,-
Free Cash Flow Margin,7.37%,3.03%,5.43%,11.65%,11.21%,13.51%,5.51%,3.15%,-,-,-
EBITDA,61.62,51.18,289.07,254.12,185.18,65.08,116.75,160.96,-,-,-
EBITDA Margin,7.82%,7.06%,27.55%,26.10%,24.09%,11.01%,17.96%,22.22%,-,-,-
D&A For EBITDA,64.87,64.5,71.38,50.81,48.53,48.31,63.92,59.89,-,-,-
EBIT,-3.25,-13.32,217.69,203.31,136.65,16.78,52.83,101.07,-,-,-
EBIT Margin,-0.41%,-1.84%,20.75%,20.88%,17.78%,2.84%,8.13%,13.96%,-,-,-
Effective Tax Rate,-,-,21.51%,11.29%,15.06%,-,30.36%,14.68%,-,-,-
Revenue as Reported,725.01,725.01,"1,049",973.65,768.67,591.21,650.09,724.31,-,-,-
Advertising Expenses,-,-,-,-,-,-,0.27,0.51,-,-,-
