Period Ending,"Sep '25Sep 26, 2025","Mar '25Mar 28, 2025","Mar '24Mar 29, 2024","Mar '23Mar 31, 2023","Mar '22Mar 25, 2022","Mar '21Mar 26, 2021","Mar '20Mar 27, 2020","Mar '19Mar 29, 2019","Mar '18Mar 30, 2018","Mar '17Mar 31, 2017","Mar '16Mar 25, 2016"
Cash & Equivalents,117.49,121.33,212.14,351.58,282.38,197.21,214.49,99.74,114.98,124.1,82.62
Cash & Short-Term Investments,117.49,121.33,212.14,351.58,282.38,197.21,214.49,99.74,114.98,124.1,82.62
Cash Growth,-37.75%,-42.81%,-39.66%,24.50%,43.19%,-8.05%,115.04%,-13.25%,-7.34%,50.20%,18.74%
Accounts Receivable,105.77,84.6,118.51,124.78,114.72,93.33,90.31,83.8,91.5,64.91,65.25
Other Receivables,-,-,-,1.94,4.14,1.52,1.8,2.14,-,-,-
Receivables,105.77,84.6,122.26,130.48,120.74,94.85,92.1,115.94,91.5,64.91,71.82
Inventory,170.68,183.91,162.3,151.3,86.16,87.5,127.23,130.92,89.7,73.8,64.52
Prepaid Expenses,40.32,30.25,33.58,23.26,15,18.37,9.01,13.14,-,-,-
Restricted Cash,9.32,9.77,10.02,7.13,7.42,6.66,5.39,3.51,-,-,-
Other Current Assets,25.87,53.17,31.91,2.09,-,25.97,-,3.8,-,-,-
Total Current Assets,469.46,483.04,572.21,665.83,511.69,430.56,448.22,367.05,310.69,271.36,236.25
"Property, Plant & Equipment",318.47,323.77,341.55,279.97,226.08,192.39,332.33,347.4,201.3,186.01,189.33
Long-Term Investments,28.54,31.7,26.73,47.19,40.02,26.66,-,-,-,-,-
Goodwill,203.47,202.48,202.43,27.69,20.01,20.11,1.29,1.34,-,-,-
Other Intangible Assets,250.93,262.12,276.85,52.38,35.97,36.37,19.96,17.72,-,-,-
Long-Term Deferred Tax Assets,72.96,68.53,54.5,50.36,17.97,26.97,7.22,5.18,-,-,-
Long-Term Deferred Charges,-,-,-,-,-,0.15,-,-,-,-,-
Other Long-Term Assets,40.5,49.34,51.65,49.3,35.26,14.46,8.81,13.58,-,-,-
Total Assets,"1,384","1,421","1,531","1,181",892.62,747.68,817.82,752.26,598.67,546.18,495.57
Accounts Payable,45.02,45.27,37.59,60.94,35.06,37.13,25.26,29.13,30.12,22.17,19.33
Accrued Expenses,68.31,44.98,60.79,75.31,55.27,46.18,48.19,55.37,-,-,-
Short-Term Debt,-,-,-,-,-,-,43,-,-,-,-
Current Portion of Long-Term Debt,-,-,2.5,-,-,-,25,13,-,-,-
Current Portion of Leases,7.33,6.91,6.69,4.49,3.71,-,-,-,-,-,-
Current Income Taxes Payable,-,0.23,3.48,5.63,1.83,0.51,3.41,1.66,-,-,-
Other Current Liabilities,-,14.87,6.86,18.96,8.36,32.86,5.26,4.71,-,-,-
Total Current Liabilities,120.66,112.26,117.91,165.33,104.22,116.67,150.11,103.86,91.19,117.54,72.2
Long-Term Debt,278.88,338.93,242.6,25,25,25,17.7,29.7,-,-,-
Long-Term Leases,22.49,22.65,23.41,13.05,12.75,-,-,-,-,-,-
Long-Term Unearned Revenue,-,-,-,-,-,-,-,-,-5.15,-,-
Pension & Post-Retirement Benefits,-,10,9.07,8.03,8.9,10.66,8.01,6.83,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,-,-,2.87,-,-,-
Other Long-Term Liabilities,16.47,6.02,5.9,2.94,6.38,8.48,7.87,19.21,21.45,13.39,18.27
Total Liabilities,438.5,489.86,398.89,214.34,157.26,160.81,183.69,162.47,107.49,130.92,90.47
Common Stock,1.85,1.84,1.93,1.92,1.91,1.9,0.11,0.11,-,-,-
Additional Paid-In Capital,"1,029","1,012",694.33,674.18,627.79,592.17,458.7,447.76,-,-,-
Retained Earnings,-60.3,-53.59,463.01,310.32,122.96,3.55,194.36,157.39,-,-,-
Comprehensive Income & Other,-26.38,-30.75,-28.84,-20.78,-18.45,-11.87,-19.98,-16.28,-,-,-
Total Common Equity,944.18,929.56,"1,130",965.63,734.21,585.75,633.18,588.98,491.18,415.25,405.09
Minority Interest,1.65,1.55,1.28,1.19,1.16,1.12,0.95,0.81,-,-,-
Shareholders' Equity,945.83,931.1,"1,132",966.82,735.36,586.87,634.13,589.79,491.18,415.25,405.09
Total Liabilities & Equity,"1,384","1,421","1,531","1,181",892.62,747.68,817.82,752.26,598.67,546.18,495.57
Total Debt,308.7,368.49,275.21,42.54,41.45,25,85.7,42.7,-,-,-
Net Cash (Debt),-191.21,-247.16,-63.06,309.04,240.93,172.21,128.79,57.04,-,-,-
Net Cash Growth,-,-,-,28.27%,39.90%,33.72%,125.78%,-,-,-,-
Net Cash Per Share,-1.04,-1.32,-0.32,1.60,1.26,0.98,12.88,5.70,-,-,-
Filing Date Shares Outstanding,185.12,184.9,193.75,191.76,190.5,189.59,10.64,10,-,-,-
Total Common Shares Outstanding,185.11,184.29,193.16,191.75,189.59,189.59,10.64,10,-,-,-
Working Capital,348.8,370.78,454.31,500.5,407.47,313.89,298.11,263.19,-,-,-
Book Value Per Share,5.10,5.04,5.85,5.04,3.87,3.09,59.52,58.90,-,-,-
Tangible Book Value,489.78,464.97,651.16,885.56,678.23,529.28,611.94,569.92,-,-,-
Tangible Book Value Per Share,2.65,2.52,3.37,4.62,3.58,2.79,57.52,56.99,-,-,-
Land,25.23,25.18,25.6,15.38,15.78,16.6,27.9,27.68,-,-,-
Buildings,67.5,66.26,65.63,61.5,59.82,56.91,150.4,150.22,-,-,-
Machinery,698.97,677.58,681.2,617.58,548.99,497.31,701.73,695.51,-,-,-
Construction In Progress,42.76,51.58,39.05,48.38,22.43,29.2,27.92,32.54,-,-,-
