Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Market Capitalization,"2,941","3,319","2,917","3,325","3,521","3,084","3,779","3,036","4,073","4,858",-
Market Cap Growth,-7.05%,13.76%,-12.26%,-5.56%,14.16%,-18.39%,24.46%,-25.46%,-16.16%,-,-
Last Close Price,23.39,25.16,21.19,22.93,23.14,19.22,22.31,16.74,20.96,24.26,-
PE Ratio,11.62,14.42,12.42,12.51,13.25,16.60,13.29,11.48,22.18,21.11,-
PS Ratio,3.57,4.18,3.60,4.20,4.67,5.04,5.02,4.20,5.69,6.85,-
PB Ratio,1.06,1.27,1.17,1.47,1.33,1.12,1.43,1.20,1.61,1.96,-
P/FCF Ratio,9.66,11.49,12.20,7.97,8.88,17.51,14.14,9.62,15.68,23.75,-
P/OCF Ratio,8.58,10.45,11.44,7.72,8.44,14.72,12.74,8.64,15.10,22.08,-
Debt / Equity Ratio,0.01,0.12,0.23,0.09,0.03,0.09,0.25,0.24,0.01,0.02,0.09
Debt / FCF Ratio,0.06,1.13,2.39,0.46,0.19,1.41,2.44,1.96,0.09,0.20,1.94
Return on Equity (ROE),9.62%,9.02%,9.88%,10.79%,9.84%,6.90%,11.01%,10.46%,7.33%,8.83%,7.90%
Return on Assets (ROA),1.08%,0.94%,0.95%,1.07%,1.11%,0.87%,1.39%,1.28%,0.91%,1.18%,1.14%
Earnings Yield,8.77%,6.93%,8.05%,7.99%,7.55%,6.02%,7.53%,8.71%,4.51%,4.74%,-
FCF Yield,10.36%,8.70%,8.19%,12.55%,11.27%,5.71%,7.07%,10.39%,6.38%,4.21%,-
Dividend Yield,4.37%,4.13%,4.91%,4.54%,4.49%,5.41%,4.66%,5.73%,4.20%,1.65%,-
Payout Ratio,50.78%,57.71%,56.45%,49.90%,50.48%,72.73%,48.61%,49.56%,68.01%,194.20%,76.82%
Buyback Yield / Dilution,1.35%,-0.32%,0.05%,1.20%,0.52%,2.37%,2.72%,1.82%,-0.12%,-0.02%,-
Total Shareholder Return,5.70%,3.81%,4.96%,5.74%,5.02%,7.79%,7.38%,7.56%,4.08%,1.63%,-
