Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,856","1,170","1,740",526.62,"1,258","1,023",626.62,946.04,"1,035","1,052","2,650"
Investment Securities,459.95,520.98,613.1,712.14,526.3,341.62,276.93,762.42,707.64,660.62,707.11
Trading Asset Securities,21.13,13.6,12.77,10.95,50.93,129.9,63.54,12.34,14.68,15.98,11
Mortgage-Backed Securities,"5,381","5,432","5,891","6,927","8,086","5,900","3,944","3,847","4,579","4,430","3,336"
Total Investments,"5,862","5,966","6,516","7,650","8,663","6,372","4,285","4,622","5,302","5,106","4,054"
Gross Loans,"14,129","14,408","14,353","14,092","12,962","13,279","13,212","13,076","12,307","11,550","10,756"
Allowance for Loan Losses,-165.27,-160.39,-156.53,-143.9,-157.26,-208.45,-130.53,-141.72,-137.25,-135.49,-135.48
Other Adjustments to Gross Loans,-,-,-,-,-,-,-,-,-30.05,-29.86,-34.07
Net Loans,"13,964","14,248","14,197","13,948","12,805","13,071","13,081","12,934","12,140","11,385","10,587"
"Property, Plant & Equipment",302.98,348.63,342.76,343.16,382.65,362.6,361.19,305,289.22,300.79,305.1
Goodwill,995.49,995.49,995.49,995.49,995.49,995.49,995.49,995.49,995.49,995.49,995.49
Other Intangible Assets,-,13,10.8,15.1,13.3,15.2,-,-,-,-,-
Loans Held for Sale,0.47,-,0.19,-,0.54,11.58,0.9,0.43,0.56,-,-
Accrued Interest Receivable,77.88,79.98,84.42,78.19,63.16,69.63,45.24,48.92,47.99,41.97,34.22
Restricted Cash,-,-,-,-,-,18.4,67.4,57.6,-,-,-
Long-Term Deferred Tax Assets,-,231.21,239.53,262.32,96.17,54.52,53.77,107.85,98.5,151.84,126.14
Other Real Estate Owned & Foreclosed,-,-,-,0.09,0.18,-,0.32,0.75,0.33,0.33,0.15
Other Long-Term Assets,"1,030",654.46,655.98,747.92,704.36,652.61,615.81,642.85,630.88,617.98,590.47
Total Assets,"24,099","23,828","24,926","24,577","24,992","22,663","20,167","20,696","20,549","19,662","19,353"
Interest Bearing Deposits,"12,513","12,043","11,947","11,322","11,620","10,403","9,161","9,240","8,483","8,302","8,130"
Institutional Deposits,"1,431","1,300","1,800","1,500",800,"1,300","1,400","1,900","3,000","2,500","2,600"
Non-Interest Bearing Deposits,"6,782","6,975","7,584","8,865","9,394","7,522","5,880","6,008","6,127","5,993","5,332"
Total Deposits,"20,726","20,318","21,330","21,687","21,814","19,225","16,441","17,148","17,609","16,795","16,062"
Short-Term Borrowings,16.94,262.31,507.12,127.62,8.87,8.44,408.52,17.09,23.19,40.35,239.27
Current Portion of Leases,-,7.81,-,-,-,0.01,-,-,-,-,-
"Federal Home Loan Bank Debt, Long-Term",-,-,-,-,-,200,200,600,-,-,-
Long-Term Leases,-,55.21,63.8,64.8,65.8,40.6,44.42,0.03,0.03,0.04,0.05
Pension & Post-Retirement Benefits,94.5,97.14,103.29,102.58,134.49,143.37,138.22,127.91,134.22,132.9,133.91
Other Long-Term Liabilities,527.7,469.92,436.05,326.69,312.29,301.18,293.93,278.14,250.05,217.51,180.59
Total Liabilities,"21,365","21,211","22,440","22,308","22,335","19,919","17,526","18,171","18,017","17,185","16,616"
Common Stock,1.42,1.42,1.41,1.41,1.41,1.4,1.4,1.4,1.4,1.4,"2,788"
Additional Paid-In Capital,"2,572","2,560","2,548","2,538","2,528","2,514","2,504","2,496","2,489","2,484",-
Retained Earnings,"1,042",934.05,837.86,736.54,604.53,473.97,437.07,291.92,139.18,78.85,-
Treasury Stock,-493.08,-414.37,-371.25,-368.03,-355,-276.89,-270.14,-132.14,-0.28,-,-
Comprehensive Income & Other,-388.15,-463.99,-530.21,-639.25,-121.69,31.6,-31.75,-132.2,-96.38,-88.01,-51.26
Shareholders' Equity,"2,734","2,617","2,486","2,269","2,657","2,744","2,640","2,525","2,533","2,476","2,737"
Total Liabilities & Equity,"24,099","23,828","24,926","24,577","24,992","22,663","20,167","20,696","20,549","19,662","19,353"
Total Debt,16.94,325.33,570.92,192.42,74.67,249.05,652.93,617.12,23.22,40.39,239.32
Net Cash (Debt),"1,860",858.46,"1,182",345.15,"1,235",903.39,37.22,341.26,"1,026","1,028","2,422"
Net Cash Growth,125.22%,-27.36%,242.39%,-72.05%,36.68%,2327.04%,-89.09%,-66.74%,-0.15%,-57.57%,181.82%
Net Cash Per Share,14.70,6.69,9.24,2.70,9.53,6.94,0.28,2.49,7.35,7.37,17.37
Filing Date Shares Outstanding,123.72,126.42,127.62,127.69,128.16,130.92,129.93,134.87,139.6,139.55,139.46
Total Common Shares Outstanding,123.72,126.42,127.62,127.36,127.5,129.91,129.93,134.87,139.59,139.53,139.46
Book Value Per Share,22.10,20.70,19.48,17.82,20.84,21.12,20.32,18.72,18.14,17.75,19.63
Tangible Book Value,"1,738","1,609","1,480","1,258","1,648","1,733","1,645","1,529","1,537","1,481","1,741"
Tangible Book Value Per Share,14.05,12.73,11.60,9.88,12.93,13.34,12.66,11.34,11.01,10.61,12.49
