Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Cash & Equivalents,203.71,164.67,132.54,19.63,28.69,72.18,36.74
Cash & Short-Term Investments,203.71,164.67,132.54,19.63,28.69,72.18,36.74
Cash Growth,29.99%,24.24%,575.21%,-31.58%,-60.25%,96.46%,-
Accounts Receivable,103.39,68.25,58.72,53.69,49.82,32.63,31.43
Other Receivables,-,12.53,7.31,3.87,6.77,12.1,2.98
Receivables,104.15,81.74,67.54,59.09,57.76,45.92,35.44
Inventory,84.42,83.6,50.76,84.12,75.36,31.97,36.91
Prepaid Expenses,27.6,3.87,4.43,3.96,5.14,5.41,3.26
Restricted Cash,1.28,1.26,0.33,-,-,-,-
Other Current Assets,2.18,6.15,7.34,8.13,6.31,3.67,0.66
Total Current Assets,423.33,341.29,262.94,174.92,173.26,159.15,113.02
"Property, Plant & Equipment",19.1,2.74,3.54,4.76,2.47,2.88,3.4
Goodwill,7.79,7.79,7.79,7.79,7.79,7.79,7.79
Other Intangible Assets,-,-,-,-,7.93,9.15,10.46
Long-Term Deferred Tax Assets,6.1,6.1,6.75,4.26,1.27,-,6.13
Other Long-Term Assets,2.5,2.21,1.84,1.68,1.95,1.96,3.45
Total Assets,461.29,362.38,285.68,197.76,197.48,183.86,146.1
Accounts Payable,22.26,30.76,21.83,15.91,28.34,15.84,12.84
Accrued Expenses,99,54.62,50.04,36.77,40.26,32.82,23.39
Current Portion of Long-Term Debt,0.01,0.01,0.01,0.02,0.03,0.02,4.02
Current Portion of Leases,0.77,0.42,1.19,0.73,-,-,-
Current Income Taxes Payable,-,10.56,8.3,0.83,2.14,1.66,0.78
Other Current Liabilities,1.42,6.9,1.21,0.07,3.2,5.36,1.1
Total Current Liabilities,123.46,103.27,82.59,54.35,73.96,55.71,42.14
Long-Term Debt,-,0,0.01,0.03,0.05,25.03,12.93
Long-Term Leases,14.01,-,0.44,2.05,-,-,-
Long-Term Deferred Tax Liabilities,-,-,-,-,-,0.34,0.19
Other Long-Term Liabilities,0.1,0.3,0.21,0.24,0.3,0.48,17.04
Total Liabilities,137.56,103.56,83.25,56.66,74.31,81.56,72.3
Common Stock,0.64,0.64,0.63,0.62,0.62,0.59,0
Additional Paid-In Capital,181.99,174.08,161.41,145.21,134.73,100.85,99.04
Retained Earnings,222.49,156.69,100.74,55.18,47.37,28.35,-4.31
Treasury Stock,-81.94,-71.73,-59.7,-58.93,-58.93,-8.93,-1.99
Comprehensive Income & Other,0.55,-0.86,-0.65,-0.99,-0.62,-18.65,-19
Total Common Equity,323.73,258.82,202.44,141.09,123.17,102.22,73.75
Minority Interest,-,-,-,-,-,0.08,0.05
Shareholders' Equity,323.73,258.82,202.44,141.09,123.17,102.3,73.8
Total Liabilities & Equity,461.29,362.38,285.68,197.76,197.48,183.86,146.1
Total Debt,14.78,0.44,1.65,2.83,0.08,25.06,16.95
Net Cash (Debt),188.92,164.23,130.88,16.8,28.61,47.13,19.79
Net Cash Growth,20.57%,25.48%,679.30%,-41.30%,-39.28%,138.14%,-
Net Cash Per Share,3.16,2.77,2.23,0.30,0.53,0.80,0.35
Filing Date Shares Outstanding,56.95,56.99,56.93,56.05,55.56,58.19,56.97
Total Common Shares Outstanding,56.95,56.96,56.9,56.02,55.56,58.19,56.97
Working Capital,299.87,238.03,180.35,120.57,99.3,103.44,70.88
Book Value Per Share,5.68,4.54,3.56,2.52,2.22,1.76,1.29
Tangible Book Value,315.94,251.03,194.65,133.3,107.45,85.28,55.5
Tangible Book Value Per Share,5.55,4.41,3.42,2.38,1.93,1.47,0.97
Land,-,0.14,0.14,-,0.51,0.51,0.51
Machinery,-,3.6,3.08,6.32,5.75,6.07,5.9
Leasehold Improvements,-,0.39,0.39,0.34,0.5,0.82,0.88
