Period Ending,"Nov '25Nov 18, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Market Capitalization,"2,653","2,094","1,457",773,620,-,-
Market Cap Growth,57.95%,43.72%,88.52%,24.64%,-,-,-
Enterprise Value,"2,431","1,937","1,364",761,622,-,-
Last Close Price,45.43,36.91,25.65,13.82,11.17,-,-
PE Ratio,40.43,37.42,31.25,98.91,32.61,-,-
Forward PE,35.61,34.28,29.07,31.41,35.60,-,-
PS Ratio,4.24,4.06,2.95,1.81,1.63,-,-
PB Ratio,7.99,8.09,7.20,5.48,5.03,-,-
P/TBV Ratio,8.29,8.34,7.49,5.80,5.77,-,-
P/FCF Ratio,49.48,49.95,13.67,-,-,-,-
P/OCF Ratio,45.17,48.81,13.60,-,-,-,-
PEG Ratio,1.42,2.00,1.45,1.18,1.86,-,-
EV/Sales Ratio,3.99,3.75,2.76,1.78,1.64,-,-
EV/EBITDA Ratio,31.38,25.98,23.87,61.94,23.33,-,-
EV/EBIT Ratio,31.72,26.24,24.14,73.28,25.29,-,-
EV/FCF Ratio,45.91,46.21,12.80,-,-,-,-
Debt / Equity Ratio,0.05,0.00,0.01,0.02,0.00,0.25,0.23
Debt / EBITDA Ratio,0.19,0.01,0.03,0.21,0.00,0.77,1.05
Debt / FCF Ratio,0.28,0.01,0.02,-,-,0.76,0.82
Asset Turnover,1.50,1.59,2.04,2.17,1.99,1.88,-
Inventory Turnover,5.22,4.72,4.64,4.07,4.96,5.98,-
Quick Ratio,2.49,2.38,2.40,1.42,1.15,2.10,1.69
Current Ratio,3.43,3.31,3.18,3.22,2.34,2.86,2.68
Return on Equity (ROE),24.02%,24.26%,27.15%,5.91%,16.85%,37.12%,-
Return on Assets (ROA),11.76%,14.24%,14.61%,3.28%,8.06%,11.54%,-
Return on Capital (ROIC),16.22%,19.91%,20.29%,4.86%,12.26%,17.46%,-
Return on Capital Employed (ROCE),22.70%,28.50%,27.80%,7.20%,19.90%,23.80%,13.50%
Earnings Yield,2.64%,2.67%,3.20%,1.01%,3.07%,-,-
FCF Yield,2.02%,2.00%,7.31%,-1.54%,-2.70%,-,-
Buyback Yield / Dilution,-1.07%,-0.92%,-4.67%,-3.58%,7.55%,-2.55%,-
