Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019"
Revenue,609.29,516.01,493.61,427.79,379.51,310.64,283.95
Revenue Growth (YoY),23.12%,4.54%,15.39%,12.72%,22.17%,9.40%,-
Cost of Revenue,389.96,317.23,312.88,324.43,266.37,205.79,190.96
Gross Profit,219.33,198.78,180.73,103.36,113.15,104.86,92.99
"Selling, General & Admin",142.3,124.57,123.82,91.21,86.86,72.87,77.04
Research & Development,0.4,0.4,0.42,0.54,0.48,0.31,0.64
Amortization of Goodwill & Intangibles,-,-,-,1.22,1.22,1.22,1.24
Operating Expenses,142.7,124.96,124.24,92.97,88.56,74.4,78.92
Operating Income,76.62,73.82,56.49,10.39,24.59,30.46,14.07
Interest Expense,-,-,-0.03,-0.26,-0.36,-0.79,-1.16
Interest & Investment Income,6.48,6.72,2.58,0.05,0.13,0.4,0.23
Currency Exchange Gain (Loss),-2.39,-1.57,-0.25,1.39,-2.09,1.85,0.2
Other Non Operating Income (Expenses),3.95,-8.18,-0.87,6.61,2.09,-4.72,-1.23
EBT Excluding Unusual Items,84.66,70.79,57.92,18.17,24.36,27.2,12.1
Asset Writedown,-,-,-,-7.33,-,-,-
Other Unusual Items,-,-,-,-,-0.13,16.4,-0.7
Pretax Income,84.86,70.79,57.92,10.84,24.23,43.6,11.4
Income Tax Expense,15.7,14.84,11.29,3.03,5.24,10.91,1.98
Earnings From Continuing Operations,69.16,55.95,46.63,7.81,18.99,32.69,9.42
Minority Interest in Earnings,-,-,-,-,0.02,-0.03,-0.01
Net Income,69.16,55.95,46.63,7.81,19.02,32.66,9.42
Net Income to Common,69.16,55.95,46.63,7.81,19.02,32.66,9.42
Net Income Growth,16.52%,19.99%,496.74%,-58.91%,-41.78%,246.82%,-
Shares Outstanding (Basic),57,57,56,56,54,59,57
Shares Outstanding (Diluted),60,59,59,56,54,59,57
Shares Change (YoY),1.07%,0.92%,4.67%,3.58%,-7.55%,2.55%,-
EPS (Basic),1.22,0.99,0.83,0.14,0.35,0.56,0.17
EPS (Diluted),1.15,0.94,0.79,0.14,0.35,0.56,0.16
EPS Growth,15.16%,18.99%,464.29%,-60.00%,-37.31%,248.92%,-
Free Cash Flow,52.95,41.93,106.56,-11.92,-16.72,32.93,20.76
Free Cash Flow Per Share,0.89,0.71,1.81,-0.21,-0.31,0.56,0.36
Gross Margin,36.00%,38.52%,36.61%,24.16%,29.81%,33.76%,32.75%
Operating Margin,12.58%,14.31%,11.45%,2.43%,6.48%,9.80%,4.96%
Profit Margin,11.35%,10.84%,9.45%,1.83%,5.01%,10.51%,3.32%
Free Cash Flow Margin,8.69%,8.13%,21.59%,-2.79%,-4.41%,10.60%,7.31%
EBITDA,77.46,74.57,57.15,12.29,26.66,32.58,16.15
EBITDA Margin,12.71%,14.45%,11.58%,2.87%,7.02%,10.49%,5.69%
D&A For EBITDA,0.84,0.75,0.66,1.9,2.07,2.13,2.08
EBIT,76.62,73.82,56.49,10.39,24.59,30.46,14.07
EBIT Margin,12.58%,14.31%,11.45%,2.43%,6.48%,9.80%,4.96%
Effective Tax Rate,18.50%,20.96%,19.49%,27.92%,21.62%,25.03%,17.36%
Advertising Expenses,-,-,-,-,13.76,12.86,16.57
