Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Operating Revenue,"8,799","9,193","11,077","13,378","10,304","6,815","9,722","10,576","9,306","7,740","14,604"
Other Revenue,458,832,-165,907,912,-675,-975,"1,126","1,127",-355,635
Revenue,"9,257","10,025","10,912","14,285","11,216","6,140","8,747","11,702","10,433","7,385","15,239"
Revenue Growth (YoY),-8.73%,-8.13%,-23.61%,27.36%,82.67%,-29.80%,-25.25%,12.16%,41.27%,-51.54%,-20.71%
Cost of Revenue,"8,620","9,222","9,970","12,272","10,007","6,807","8,733","9,531","8,746","7,468","13,384"
Gross Profit,637,803,942,"2,013","1,209",-667,14,"2,171","1,687",-83,"1,855"
"Selling, General & Admin",831,783,852,"1,250","1,238","1,191","1,375","1,386","1,269","1,001","1,908"
Other Operating Expenses,-,-,-,-,-,-,3,8,4,4,-
Operating Expenses,831,783,852,"1,250","1,238","1,191","1,378","1,394","1,273","1,005","1,908"
Operating Income,-194,20,90,763,-29,"-1,858","-1,364",777,414,"-1,088",-53
Interest Expense,-508,-523,-554,-568,-666,-688,-605,-524,-655,-692,"-1,154"
Currency Exchange Gain (Loss),-4,-9,1,-3,-14,-5,-5,-1,1,-3,-10
Other Non Operating Income (Expenses),-,-,-,-,-,-,-,-,38,-,-
EBT Excluding Unusual Items,-706,-512,-463,192,-709,"-2,551","-1,974",252,-202,"-1,783","-1,217"
Merger & Restructuring Charges,-9,-3,-1,-2,-5,-10,-18,-21,-4,-5,-97
Impairment of Goodwill,-,-,-,-,-,-,-,-87,-,-574,-560
Gain (Loss) on Sale of Investments,-34,-56,-87,-95,-,-,-,-,-,-,-
Gain (Loss) on Sale of Assets,264,-4,-238,-8,141,-,253,84,"2,163",6,26
Asset Writedown,-12,-,-7,-,-,-11,-2,-5,-79,-12,-209
Legal Settlements,-,-,-,-76,-,-,-,-,-,-,-
Other Unusual Items,2,8,-126,-2,-5,-12,2,-,-12,-5,-2
Pretax Income,-495,-567,-922,9,-578,"-2,584","-1,739",223,"1,866","-2,373","-2,059"
Income Tax Expense,-15,-25,90,34,-78,-116,20,-14,-532,-88,68
Earnings From Continuing Operations,-480,-542,"-1,012",-25,-500,"-2,468","-1,759",237,"2,398","-2,285","-2,127"
Earnings From Discontinued Operations,-,-,-,-,-,-,-32,"1,764",234,65,-
Net Income to Company,-480,-542,"-1,012",-25,-500,"-2,468","-1,791","2,001","2,632","-2,220","-2,127"
Minority Interest in Earnings,89,106,342,-154,-104,848,715,38,-227,"1,114",957
Net Income,-391,-436,-670,-179,-604,"-1,620","-1,076","2,039","2,405","-1,106","-1,170"
Net Income to Common,-391,-436,-670,-179,-604,"-1,620","-1,076","2,039","2,405","-1,106","-1,170"
Net Income Growth,-,-,-,-,-,-,-,-15.22%,-,-,-
Shares Outstanding (Basic),538,466,382,316,260,221,200,180,161,137,126
Shares Outstanding (Diluted),538,466,382,316,260,221,200,180,161,137,126
Shares Change (YoY),20.09%,21.99%,20.89%,21.54%,17.65%,10.50%,11.11%,11.80%,17.52%,8.73%,5.88%
EPS (Basic),-0.73,-0.94,-1.75,-0.57,-2.32,-7.33,-5.38,11.33,14.94,-8.07,-9.29
EPS (Diluted),-0.73,-0.94,-1.75,-0.57,-2.32,-7.33,-5.38,11.33,14.94,-8.07,-9.29
EPS Growth,-,-,-,-,-,-,-,-24.17%,-,-,-
Free Cash Flow,-2,552,"3,433",717,16,-615,"-1,710",651,"-1,664",971,-611
Free Cash Flow Per Share,-0.00,1.19,8.99,2.27,0.06,-2.78,-8.55,3.62,-10.34,7.09,-4.85
Dividend Per Share,2.000,3.500,6.000,8.000,8.000,8.000,8.000,7.000,6.000,6.000,6.000
Dividend Growth,-50.00%,-41.67%,-25.00%,-,-,-,14.29%,16.67%,-,-,-
Gross Margin,6.88%,8.01%,8.63%,14.09%,10.78%,-10.86%,0.16%,18.55%,16.17%,-1.12%,12.17%
Operating Margin,-2.10%,0.20%,0.83%,5.34%,-0.26%,-30.26%,-15.59%,6.64%,3.97%,-14.73%,-0.35%
Profit Margin,-4.22%,-4.35%,-6.14%,-1.25%,-5.38%,-26.38%,-12.30%,17.42%,23.05%,-14.98%,-7.68%
Free Cash Flow Margin,-0.02%,5.51%,31.46%,5.02%,0.14%,-10.02%,-19.55%,5.56%,-15.95%,13.15%,-4.01%
EBITDA,339,528,604,"1,267",483,"-1,352",-851,"1,280",922,-576,796
EBITDA Margin,3.66%,5.27%,5.54%,8.87%,4.31%,-22.02%,-9.73%,10.94%,8.84%,-7.80%,5.22%
D&A For EBITDA,533,508,514,504,512,506,513,503,508,512,849
EBIT,-194,20,90,763,-29,"-1,858","-1,364",777,414,"-1,088",-53
EBIT Margin,-2.10%,0.20%,0.83%,5.34%,-0.26%,-30.26%,-15.59%,6.64%,3.97%,-14.73%,-0.35%
Effective Tax Rate,-,-,-,377.78%,-,-,-,-,-,-,-
Revenue as Reported,"9,519","10,020","10,934","14,196","11,338","6,123","8,994","11,777","12,619","7,379","15,272"
