Period Ending,"Sep '25Sep 30, 2025","Dec '24Dec 31, 2024","Dec '23Dec 31, 2023","Dec '22Dec 31, 2022","Dec '21Dec 31, 2021","Dec '20Dec 31, 2020","Dec '19Dec 31, 2019","Dec '18Dec 31, 2018","Dec '17Dec 31, 2017","Dec '16Dec 31, 2016","Dec '15Dec 31, 2015"
Cash & Equivalents,"1,787","2,603","2,951","2,337","2,321","1,679","3,794","2,656","1,164","1,833","2,078"
Cash & Short-Term Investments,"1,787","2,603","2,951","2,337","2,321","1,679","3,794","2,656","1,164","1,833","2,078"
Cash Growth,-22.10%,-11.79%,26.27%,0.69%,38.24%,-55.75%,42.85%,128.18%,-36.50%,-11.79%,-28.54%
Accounts Receivable,418,479,485,606,546,501,483,474,473,"1,609","1,685"
Other Receivables,"1,724","1,624","4,367","7,051","5,530","3,437",858,664,506,"1,482",-
Receivables,"2,266","2,110","4,863","7,657","6,076","3,938","1,341","1,138",979,"3,091","1,685"
Inventory,892,897,"1,047","1,531","1,478","1,580","1,795","1,779","1,730","2,983","2,259"
Restricted Cash,"2,238","2,636","2,995","2,549","2,115","1,612","1,151","2,682",747,804,"1,282"
Other Current Assets,3,47,64,805,612,785,182,524,"10,263","1,389",413
Total Current Assets,"7,186","8,293","11,920","14,879","12,602","9,594","8,263","8,779","14,883","10,100","7,717"
"Property, Plant & Equipment","4,220","4,370","4,495","4,516","4,552","4,784","5,078","4,688","5,186","10,122","9,535"
Long-Term Investments,"2,037","2,310","3,012","6,809","9,151","8,913","9,945","8,337","10,015","9,881","15,351"
Goodwill,290,288,288,288,290,294,282,247,327,"1,136","1,504"
Other Intangible Assets,368,409,466,533,595,660,431,501,544,"1,116","1,108"
Long-Term Deferred Tax Assets,143,160,184,127,9,10,32,37,75,305,299
Other Long-Term Assets,582,449,493,762,547,734,608,900,771,711,893
Total Assets,"14,826","16,279","20,858","27,914","27,746","24,989","24,639","23,489","31,801","33,371","36,407"
Accounts Payable,673,802,830,870,805,738,945,832,980,"1,765","1,416"
Accrued Expenses,683,575,608,677,677,648,656,820,800,"1,709","1,777"
Current Portion of Long-Term Debt,-,-,-,-,-,-,-,-,-,"1,174",-
Current Portion of Leases,-,166,-,14,-,-,-,-,-,-,-
Other Current Liabilities,"2,530","2,492","5,082","8,763","8,232","4,992","2,475",649,"10,393","7,968","8,162"
Total Current Liabilities,"3,886","4,035","6,520","10,324","9,714","6,378","4,076","2,301","12,173","12,616","11,355"
Long-Term Debt,"6,597","6,726","7,137","7,032","7,620","7,978","8,099","7,274","7,372","9,945","12,594"
Long-Term Leases,578,447,601,534,551,654,740,52,-,-,-
Long-Term Unearned Revenue,29,94,94,92,73,72,70,111,76,-,-
Pension & Post-Retirement Benefits,-,25,34,36,55,81,73,77,80,"1,180","1,224"
Long-Term Deferred Tax Liabilities,317,331,399,338,390,568,639,694,732,"1,613","1,201"
Total Liabilities,"11,407","11,658","14,785","18,356","18,403","15,731","13,697","10,509","20,433","25,354","26,374"
Common Stock,"2,735","3,241","3,969","4,647","4,298","4,236","6,268","7,350","5,341","2,448","4,244"
Total Common Equity,"2,735","3,241","3,969","4,647","4,298","4,236","6,268","7,350","5,341","2,448","4,244"
Minority Interest,684,"1,380","2,104","4,911","5,045","5,022","4,674","5,630","6,027","5,569","5,789"
Shareholders' Equity,"3,419","4,621","6,073","9,558","9,343","9,258","10,942","12,980","11,368","8,017","10,033"
Total Liabilities & Equity,"14,826","16,279","20,858","27,914","27,746","24,989","24,639","23,489","31,801","33,371","36,407"
Total Debt,"7,175","7,339","7,738","7,580","8,171","8,632","8,839","7,326","7,372","11,119","12,594"
Net Cash (Debt),"-5,388","-4,736","-4,787","-5,243","-5,850","-6,953","-5,045","-4,670","-6,208","-9,286","-10,516"
Net Cash Per Share,-10.01,-10.16,-12.53,-16.59,-22.50,-31.46,-25.23,-25.94,-38.56,-67.78,-83.46
Filing Date Shares Outstanding,600.21,522.74,429.03,353.57,293.42,241.34,214.08,191.37,173.58,155.91,131.48
Total Common Shares Outstanding,600.21,522.74,429.03,353.57,293.4,241.34,214.08,191.37,173.56,144.74,131.48
Working Capital,"3,300","4,258","5,400","4,555","2,888","3,216","4,187","6,478","2,710","-2,516","-3,638"
Book Value Per Share,4.56,6.20,9.25,13.14,14.65,17.55,29.28,38.41,30.77,16.91,32.28
Tangible Book Value,"2,077","2,544","3,215","3,826","3,413","3,282","5,555","6,602","4,470",196,"1,632"
Tangible Book Value Per Share,3.46,4.87,7.49,10.82,11.63,13.60,25.95,34.50,25.75,1.35,12.41
Land,-,335,332,331,332,393,396,416,508,944,549
Buildings,-,"1,129","1,058",964,906,920,901,865,"1,715","3,050","2,459"
Machinery,-,"6,209","6,083","6,034","5,814","5,347","5,272","5,208","4,326","7,538","6,044"
Construction In Progress,-,261,275,210,189,151,147,221,201,541,598
