Period Ending,"Jun '25Jun 30, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Operating Revenue,3.82,2.28,2.22,4.24,4.97,1.76,1.29,2.51,1.76,1.45,2.27
Other Revenue,873.52,722.4,600.87,383.56,302.15,297.19,171.01,149.66,136.01,126.42,117.7
Revenue,877.34,724.68,603.09,387.8,307.13,298.95,172.3,152.17,137.76,127.87,119.97
Revenue Growth (YoY),31.97%,20.16%,55.52%,26.27%,2.73%,73.51%,13.23%,10.46%,7.74%,6.59%,9.53%
Gross Profit,877.34,724.68,603.09,387.8,307.13,298.95,172.3,152.17,137.76,127.87,119.97
"Selling, General & Admin",174.81,128.65,159.71,102.23,73.71,85.04,42.7,42.98,36.67,34.83,36.46
Operating Expenses,174.81,128.65,159.71,102.23,73.71,85.04,42.7,42.98,36.67,34.83,36.46
Operating Income,702.53,596.03,443.38,285.57,233.41,213.92,129.6,109.2,101.1,93.04,83.51
Interest Expense,-286.55,-213.42,-150.74,-89,-64.18,-73.35,-43.23,-32.61,-31,-27.26,-23.86
Currency Exchange Gain (Loss),3.41,4.35,1.67,-3.64,-1.72,-3.66,0.99,0.08,-,-,-
Other Non Operating Income (Expenses),-0.3,1.02,0.13,-0.38,-1.56,-1.51,-0.31,-0.57,-0.54,-0.46,-0.65
EBT Excluding Unusual Items,419.09,387.99,294.44,192.55,165.95,135.4,87.06,76.1,69.56,65.31,59
Gain (Loss) on Sale of Investments,-43.97,-113.01,-32.13,-39.04,174.33,-80.53,-105.64,5.87,12.74,4.22,11.79
Other Unusual Items,-0.05,-,-,-,-,-,-,-,0,-,0
Pretax Income,375.08,274.98,262.31,153.51,340.28,54.87,-18.58,81.97,82.31,69.54,70.79
Income Tax Expense,-0.48,1.2,3.68,0.07,-,-,-,-,0.02,0.33,-
Net Income,375.56,273.79,258.63,153.44,340.28,54.87,-18.58,81.97,82.29,69.2,70.79
Net Income to Common,375.56,273.79,258.63,153.44,340.28,54.87,-18.58,81.97,82.29,69.2,70.79
Net Income Growth,34.05%,5.86%,68.55%,-54.91%,520.13%,-,-,-0.39%,18.91%,-2.24%,8.26%
Shares Outstanding (Basic),266,201,170,171,168,149,65,62,57,52,49
Shares Outstanding (Diluted),266,201,170,171,168,149,65,62,57,52,49
Shares Change (YoY),49.71%,18.16%,-0.21%,1.60%,12.81%,127.39%,6.07%,8.49%,9.56%,5.98%,8.26%
EPS (Basic),1.41,1.36,1.52,0.90,2.03,0.37,-0.28,1.33,1.45,1.33,1.44
EPS (Diluted),1.41,1.36,1.52,0.90,2.03,0.37,-0.28,1.33,1.45,1.33,1.44
EPS Growth,-10.46%,-10.41%,68.90%,-55.62%,449.70%,-,-,-8.18%,8.53%,-7.76%,0.00%
Dividend Per Share,1.560,1.540,1.360,1.200,1.160,1.240,1.280,1.280,1.280,1.280,1.280
Dividend Growth,2.63%,13.23%,13.33%,3.45%,-6.45%,-3.13%,-,-,-,-,-
Gross Margin,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%,100.00%
Operating Margin,80.08%,82.25%,73.52%,73.64%,76.00%,71.56%,75.22%,71.76%,73.38%,72.76%,69.61%
Profit Margin,42.81%,37.78%,42.88%,39.57%,110.80%,18.36%,-10.78%,53.87%,59.73%,54.12%,59.01%
EBIT,702.53,596.03,443.38,285.57,233.41,213.92,129.6,109.2,101.1,93.04,83.51
EBIT Margin,80.08%,82.25%,73.52%,73.64%,76.00%,71.56%,75.22%,71.76%,73.38%,72.76%,69.61%
Effective Tax Rate,-,0.43%,1.40%,0.05%,-,-,-,-,0.02%,0.48%,-
Revenue as Reported,877.34,724.68,603.09,387.8,307.13,298.95,172.3,152.17,137.76,127.87,119.97
