Period Ending,"Nov '25Nov 18, 2025","Sep '24Sep 30, 2024","Sep '23Sep 30, 2023","Sep '22Sep 30, 2022","Sep '21Sep 30, 2021","Sep '20Sep 30, 2020","Sep '19Sep 30, 2019","Sep '18Sep 30, 2018","Sep '17Sep 30, 2017","Sep '16Sep 30, 2016","Sep '15Sep 30, 2015"
Market Capitalization,"3,607","3,998","2,488","2,117","2,674","2,215","2,496","1,125","1,119","1,018",819
Market Cap Growth,-9.97%,60.70%,17.50%,-20.82%,20.76%,-11.29%,121.86%,0.55%,9.94%,24.25%,9.12%
Enterprise Value,"8,647","8,166","5,548","5,168","4,633","4,188","3,534","2,000","1,986","1,871","1,636"
Last Close Price,13.61,13.55,11.64,8.88,10.44,8.09,10.52,9.69,9.04,8.22,6.58
PE Ratio,9.58,14.60,9.62,13.80,7.86,40.36,-,13.73,13.60,14.71,11.57
Forward PE,9.19,8.72,8.04,9.98,14.12,12.13,14.42,14.57,14.64,14.57,12.24
PS Ratio,4.12,5.52,4.13,5.46,8.71,7.41,14.49,7.39,8.12,7.96,6.83
PB Ratio,0.91,1.00,0.98,0.83,1.03,0.92,1.12,1.16,1.17,1.16,1.01
P/TBV Ratio,0.91,1.00,0.98,0.83,1.03,0.92,1.12,1.16,1.17,1.16,1.01
P/OCF Ratio,-,11.63,12.74,-,-,11.80,-,-,17.99,-,-
PEG Ratio,-,7.05,7.05,7.05,7.05,7.05,7.05,7.29,1.46,1.46,1.22
EV/Sales Ratio,9.86,11.27,9.20,13.33,15.08,14.01,20.51,13.15,14.41,14.63,13.64
EV/EBIT Ratio,12.31,13.70,12.51,18.10,19.85,19.58,27.27,18.32,19.64,20.11,19.59
Debt / Equity Ratio,1.28,1.15,1.22,1.21,0.99,0.84,0.95,0.87,0.81,0.98,0.99
Asset Turnover,0.10,0.10,0.11,0.07,0.06,0.07,0.06,0.09,0.08,0.08,0.08
Quick Ratio,1.54,2.31,1.92,2.46,6.47,1.46,0.44,0.53,0.53,0.93,0.67
Current Ratio,2.41,5.23,3.19,3.97,8.74,7.02,1.94,2.19,3.55,5.26,6.23
Return on Equity (ROE),9.33%,8.34%,10.16%,5.99%,13.67%,2.38%,-1.16%,8.51%,8.96%,8.19%,9.17%
Return on Assets (ROA),4.96%,5.16%,4.86%,3.29%,3.04%,3.02%,2.60%,3.80%,3.60%,3.43%,3.39%
Return on Capital (ROIC),5.02%,5.22%,4.91%,3.32%,3.06%,3.05%,2.63%,3.85%,3.64%,3.47%,3.43%
Return on Capital Employed (ROCE),7.70%,6.90%,7.80%,5.10%,4.50%,4.80%,3.00%,6.00%,5.80%,5.40%,5.20%
Earnings Yield,10.37%,6.85%,10.39%,7.25%,12.72%,2.48%,-0.74%,7.29%,7.35%,6.80%,8.64%
Dividend Yield,11.81%,11.37%,11.68%,13.51%,11.11%,15.32%,12.17%,13.21%,14.16%,15.57%,19.45%
Payout Ratio,116.71%,123.52%,74.03%,101.15%,40.88%,227.62%,-,81.58%,78.26%,85.99%,84.80%
Buyback Yield / Dilution,-49.71%,-18.16%,0.21%,-1.60%,-12.81%,-127.39%,-6.07%,-8.49%,-9.56%,-5.98%,-8.26%
Total Shareholder Return,-37.91%,-6.79%,11.89%,11.92%,-1.70%,-112.07%,6.10%,4.73%,4.61%,9.59%,11.18%
